日付,始値,高値,安値,終値
2015-12-30,975.24,978.16,966.46,967.17
2015-12-29,962.36,978.35,959.33,973.20
2015-12-28,960.03,963.15,952.06,959.50
2015-12-25,948.80,959.51,946.02,954.92
2015-12-24,950.84,951.72,941.07,941.84
2015-12-22,937.65,946.22,931.07,941.60
2015-12-21,922.11,937.51,912.95,931.62
2015-12-18,960.77,987.79,930.26,934.51
2015-12-17,963.21,984.54,963.21,967.21
2015-12-16,931.47,956.73,929.98,944.38
2015-12-15,928.84,931.23,914.16,915.01
2015-12-14,928.55,929.64,909.71,928.84
2015-12-11,946.81,953.92,942.48,948.38
2015-12-10,939.15,960.07,936.32,951.60
2015-12-09,959.75,960.64,947.99,952.98
2015-12-08,976.56,982.82,968.10,969.86
2015-12-07,981.17,981.59,973.12,974.83
2015-12-04,968.79,975.77,962.29,972.10
2015-12-03,984.51,988.81,980.61,986.86
2015-12-02,977.01,990.91,977.01,978.10
2015-12-01,964.36,977.59,960.66,974.83
2015-11-30,986.12,986.12,961.24,961.24
2015-11-27,999.87,1001.43,990.48,992.59
2015-11-26,1002.81,1012.21,996.74,998.53
2015-11-25,998.66,1000.05,985.35,990.66
2015-11-24,1014.42,1015.37,998.64,1001.48
2015-11-20,1013.77,1013.77,1001.24,1012.69
2015-11-19,1015.24,1023.81,1005.32,1017.34
2015-11-18,1025.67,1033.14,999.40,1000.86
2015-11-17,1035.74,1037.24,1016.89,1016.98
2015-11-16,1015.04,1024.05,1002.68,1019.82
2015-11-13,1028.48,1036.81,1022.11,1033.88
2015-11-12,1040.72,1044.10,1034.13,1040.24
2015-11-11,1034.48,1048.83,1034.38,1044.06
2015-11-10,1029.86,1041.17,1019.43,1038.86
2015-11-09,1017.33,1047.72,1015.08,1039.98
2015-11-06,1002.95,1005.14,995.04,999.03
2015-11-05,994.65,1000.60,985.42,996.53
2015-11-04,969.75,993.35,968.96,983.58
2015-11-02,956.06,956.28,947.06,951.26
2015-10-30,960.74,981.12,952.56,968.18
2015-10-29,978.26,980.04,957.72,963.79
2015-10-28,959.11,970.78,956.99,962.10
2015-10-27,983.04,984.02,963.67,964.28
2015-10-26,998.32,1012.00,988.60,989.05
2015-10-23,971.61,987.79,971.58,979.87
2015-10-22,949.66,963.26,946.31,952.77
2015-10-21,934.04,964.75,934.04,961.86
2015-10-20,935.56,938.94,928.04,937.70
2015-10-19,939.15,940.43,919.74,925.35
2015-10-16,924.90,939.64,918.18,935.78
2015-10-15,906.93,915.72,896.44,912.74
2015-10-14,923.48,927.01,897.99,908.49
2015-10-13,943.78,951.48,924.75,926.58
2015-10-09,933.58,948.88,929.75,945.30
2015-10-08,928.36,930.63,914.75,921.01
2015-10-07,908.93,931.51,903.88,928.36
2015-10-06,920.01,924.82,906.64,908.90
2015-10-05,908.16,915.10,894.49,903.39
2015-10-02,887.06,898.04,878.42,894.38
2015-10-01,882.89,902.53,867.84,891.41
2015-09-30,864.60,889.38,864.43,880.64
2015-09-29,862.71,865.81,842.55,847.32
2015-09-28,892.93,897.46,872.86,879.46
2015-09-25,884.43,903.26,876.75,903.07
2015-09-24,872.45,887.56,870.94,876.10
2015-09-18,916.28,916.28,884.57,888.40
2015-09-17,938.01,939.41,916.58,935.55
2015-09-16,941.82,943.88,920.66,926.63
2015-09-15,934.88,963.01,927.51,930.35
2015-09-14,951.10,951.10,922.90,925.53
2015-09-11,938.29,951.92,932.64,944.07
2015-09-10,973.69,973.69,937.54,953.27
2015-09-09,926.02,992.63,922.51,992.53
2015-09-08,946.46,949.34,912.33,913.76
2015-09-07,944.21,951.01,929.74,944.69
2015-09-04,991.61,997.41,943.26,952.86
2015-09-03,971.32,1001.41,970.15,979.66
2015-09-02,949.23,972.39,942.57,953.24
2015-09-01,1001.83,1002.12,967.38,967.38
2015-08-31,1001.44,1013.89,988.39,1011.86
2015-08-28,1014.28,1027.28,1009.15,1018.63
2015-08-27,982.70,1005.95,979.13,995.40
2015-08-26,932.17,973.50,928.49,965.65
2015-08-25,914.22,963.94,898.20,919.26
2015-08-24,984.48,984.48,933.89,933.89
2015-08-21,1038.65,1038.65,1002.89,1003.32
2015-08-20,1089.12,1094.20,1059.42,1059.42
2015-08-19,1127.49,1131.60,1097.03,1102.59
2015-08-18,1129.79,1137.19,1125.11,1131.20
2015-08-17,1119.51,1142.83,1119.51,1124.02
2015-08-14,1118.57,1119.37,1102.21,1112.74
2015-08-13,1110.36,1123.24,1101.13,1121.26
2015-08-12,1127.42,1135.18,1099.40,1112.33
2015-08-11,1137.65,1146.78,1112.51,1121.88
2015-08-10,1118.49,1133.83,1101.88,1133.67
2015-08-07,1096.40,1117.92,1093.30,1115.53
2015-08-06,1095.32,1108.22,1094.34,1097.20
2015-08-05,1072.21,1082.84,1069.59,1077.51
2015-08-04,1074.46,1081.41,1070.67,1077.36
2015-08-03,1092.82,1092.82,1066.20,1080.43
2015-07-31,1092.67,1097.11,1085.22,1095.29
2015-07-30,1088.25,1102.17,1085.20,1091.39
2015-07-29,1073.67,1084.75,1070.69,1076.87
2015-07-28,1070.16,1074.58,1058.29,1062.84
2015-07-27,1076.66,1082.34,1066.18,1074.51
