日付,時刻,始値,高値,安値,終値
2010-12-30,後場,1036.97,1042.25,1036.56,1036.67
2010-12-30,前場,1045.11,1046.30,1037.07,1037.65
2010-12-29,後場,1044.39,1048.90,1044.39,1048.90
2010-12-29,前場,1038.32,1041.35,1038.32,1041.18
2010-12-28,後場,1040.45,1040.61,1037.09,1039.17
2010-12-28,前場,1037.01,1040.11,1036.19,1040.11
2010-12-27,後場,1036.82,1038.11,1034.66,1037.68
2010-12-27,前場,1031.36,1037.54,1030.95,1037.54
2010-12-24,後場,1033.91,1034.15,1030.94,1032.59
2010-12-24,前場,1038.97,1039.19,1034.29,1035.07
2010-12-22,後場,1046.10,1046.10,1042.20,1043.70
2010-12-22,前場,1041.78,1047.23,1039.87,1044.81
2010-12-21,後場,1043.93,1047.74,1043.38,1045.36
2010-12-21,前場,1040.82,1042.40,1037.16,1042.12
2010-12-20,後場,1037.12,1039.26,1035.07,1036.24
2010-12-20,前場,1046.24,1046.59,1040.51,1041.52
2010-12-17,後場,1044.91,1049.03,1044.53,1049.03
2010-12-17,前場,1047.90,1050.19,1044.25,1045.38
2010-12-16,後場,1050.69,1055.70,1050.27,1050.95
2010-12-16,前場,1048.70,1054.61,1047.80,1054.45
2010-12-15,後場,1050.03,1052.55,1048.29,1052.36
2010-12-15,前場,1053.33,1054.07,1048.21,1051.01
2010-12-14,後場,1048.52,1051.45,1045.95,1050.88
2010-12-14,前場,1044.20,1050.62,1042.82,1048.12
2010-12-13,後場,1030.62,1039.74,1029.33,1039.74
2010-12-13,前場,1027.80,1031.16,1025.51,1030.47
2010-12-10,後場,1035.65,1039.15,1033.03,1033.03
2010-12-10,前場,1045.90,1047.35,1028.03,1035.91
2010-12-09,後場,1033.40,1040.58,1033.08,1039.16
2010-12-09,前場,1034.71,1038.54,1033.55,1033.87
2010-12-08,後場,1031.63,1037.08,1031.60,1036.80
2010-12-08,前場,1025.14,1035.17,1024.18,1030.88
2010-12-07,後場,1020.81,1023.49,1019.04,1022.73
2010-12-07,前場,1022.83,1024.13,1018.12,1019.52
2010-12-06,後場,1013.59,1022.24,1012.14,1020.17
2010-12-06,前場,1005.01,1012.19,1005.01,1010.50
2010-12-03,後場,1007.98,1008.13,1004.85,1007.47
2010-12-03,前場,1008.72,1013.25,1008.11,1008.11
2010-12-02,後場,1008.74,1009.84,1003.74,1005.10
2010-12-02,前場,1010.87,1012.67,1006.52,1007.44
2010-12-01,後場,991.05,997.33,991.05,996.60
2010-12-01,前場,992.08,998.57,990.29,994.21
2010-11-30,後場,998.37,1001.09,994.46,997.50
2010-11-30,前場,996.45,1006.65,994.35,1005.39
2010-11-29,後場,994.00,1004.54,994.00,1002.92
2010-11-29,前場,988.39,996.56,988.34,994.40
2010-11-26,後場,993.39,994.33,989.82,989.96
2010-11-26,前場,987.27,994.77,986.19,993.63
2010-11-25,後場,983.79,989.20,983.47,986.57
2010-11-25,前場,988.95,988.95,976.64,983.20
2010-11-24,後場,985.01,988.34,983.78,983.92
2010-11-24,前場,983.15,988.44,980.10,987.12
2010-11-22,後場,995.26,997.17,992.53,994.92
2010-11-22,前場,998.97,999.09,995.37,996.75
2010-11-19,後場,993.98,995.77,991.97,992.56
2010-11-19,前場,1007.63,1007.63,995.44,996.58
2010-11-18,後場,987.98,998.19,986.90,998.17
2010-11-18,前場,977.93,989.61,977.25,984.22
2010-11-17,後場,973.67,977.98,973.03,977.32
2010-11-17,前場,968.51,972.89,968.19,972.30
2010-11-16,後場,982.18,986.75,977.23,977.85
2010-11-16,前場,994.61,994.61,981.34,981.57
2010-11-15,後場,988.18,993.94,987.91,991.95
2010-11-15,前場,986.08,990.76,982.37,989.09
2010-11-12,後場,983.98,990.98,983.47,984.72
2010-11-12,前場,982.56,992.35,981.03,986.73
2010-11-11,後場,984.78,985.92,981.05,984.52
2010-11-11,前場,985.21,988.71,981.78,984.68
2010-11-10,後場,987.59,988.17,982.75,986.50
2010-11-10,前場,979.76,992.74,979.60,987.26
2010-11-09,後場,980.55,982.71,978.31,979.90
2010-11-09,前場,977.89,981.41,974.19,979.42
2010-11-08,後場,984.31,984.31,978.02,982.60
2010-11-08,前場,977.86,984.16,976.14,983.49
2010-11-05,後場,975.84,978.09,970.85,972.36
2010-11-05,前場,962.11,979.21,962.11,974.22
2010-11-04,後場,953.56,956.72,951.45,953.91
2010-11-04,前場,953.09,961.42,952.02,955.58
2010-11-02,後場,938.49,942.39,937.52,940.77
2010-11-02,前場,947.05,947.55,935.67,937.40
2010-11-01,後場,944.96,951.09,944.96,947.36
2010-11-01,前場,943.49,946.43,938.09,942.27
2010-10-29,後場,933.55,947.55,933.31,945.47
2010-10-29,前場,938.18,940.21,931.61,934.83
2010-10-28,後場,937.90,942.64,936.69,940.99
2010-10-28,前場,944.08,945.03,938.14,938.85
2010-10-27,後場,948.83,949.09,940.01,945.10
2010-10-27,前場,958.95,958.95,949.69,951.10
2010-10-26,後場,949.65,958.21,948.66,953.89
2010-10-26,前場,946.14,951.80,945.63,949.17
2010-10-25,後場,949.53,953.10,949.34,949.34
2010-10-25,前場,952.26,954.97,948.22,948.39
2010-10-22,後場,948.78,950.05,945.76,948.93
2010-10-22,前場,943.32,951.62,942.56,947.69
2010-10-21,後場,943.61,944.53,938.57,941.98
2010-10-21,前場,949.49,950.75,938.32,945.49
2010-10-20,後場,944.49,949.28,944.22,945.14
2010-10-20,前場,953.90,954.29,941.57,942.30
2010-10-19,後場,965.69,967.46,962.42,963.42
2010-10-19,前場,959.34,971.16,958.83,966.66
2010-10-18,後場,959.13,961.04,954.03,957.74
2010-10-18,前場,953.45,963.26,953.16,963.26
2010-10-15,後場,960.35,960.35,951.49,952.14
2010-10-15,前場,965.55,965.74,957.89,958.23
2010-10-14,後場,968.30,974.15,967.53,970.60
2010-10-14,前場,965.85,976.64,961.41,971.80
2010-10-13,後場,968.82,969.76,959.99,961.26
2010-10-13,前場,973.76,975.13,966.24,968.23
2010-10-12,後場,982.05,982.05,966.99,967.84
2010-10-12,前場,999.70,1001.44,981.42,981.99
2010-10-08,後場,994.57,997.41,990.20,990.35
2010-10-08,前場,985.10,997.87,984.17,993.31
2010-10-07,後場,992.58,994.59,986.54,989.87
2010-10-07,前場,982.46,992.83,982.06,991.05
2010-10-06,後場,974.30,984.15,974.20,984.13
2010-10-06,前場,967.27,976.26,964.88,973.05
2010-10-05,後場,944.66,963.95,941.21,961.04
2010-10-05,前場,944.69,947.46,942.65,945.63
2010-10-04,後場,961.96,963.38,948.16,948.38
2010-10-04,前場,970.75,971.18,961.73,965.98
2010-10-01,後場,973.75,974.62,966.97,970.42
2010-10-01,前場,969.20,974.94,967.18,973.59
2010-09-30,後場,983.42,983.42,969.55,971.36
2010-09-30,前場,984.32,988.08,981.33,983.30
2010-09-29,後場,984.25,986.41,982.78,983.47
2010-09-29,前場,984.21,989.33,978.70,982.74
2010-09-28,後場,983.24,985.82,980.70,982.11
2010-09-28,前場,984.76,988.41,982.13,982.91
2010-09-27,後場,986.47,991.37,984.41,991.37
2010-09-27,前場,988.75,988.75,981.56,987.47
2010-09-24,後場,982.18,988.28,980.71,980.71
2010-09-24,前場,983.38,983.38,979.94,982.10
2010-09-22,後場,986.39,989.59,985.69,985.95
2010-09-22,前場,983.99,988.56,981.41,987.16
2010-09-21,後場,989.49,989.76,984.03,985.19
2010-09-21,前場,1000.56,1000.56,987.76,990.09
2010-09-17,後場,989.43,994.53,987.07,992.69
2010-09-17,前場,983.09,987.48,982.18,984.87
2010-09-16,後場,979.11,981.38,972.70,973.79
2010-09-16,前場,984.16,986.42,980.04,981.32
