日付,始値,高値,安値,終値
2014-12-30,1670.59,1671.04,1652.15,1652.15
2014-12-29,1686.77,1687.49,1647.43,1665.83
2014-12-26,1674.03,1679.83,1674.00,1675.39
2014-12-25,1675.75,1681.35,1668.68,1671.57
2014-12-24,1684.90,1690.02,1678.68,1682.25
2014-12-22,1671.44,1672.05,1656.81,1662.71
2014-12-19,1684.19,1687.60,1665.02,1671.37
2014-12-18,1627.73,1663.52,1626.24,1654.12
2014-12-17,1571.23,1602.53,1571.23,1594.13
2014-12-16,1591.64,1593.68,1579.01,1581.73
2014-12-15,1625.21,1629.21,1612.45,1616.36
2014-12-12,1631.15,1654.09,1631.15,1642.44
2014-12-11,1622.14,1642.99,1617.68,1639.03
2014-12-10,1666.19,1671.16,1644.07,1646.80
2014-12-09,1685.61,1693.97,1684.37,1684.96
2014-12-08,1713.37,1715.05,1700.74,1704.46
2014-12-05,1706.48,1709.54,1696.11,1709.54
2014-12-04,1720.57,1722.31,1710.29,1716.05
2014-12-03,1714.92,1718.67,1705.63,1707.40
2014-12-02,1688.30,1702.22,1681.49,1702.22
2014-12-01,1675.65,1690.83,1675.17,1687.02
2014-11-28,1658.57,1672.57,1655.77,1669.29
2014-11-27,1658.28,1661.49,1646.99,1648.90
2014-11-26,1663.16,1671.29,1656.35,1661.33
2014-11-25,1679.89,1679.89,1662.48,1664.35
2014-11-21,1652.16,1678.35,1639.78,1675.94
2014-11-20,1660.56,1664.33,1655.56,1656.35
2014-11-19,1658.12,1666.74,1648.14,1648.73
2014-11-18,1640.05,1657.95,1639.77,1657.95
2014-11-17,1659.08,1659.65,1618.94,1620.13
2014-11-14,1675.36,1675.88,1653.79,1670.62
2014-11-13,1630.73,1665.88,1626.24,1665.88
2014-11-12,1635.91,1651.65,1630.44,1632.68
2014-11-11,1634.91,1641.46,1621.08,1636.95
2014-11-10,1598.12,1619.44,1576.82,1618.96
2014-11-07,1617.64,1617.96,1601.33,1613.83
2014-11-06,1634.33,1638.01,1605.52,1608.15
2014-11-05,1620.64,1635.12,1615.75,1632.35
2014-11-04,1604.16,1634.63,1603.95,1626.99
2014-10-31,1486.34,1577.08,1481.55,1568.95
2014-10-30,1470.50,1478.43,1467.60,1469.20
2014-10-29,1457.44,1467.20,1453.65,1463.56
2014-10-28,1447.93,1451.60,1440.95,1450.12
2014-10-27,1452.47,1455.80,1441.58,1448.16
2014-10-24,1454.42,1459.00,1438.67,1442.91
2014-10-23,1434.64,1440.22,1427.77,1435.07
2014-10-22,1417.68,1439.25,1415.03,1439.04
2014-10-21,1431.07,1431.07,1402.05,1402.05
2014-10-20,1413.24,1429.36,1413.24,1429.36
2014-10-17,1414.09,1414.09,1385.45,1385.99
2014-10-16,1423.32,1426.21,1398.61,1398.96
2014-10-15,1442.67,1455.35,1442.67,1448.66
2014-10-14,1448.49,1457.62,1439.99,1439.99
2014-10-10,1457.43,1471.82,1453.98,1470.92
2014-10-09,1503.22,1506.70,1478.85,1478.85
2014-10-08,1500.70,1507.85,1495.48,1501.96
2014-10-07,1535.30,1541.75,1521.27,1521.27
2014-10-06,1532.36,1540.02,1523.83,1535.29
2014-10-03,1505.76,1519.28,1505.76,1512.09
2014-10-02,1546.94,1548.81,1511.13,1511.13
2014-10-01,1553.99,1568.97,1550.23,1560.43
2014-09-30,1561.69,1562.24,1538.30,1547.88
2014-09-29,1570.36,1570.36,1561.89,1568.14
2014-09-26,1555.20,1564.50,1554.90,1560.39
2014-09-25,1569.00,1583.33,1567.59,1583.33
2014-09-24,1539.95,1557.68,1538.92,1557.68
2014-09-22,1545.72,1548.88,1538.41,1548.52
2014-09-19,1533.35,1551.11,1527.55,1547.56
2014-09-18,1527.43,1532.20,1522.95,1528.19
2014-09-17,1539.59,1539.60,1515.71,1515.71
2014-09-16,1529.52,1534.88,1524.08,1531.31
2014-09-12,1521.47,1533.33,1519.33,1528.73
2014-09-11,1536.78,1537.16,1519.59,1521.79
2014-09-10,1530.28,1531.90,1521.04,1529.79
2014-09-09,1539.32,1542.55,1532.58,1533.41
2014-09-08,1531.55,1537.76,1523.54,1531.10
2014-09-05,1537.68,1537.86,1521.46,1526.07
2014-09-04,1531.58,1535.48,1526.42,1530.62
2014-09-03,1539.31,1552.56,1536.17,1538.49
2014-09-02,1515.57,1533.17,1511.73,1528.93
2014-09-01,1503.59,1513.31,1501.28,1509.59
2014-08-29,1500.11,1507.25,1495.56,1501.94
2014-08-28,1511.79,1511.79,1504.01,1508.26
2014-08-27,1523.00,1525.82,1513.64,1518.05
2014-08-26,1528.38,1529.42,1518.10,1518.58
2014-08-25,1529.94,1533.68,1526.27,1527.57
2014-08-22,1527.95,1533.38,1525.20,1526.16
2014-08-21,1521.45,1524.08,1515.41,1524.05
2014-08-20,1515.26,1519.57,1511.93,1513.16
2014-08-19,1501.66,1513.17,1501.50,1510.43
2014-08-18,1487.19,1495.58,1485.91,1488.37
2014-08-15,1483.75,1492.53,1483.33,1488.33
2014-08-14,1479.98,1488.76,1479.27,1486.04
2014-08-13,1473.13,1480.26,1468.78,1477.83
2014-08-12,1479.19,1487.66,1473.30,1477.08
2014-08-11,1450.08,1469.69,1441.96,1468.74
2014-08-08,1455.77,1464.83,1429.48,1429.50
2014-08-07,1466.37,1473.53,1457.45,1470.95
2014-08-06,1483.21,1484.92,1465.23,1465.23
2014-08-05,1523.31,1524.22,1487.66,1487.66
2014-08-04,1523.82,1527.84,1517.25,1519.83
2014-08-01,1523.80,1530.67,1521.05,1526.47
2014-07-31,1546.65,1546.84,1534.20,1535.82
2014-07-30,1539.12,1544.44,1537.38,1540.61
2014-07-29,1532.21,1545.78,1532.15,1545.24
2014-07-28,1516.93,1526.05,1516.26,1525.31
2014-07-25,1500.15,1517.83,1498.97,1517.83
2014-07-24,1504.44,1506.27,1491.36,1492.97
2014-07-23,1504.26,1504.67,1499.81,1499.95
2014-07-22,1508.31,1510.77,1500.93,1503.53
2014-07-18,1493.85,1497.26,1488.56,1494.00
2014-07-17,1511.91,1520.34,1511.38,1516.89
2014-07-16,1516.75,1519.33,1509.42,1511.23
2014-07-15,1507.48,1521.26,1506.31,1511.37
2014-07-14,1493.60,1506.33,1492.59,1502.88
2014-07-11,1474.26,1490.50,1468.96,1489.63
2014-07-10,1500.09,1502.87,1479.50,1479.50
2014-07-09,1481.63,1496.71,1481.30,1494.21
2014-07-08,1490.78,1497.36,1480.02,1494.11
2014-07-07,1499.04,1501.86,1496.03,1496.03
2014-07-04,1496.91,1499.01,1488.29,1497.98
2014-07-03,1504.64,1506.76,1488.46,1490.67
2014-07-02,1500.32,1507.82,1498.82,1502.94
2014-07-01,1486.03,1498.73,1483.81,1496.20
2014-06-30,1472.19,1484.93,1467.32,1483.41
2014-06-27,1490.34,1490.34,1468.30,1470.97
2014-06-26,1495.46,1497.97,1485.94,1489.14
2014-06-25,1491.70,1496.43,1486.10,1487.28
2014-06-24,1489.18,1495.26,1479.44,1491.32
2014-06-23,1493.12,1496.37,1487.24,1491.40
2014-06-20,1485.59,1492.39,1476.52,1486.95
2014-06-19,1474.54,1492.56,1474.37,1491.41
2014-06-18,1467.72,1481.98,1467.72,1481.54
2014-06-17,1459.63,1467.86,1457.91,1465.22
2014-06-16,1464.52,1467.05,1449.34,1454.44
2014-06-13,1454.77,1474.83,1449.89,1472.19
2014-06-12,1470.74,1473.72,1459.08,1465.24
2014-06-11,1461.53,1474.42,1461.09,1471.86
2014-06-10,1476.14,1476.62,1457.60,1460.90
2014-06-09,1458.25,1473.63,1455.41,1470.18
2014-06-06,1451.53,1455.08,1447.73,1452.50
2014-06-05,1451.61,1452.23,1442.77,1448.12
2014-06-04,1444.24,1451.25,1440.77,1447.25
2014-06-03,1457.34,1459.36,1446.11,1447.68
2014-06-02,1418.84,1440.70,1418.84,1439.57
2014-05-30,1411.37,1415.81,1402.28,1402.94
2014-05-29,1406.60,1411.43,1402.98,1409.66
2014-05-28,1410.29,1414.50,1406.78,1410.66
2014-05-27,1407.24,1419.97,1405.34,1410.35
2014-05-26,1407.76,1408.45,1398.76,1408.35
2014-05-23,1398.40,1406.60,1392.66,1396.18
2014-05-22,1377.53,1394.29,1374.41,1393.22
2014-05-21,1361.79,1368.45,1355.39,1368.03
2014-05-20,1369.53,1379.83,1367.82,1368.60
2014-05-19,1381.42,1381.99,1366.30,1367.15
2014-05-16,1383.97,1384.15,1368.94,1375.48
2014-05-15,1407.32,1407.32,1391.28,1403.55
2014-05-14,1409.19,1418.04,1407.45,1417.78
2014-05-13,1414.51,1415.49,1393.64,1414.85
2014-05-12,1416.05,1419.28,1404.55,1407.16
2014-05-09,1402.59,1422.10,1402.59,1415.40
2014-05-08,1409.38,1420.83,1406.54,1414.02
2014-05-07,1430.86,1432.21,1404.32,1405.14
2014-05-02,1444.64,1449.43,1440.38,1444.02
2014-05-01,1432.13,1455.32,1432.13,1453.00
2014-04-30,1433.86,1437.19,1428.97,1434.95
2014-04-28,1423.97,1431.70,1414.64,1431.40
2014-04-25,1436.79,1454.36,1434.35,1443.24
2014-04-24,1446.26,1447.23,1431.31,1440.37
2014-04-23,1429.23,1445.97,1428.93,1445.97
2014-04-22,1450.86,1450.86,1426.03,1426.03
2014-04-21,1442.86,1452.74,1442.86,1444.09
2014-04-18,1444.52,1445.38,1431.73,1440.70
2014-04-17,1425.13,1443.94,1423.29,1437.02
2014-04-16,1408.37,1424.56,1408.34,1422.70
2014-04-15,1397.24,1400.51,1391.68,1394.22
2014-04-14,1382.81,1397.74,1382.81,1386.91
2014-04-11,1384.57,1403.32,1384.57,1392.08
2014-04-10,1423.47,1432.81,1406.54,1413.81
2014-04-09,1429.40,1433.18,1403.90,1409.45
2014-04-08,1458.94,1459.29,1443.60,1446.33
2014-04-07,1477.52,1486.80,1460.62,1464.38
2014-04-04,1480.05,1489.36,1476.53,1487.22
2014-04-03,1481.69,1489.37,1478.06,1481.72
2014-04-02,1476.36,1492.39,1473.10,1473.10
2014-04-01,1485.69,1485.69,1467.70,1481.20
2014-03-31,1475.11,1485.82,1467.75,1484.88
2014-03-28,1441.98,1467.82,1438.79,1467.07
2014-03-27,1406.75,1440.99,1399.02,1438.50
2014-03-26,1438.22,1438.22,1411.90,1416.44
2014-03-25,1415.72,1450.39,1415.72,1422.75
2014-03-24,1370.99,1411.33,1367.36,1404.81
2014-03-20,1391.90,1396.05,1360.70,1362.94
2014-03-19,1390.09,1396.99,1369.44,1383.71
2014-03-18,1385.57,1387.83,1375.37,1379.38
2014-03-17,1368.05,1373.63,1350.81,1360.04
2014-03-14,1395.90,1396.50,1374.84,1374.84
2014-03-13,1424.38,1429.90,1416.66,1420.69
2014-03-12,1448.58,1450.99,1433.10,1433.10
2014-03-11,1468.48,1473.15,1454.97,1468.77
2014-03-10,1478.19,1483.86,1458.24,1462.15
2014-03-07,1470.52,1482.39,1469.41,1482.39
2014-03-06,1441.12,1460.02,1432.53,1458.50
2014-03-05,1443.31,1448.49,1439.64,1442.25
2014-03-04,1416.32,1433.24,1413.87,1429.71
2014-03-03,1417.08,1420.47,1393.64,1418.06
2014-02-28,1445.65,1445.65,1421.28,1430.41
2014-02-27,1452.25,1457.81,1440.95,1444.97
2014-02-26,1445.24,1471.23,1444.24,1453.68
2014-02-25,1445.67,1461.94,1445.10,1460.09
2014-02-24,1451.84,1468.53,1421.33,1438.55
2014-02-21,1429.08,1453.51,1429.04,1450.50
2014-02-20,1438.28,1442.08,1410.29,1414.55
2014-02-19,1444.92,1452.89,1437.06,1448.23
2014-02-18,1402.05,1456.22,1402.05,1453.74
2014-02-17,1396.85,1411.19,1381.55,1409.63
2014-02-14,1416.78,1430.64,1396.15,1403.84
2014-02-13,1419.05,1429.91,1408.32,1412.30
2014-02-12,1420.64,1427.58,1410.46,1416.68
2014-02-10,1415.58,1418.37,1398.19,1409.44
2014-02-07,1369.85,1399.41,1369.85,1396.94
2014-02-06,1351.80,1360.71,1346.99,1348.62
2014-02-05,1335.90,1349.62,1325.33,1349.01
2014-02-04,1381.29,1381.29,1328.25,1328.25
2014-02-03,1426.28,1430.10,1401.48,1402.76
2014-01-31,1464.50,1472.37,1428.88,1446.84
2014-01-30,1468.91,1472.66,1455.23,1467.84
2014-01-29,1465.09,1498.02,1462.88,1497.99
2014-01-28,1437.30,1451.24,1432.51,1442.18
2014-01-27,1457.69,1457.69,1434.26,1437.94
2014-01-24,1498.96,1503.23,1479.43,1484.55
2014-01-23,1542.22,1546.78,1521.73,1521.73
2014-01-22,1535.62,1542.10,1522.02,1539.46
2014-01-21,1534.09,1550.35,1532.31,1537.72
2014-01-20,1531.20,1533.61,1522.96,1530.03
2014-01-17,1507.95,1537.02,1507.95,1534.60
2014-01-16,1522.55,1534.83,1509.47,1509.97
2014-01-15,1501.48,1527.45,1495.29,1527.45
2014-01-14,1487.05,1497.27,1477.93,1480.12
2014-01-10,1508.68,1519.71,1502.22,1518.85
2014-01-09,1529.73,1529.73,1510.15,1517.97
2014-01-08,1529.45,1536.80,1521.95,1536.80
2014-01-07,1535.74,1543.91,1512.53,1513.95
2014-01-06,1562.56,1563.29,1537.22,1540.38
