日付,時刻,始値,高値,安値,終値
2013-12-30,後場,1086.08,1089.09,1084.32,1088.42
2013-12-30,前場,1082.53,1086.70,1080.83,1085.57
2013-12-27,後場,1070.47,1076.86,1068.80,1076.67
2013-12-27,前場,1072.90,1073.63,1065.20,1070.70
2013-12-26,後場,1066.83,1070.14,1065.94,1069.59
2013-12-26,前場,1057.80,1067.63,1057.55,1066.80
2013-12-25,後場,1049.64,1053.79,1048.58,1053.79
2013-12-25,前場,1053.73,1056.52,1050.93,1052.13
2013-12-24,後場,1062.19,1062.23,1053.99,1057.21
2013-12-24,前場,1065.15,1067.70,1061.85,1062.57
2013-12-20,後場,1056.33,1064.13,1055.97,1064.13
2013-12-20,前場,1056.48,1060.85,1053.39,1057.03
2013-12-19,後場,1062.10,1065.24,1060.46,1063.02
2013-12-19,前場,1068.89,1069.69,1061.86,1063.59
2013-12-18,後場,1056.67,1059.77,1055.34,1059.77
2013-12-18,前場,1047.24,1058.24,1047.24,1057.36
2013-12-17,後場,1048.73,1049.44,1045.89,1048.66
2013-12-17,前場,1046.46,1050.74,1046.46,1048.87
2013-12-16,後場,1040.41,1046.41,1035.97,1040.05
2013-12-16,前場,1053.38,1054.00,1043.42,1045.01
2013-12-13,後場,1056.75,1061.80,1051.95,1051.95
2013-12-13,前場,1050.41,1055.32,1045.71,1053.52
2013-12-12,後場,1047.51,1052.09,1047.01,1051.30
2013-12-12,前場,1064.21,1064.38,1047.77,1047.85
2013-12-11,後場,1073.39,1076.70,1066.95,1073.56
2013-12-11,前場,1074.95,1079.81,1074.95,1076.94
2013-12-10,後場,1081.20,1084.20,1080.79,1082.52
2013-12-10,前場,1083.89,1084.51,1080.21,1082.05
2013-12-09,後場,1079.60,1082.56,1078.05,1082.56
2013-12-09,前場,1077.42,1081.51,1076.44,1080.84
2013-12-06,後場,1061.42,1064.08,1054.10,1062.68
2013-12-06,前場,1053.28,1061.86,1053.28,1060.09
2013-12-05,後場,1065.55,1065.96,1053.22,1055.23
2013-12-05,前場,1066.33,1069.53,1061.51,1065.77
2013-12-04,後場,1070.18,1075.24,1067.61,1068.95
2013-12-04,前場,1073.69,1079.01,1063.94,1070.17
2013-12-03,後場,1083.59,1088.69,1083.59,1085.92
2013-12-03,前場,1084.41,1089.34,1082.31,1083.83
2013-12-02,後場,1078.03,1079.47,1074.15,1077.20
2013-12-02,前場,1080.33,1083.13,1076.89,1078.24
2013-11-29,後場,1076.02,1076.46,1066.31,1076.46
2013-11-29,前場,1073.34,1076.94,1072.59,1075.80
2013-11-28,後場,1074.27,1077.70,1071.75,1077.70
2013-11-28,前場,1076.36,1077.91,1073.60,1074.21
2013-11-27,後場,1070.49,1072.72,1067.34,1069.10
2013-11-27,前場,1070.55,1073.62,1069.81,1070.55
2013-11-26,後場,1076.73,1083.13,1076.73,1078.45
2013-11-26,前場,1074.86,1078.42,1074.56,1077.09
2013-11-25,後場,1075.55,1077.55,1072.65,1077.55
2013-11-25,前場,1075.53,1076.31,1071.30,1075.79
2013-11-22,後場,1072.65,1074.13,1064.10,1069.15
2013-11-22,前場,1074.38,1074.52,1069.16,1072.38
2013-11-21,後場,1063.15,1067.28,1060.86,1067.28
2013-11-21,前場,1062.22,1070.19,1060.94,1063.87
2013-11-20,後場,1057.92,1060.63,1056.12,1058.63
2013-11-20,前場,1062.52,1064.13,1055.69,1057.88
2013-11-19,後場,1058.08,1061.40,1055.55,1058.68
2013-11-19,前場,1057.52,1062.77,1056.12,1058.05
2013-11-18,後場,1063.98,1066.35,1060.51,1063.73
