日付,始値,高値,安値,終値
2012-12-28,771.69,777.01,770.62,774.50
2012-12-27,767.70,771.80,765.31,766.07
2012-12-26,756.76,763.16,754.90,762.74
2012-12-25,760.05,763.24,751.65,753.03
2012-12-21,763.64,766.48,746.52,747.92
2012-12-20,755.51,763.75,753.79,756.81
2012-12-19,746.49,756.69,745.78,755.75
2012-12-18,739.61,744.11,738.81,738.81
2012-12-17,746.05,746.05,735.36,737.57
2012-12-14,736.34,740.32,733.99,737.36
2012-12-13,738.66,742.46,737.56,739.15
2012-12-12,733.32,733.79,730.46,731.04
2012-12-11,731.37,732.64,726.67,728.02
2012-12-10,736.01,737.52,730.29,731.96
2012-12-07,729.41,733.75,729.23,730.53
2012-12-06,727.56,730.44,725.22,730.09
2012-12-05,715.50,724.93,715.19,720.14
2012-12-04,716.33,720.88,715.91,718.85
2012-12-03,723.23,723.29,716.50,717.09
2012-11-30,720.06,723.30,714.18,720.13
2012-11-29,712.92,718.73,711.84,716.72
2012-11-28,714.54,715.10,707.95,708.32
2012-11-27,716.71,720.73,714.91,717.66
2012-11-26,722.10,725.11,717.24,717.37
2012-11-22,711.12,714.27,708.69,714.27
2012-11-21,699.07,704.69,698.21,701.90
2012-11-20,697.53,697.86,692.11,693.17
2012-11-19,696.55,699.13,692.46,692.97
2012-11-16,683.06,691.31,682.50,689.89
2012-11-15,665.51,678.34,664.75,677.65
2012-11-14,664.64,665.08,662.04,663.64
2012-11-13,666.97,667.85,661.20,665.48
2012-11-12,666.80,668.67,664.64,664.64
2012-11-09,666.67,670.10,665.61,668.36
2012-11-08,675.16,677.68,670.95,673.27
2012-11-07,686.06,686.95,679.28,681.96
2012-11-06,684.13,684.95,681.55,682.90
2012-11-05,686.56,689.33,684.54,686.52
2012-11-02,688.25,691.67,688.01,690.54
2012-11-01,676.62,683.80,674.41,682.30
2012-10-31,673.01,680.26,672.05,676.50
2012-10-30,676.55,679.49,669.03,669.03
2012-10-29,674.35,676.93,672.54,675.36
2012-10-26,682.16,682.32,669.80,670.50
2012-10-25,675.10,680.24,673.38,680.24
2012-10-24,672.32,680.10,672.32,673.21
2012-10-23,685.08,687.08,677.63,680.49
2012-10-22,672.06,683.34,671.66,680.92
2012-10-19,675.88,681.73,675.78,681.27
2012-10-18,674.08,678.81,672.58,677.94
2012-10-17,671.12,675.79,670.16,671.95
2012-10-16,657.09,666.40,656.59,665.16
2012-10-15,648.49,655.77,645.16,654.36
2012-10-12,649.65,654.34,649.65,650.13
2012-10-11,641.54,648.62,641.54,643.88
2012-10-10,646.23,646.54,641.67,642.94
2012-10-09,662.38,663.88,653.46,654.17
2012-10-05,657.97,662.84,657.75,662.61
2012-10-04,652.53,660.67,649.60,655.81
2012-10-03,654.92,655.59,646.57,648.39
2012-10-02,657.38,660.98,655.69,656.11
2012-10-01,661.75,661.96,653.76,656.92
2012-09-28,675.04,676.41,662.48,665.44
2012-09-27,669.35,675.57,668.20,673.46
2012-09-26,678.44,682.66,672.10,673.73
2012-09-25,684.05,692.91,682.63,692.91
2012-09-24,687.35,689.37,683.74,685.32
2012-09-21,685.71,692.40,684.16,689.08
2012-09-20,691.96,695.37,683.68,685.41
2012-09-19,696.20,700.78,690.13,696.09
2012-09-18,689.61,695.89,686.54,693.05
2012-09-14,686.70,692.32,684.20,687.98
2012-09-13,674.95,682.07,673.89,679.94
2012-09-12,666.47,675.15,666.26,675.15
2012-09-11,665.80,666.63,662.19,665.52
2012-09-10,667.49,670.77,664.63,669.79
2012-09-07,665.72,669.50,662.32,669.50
2012-09-06,657.89,659.30,652.91,656.12
2012-09-05,663.79,663.79,656.28,656.50
2012-09-04,666.87,669.47,663.01,666.02
2012-09-03,669.93,674.56,665.97,666.55
2012-08-31,674.21,677.57,669.36,669.36
2012-08-30,685.39,685.47,680.03,681.23
2012-08-29,681.32,685.19,681.32,685.03
2012-08-28,691.99,692.02,677.14,680.14
2012-08-27,696.57,698.69,689.65,689.86
2012-08-24,692.81,693.87,690.49,691.66
2012-08-23,691.65,700.54,690.86,699.13
2012-08-22,695.43,696.86,689.40,694.41
2012-08-21,697.47,699.07,696.18,696.18
2012-08-20,702.29,703.95,697.63,698.54
2012-08-17,694.32,700.15,693.45,700.03
2012-08-16,685.35,693.24,685.28,692.47
2012-08-15,684.75,685.00,677.02,682.19
2012-08-14,680.11,684.01,679.64,683.51
2012-08-13,677.92,679.01,676.23,678.60
2012-08-10,683.00,686.61,676.05,679.25
2012-08-09,679.19,686.35,677.20,686.35
2012-08-08,678.71,684.91,675.38,678.84
2012-08-07,662.67,675.25,662.66,674.40
2012-08-06,661.40,664.84,659.84,662.80
2012-08-03,651.77,653.77,648.41,653.15
2012-08-02,659.90,664.85,657.58,657.91
2012-08-01,661.58,661.86,657.08,658.87
2012-07-31,664.80,670.86,662.39,667.33
2012-07-30,665.76,667.45,660.57,666.07
2012-07-27,658.53,660.95,655.64,658.80
2012-07-26,652.12,652.15,645.44,650.13
2012-07-25,656.77,657.45,646.98,650.25
2012-07-24,661.70,663.74,656.76,660.06
2012-07-23,669.38,671.27,663.13,663.13
2012-07-20,683.34,683.76,674.58,675.19
2012-07-19,682.64,686.97,681.03,684.16
2012-07-18,681.72,683.66,676.52,677.63
2012-07-17,684.89,684.89,678.29,678.70
2012-07-13,680.64,687.19,680.64,683.73
2012-07-12,692.83,692.87,681.44,681.78
2012-07-11,695.19,695.31,690.75,692.79
2012-07-10,703.69,708.56,697.66,697.66
2012-07-09,700.66,702.96,699.52,699.73
2012-07-06,707.20,711.80,703.86,706.67
2012-07-05,707.57,711.80,707.43,708.74
2012-07-04,711.46,713.24,709.34,709.51
2012-07-03,704.21,710.30,704.17,707.85
2012-07-02,710.57,710.67,703.09,703.09
2012-06-29,688.50,705.17,688.14,702.41
2012-06-28,690.88,693.08,687.62,691.41
2012-06-27,681.99,685.34,676.96,685.34
2012-06-26,684.53,687.64,675.08,679.86
2012-06-25,699.52,699.52,689.32,689.32
