日付,始値,高値,安値,終値
2010-12-30,1325.48,1327.70,1319.01,1319.01
2010-12-29,1322.16,1326.96,1320.13,1326.96
2010-12-28,1325.05,1325.88,1322.18,1322.18
2010-12-27,1322.24,1328.01,1321.69,1324.58
2010-12-24,1323.79,1324.42,1320.36,1321.64
2010-12-22,1326.25,1328.79,1323.07,1325.90
2010-12-21,1324.91,1332.68,1323.17,1330.60
2010-12-20,1330.33,1331.89,1318.65,1323.19
2010-12-17,1325.14,1329.27,1323.43,1327.60
2010-12-16,1322.25,1328.11,1321.89,1323.94
2010-12-15,1321.48,1324.34,1318.11,1321.54
2010-12-14,1311.71,1320.28,1311.21,1320.28
2010-12-13,1309.57,1314.96,1306.18,1314.96
2010-12-10,1317.23,1317.23,1302.13,1309.46
2010-12-09,1310.24,1311.78,1305.35,1310.39
2010-12-08,1297.82,1310.81,1295.88,1310.62
2010-12-07,1297.16,1298.40,1290.07,1294.06
2010-12-06,1304.92,1307.38,1296.37,1296.96
2010-12-03,1306.34,1310.26,1299.74,1302.54
2010-12-02,1309.02,1310.64,1295.52,1299.19
2010-12-01,1296.52,1300.86,1293.27,1296.34
2010-11-30,1303.92,1310.58,1294.24,1294.24
2010-11-29,1302.04,1312.07,1301.57,1310.32
2010-11-26,1302.68,1305.62,1299.53,1299.75
2010-11-25,1313.47,1313.47,1303.12,1303.15
2010-11-24,1307.99,1316.57,1303.47,1308.96
2010-11-22,1328.71,1329.47,1322.81,1324.70
2010-11-19,1325.26,1326.52,1315.65,1318.67
2010-11-18,1293.34,1316.79,1292.35,1316.52
2010-11-17,1281.75,1291.34,1281.07,1289.05
2010-11-16,1294.60,1296.00,1283.02,1286.18
2010-11-15,1290.94,1292.88,1285.25,1291.93
2010-11-12,1290.28,1297.61,1287.99,1288.13
2010-11-11,1298.33,1302.03,1290.32,1292.00
2010-11-10,1298.16,1301.42,1291.31,1295.38
2010-11-09,1285.68,1295.48,1285.59,1292.39
2010-11-08,1285.52,1287.84,1278.73,1287.69
2010-11-05,1283.85,1293.54,1283.69,1284.47
2010-11-04,1261.70,1273.39,1260.32,1270.65
2010-11-02,1248.50,1256.80,1246.98,1254.92
2010-11-01,1250.34,1256.96,1245.70,1248.10
2010-10-29,1244.92,1256.29,1243.03,1249.09
2010-10-28,1248.42,1254.42,1244.02,1247.35
2010-10-27,1264.39,1264.39,1244.05,1252.51
2010-10-26,1265.13,1271.91,1260.85,1264.10
2010-10-25,1278.54,1280.58,1269.62,1269.62
2010-10-22,1280.63,1284.92,1279.03,1281.60
2010-10-21,1282.03,1285.90,1273.75,1281.03
2010-10-20,1291.27,1291.27,1277.39,1282.13
2010-10-19,1295.93,1307.32,1295.93,1302.22
2010-10-18,1289.74,1300.52,1289.72,1296.49
2010-10-15,1293.93,1294.20,1283.78,1288.75
2010-10-14,1291.86,1300.42,1288.60,1294.07
2010-10-13,1285.81,1288.38,1279.62,1281.44
2010-10-12,1307.89,1308.10,1280.21,1281.62
2010-10-08,1309.22,1312.75,1303.75,1303.75
2010-10-07,1300.61,1310.41,1300.39,1308.43
2010-10-06,1296.35,1302.24,1292.86,1302.24
2010-10-05,1278.01,1298.30,1276.49,1292.95
2010-10-04,1298.87,1299.32,1281.76,1284.79
2010-10-01,1289.15,1299.64,1288.49,1296.96
2010-09-30,1307.07,1308.43,1282.50,1282.50
2010-09-29,1302.40,1308.95,1298.78,1307.60
2010-09-28,1298.74,1300.94,1291.73,1296.73
2010-09-27,1327.32,1327.44,1322.70,1325.35
2010-09-24,1316.96,1327.67,1311.61,1320.24
2010-09-22,1316.10,1331.67,1315.32,1325.00
2010-09-21,1313.35,1317.92,1308.90,1315.40
2010-09-17,1310.24,1312.26,1306.72,1308.59
2010-09-16,1321.96,1321.96,1304.30,1307.20
2010-09-15,1302.48,1323.39,1297.43,1313.48
2010-09-14,1310.34,1313.17,1303.30,1305.92
2010-09-13,1317.73,1321.75,1311.11,1311.99
2010-09-10,1306.29,1320.14,1305.58,1311.83
2010-09-09,1304.48,1304.72,1296.69,1304.72
