日付,時刻,始値,高値,安値,終値
2010-12-30,後場,863.96,868.88,863.91,864.31
2010-12-30,前場,870.61,871.13,862.92,863.33
2010-12-29,後場,869.70,872.00,869.61,871.69
2010-12-29,前場,864.76,868.32,863.69,868.06
2010-12-28,後場,865.90,867.33,864.96,866.10
2010-12-28,前場,866.90,867.46,865.14,867.12
2010-12-27,後場,867.58,869.53,867.58,868.17
2010-12-27,前場,864.97,868.53,864.68,867.11
2010-12-24,後場,862.78,864.82,862.32,864.69
2010-12-24,前場,862.66,867.30,862.42,863.20
2010-12-22,後場,870.52,871.69,864.49,865.70
2010-12-22,前場,866.87,871.66,866.28,870.17
2010-12-21,後場,862.49,866.97,862.49,862.97
2010-12-21,前場,858.20,862.43,857.79,860.18
2010-12-20,後場,858.11,858.11,853.07,855.44
2010-12-20,前場,861.51,863.30,859.60,860.60
2010-12-17,後場,862.09,862.81,860.12,862.08
2010-12-17,前場,869.35,871.46,861.81,862.39
2010-12-16,後場,871.72,874.54,871.12,871.72
2010-12-16,前場,872.16,873.05,868.59,872.57
2010-12-15,後場,869.09,879.09,868.28,877.62
2010-12-15,前場,870.54,870.99,868.19,869.04
2010-12-14,後場,863.19,867.60,862.93,867.60
2010-12-14,前場,861.99,864.53,860.24,863.24
2010-12-13,後場,856.52,861.62,855.48,861.62
2010-12-13,前場,853.12,857.00,851.36,856.23
2010-12-10,後場,857.12,858.04,854.65,855.87
2010-12-10,前場,865.94,865.94,857.12,857.35
2010-12-09,後場,861.51,863.91,861.04,863.91
2010-12-09,前場,865.22,866.57,860.70,861.75
2010-12-08,後場,862.32,864.90,860.82,864.90
2010-12-08,前場,860.50,864.45,859.05,862.92
2010-12-07,後場,855.69,860.41,855.30,857.63
2010-12-07,前場,860.37,860.44,854.59,855.16
2010-12-06,後場,856.12,859.05,856.12,856.68
2010-12-06,前場,854.21,858.49,852.13,856.27
2010-12-03,後場,847.79,852.47,847.26,851.43
2010-12-03,前場,853.95,854.56,847.19,847.67
2010-12-02,後場,848.48,849.15,845.52,847.00
2010-12-02,前場,848.35,851.16,845.02,847.22
2010-12-01,後場,826.50,835.49,825.97,835.49
2010-12-01,前場,827.07,829.35,824.77,826.90
2010-11-30,後場,829.74,829.74,823.19,825.42
2010-11-30,前場,835.60,835.93,831.45,833.22
2010-11-29,後場,836.29,840.03,836.29,839.84
2010-11-29,前場,834.72,842.63,832.76,835.36
2010-11-26,後場,834.66,835.93,831.65,831.78
2010-11-26,前場,836.56,839.07,833.24,834.49
2010-11-25,後場,837.40,840.69,836.37,836.37
2010-11-25,前場,840.25,841.45,834.23,836.79
2010-11-24,後場,834.52,836.77,831.90,832.95
2010-11-24,前場,824.14,836.11,822.77,834.80
2010-11-22,後場,834.80,842.22,834.33,838.52
2010-11-22,前場,833.56,835.49,831.76,835.49
2010-11-19,後場,831.26,831.98,828.86,829.34
2010-11-19,前場,838.23,840.16,831.41,833.10
2010-11-18,後場,817.73,828.26,817.73,828.26
2010-11-18,前場,810.55,818.63,807.78,816.07
2010-11-17,後場,808.59,813.22,807.50,812.73
2010-11-17,前場,804.93,809.86,804.74,808.53
2010-11-16,後場,815.49,821.42,812.82,817.59
2010-11-16,前場,826.94,827.60,812.88,814.77
2010-11-15,後場,818.95,821.56,816.97,821.29
2010-11-15,前場,822.16,822.43,816.78,820.12
2010-11-12,後場,827.95,828.58,820.45,820.54
2010-11-12,前場,832.50,835.85,829.48,829.92
2010-11-11,後場,831.67,834.35,830.15,834.06
2010-11-11,前場,836.08,836.08,828.71,830.91
2010-11-10,後場,831.99,832.68,825.43,832.44
2010-11-10,前場,825.35,836.22,825.31,833.35
2010-11-09,後場,821.95,823.49,817.84,820.03
2010-11-09,前場,819.54,824.33,819.34,822.80
2010-11-08,後場,823.75,824.58,821.10,824.58
2010-11-08,前場,826.11,828.53,822.96,824.90
2010-11-05,後場,817.11,823.53,816.36,817.56
2010-11-05,前場,805.03,818.36,805.03,817.38
2010-11-04,後場,785.26,790.82,785.17,788.34
2010-11-04,前場,778.95,786.56,778.58,785.39
2010-11-02,後場,767.19,772.59,766.15,771.56
2010-11-02,前場,771.91,772.51,763.91,767.70
2010-11-01,後場,771.22,774.85,767.16,769.81
2010-11-01,前場,766.38,772.26,763.82,768.67
2010-10-29,後場,772.01,775.62,770.19,772.98
2010-10-29,前場,780.43,786.93,770.56,773.39
2010-10-28,後場,783.78,786.71,779.36,781.71
2010-10-28,前場,783.35,785.34,781.41,785.16
2010-10-27,後場,795.23,795.28,784.97,786.98
2010-10-27,前場,796.05,798.50,795.21,796.52
2010-10-26,後場,792.55,796.71,790.91,791.16
2010-10-26,前場,795.69,798.93,791.65,792.96
2010-10-25,後場,794.82,803.59,794.61,799.59
2010-10-25,前場,793.74,796.66,791.64,792.31
2010-10-22,後場,795.60,797.22,792.93,794.38
2010-10-22,前場,790.49,797.31,790.17,795.55
2010-10-21,後場,793.34,794.44,789.94,792.48
2010-10-21,前場,801.18,801.27,790.83,793.41
2010-10-20,後場,788.39,797.47,788.05,795.79
2010-10-20,前場,798.87,798.92,783.54,784.88
2010-10-19,後場,820.63,821.31,810.74,814.79
2010-10-19,前場,817.72,824.93,817.72,821.83
2010-10-18,後場,826.78,826.95,817.22,820.41
2010-10-18,前場,821.80,830.83,821.80,829.50
2010-10-15,後場,827.09,828.68,820.24,821.21
2010-10-15,前場,826.36,827.20,819.70,825.94
2010-10-14,後場,823.49,833.13,823.07,830.04
2010-10-14,前場,820.91,826.90,820.60,825.37
2010-10-13,後場,816.82,817.14,809.77,809.77
2010-10-13,前場,813.39,819.37,811.50,816.96
2010-10-12,後場,819.26,819.55,806.69,810.32
2010-10-12,前場,829.01,830.78,819.36,819.92
2010-10-08,後場,820.07,821.52,818.20,818.45
2010-10-08,前場,817.51,820.32,813.29,819.22
2010-10-07,後場,821.48,821.78,814.50,818.92
2010-10-07,前場,818.64,823.87,818.64,822.05
2010-10-06,後場,814.63,818.59,814.63,818.15
2010-10-06,前場,808.41,818.81,808.41,814.95
2010-10-05,後場,790.48,799.58,785.71,797.65
2010-10-05,前場,788.62,793.67,786.10,792.64
2010-10-04,後場,794.40,797.48,788.79,790.05
2010-10-04,前場,789.85,797.44,787.78,796.38
2010-10-01,後場,789.29,791.66,782.57,789.99
2010-10-01,前場,795.61,796.41,786.37,788.62
2010-09-30,後場,802.47,803.67,791.69,792.87
2010-09-30,前場,809.62,811.20,800.96,802.57
2010-09-29,後場,804.36,808.77,803.56,805.39
2010-09-29,前場,796.75,803.44,796.13,803.44
2010-09-28,後場,796.52,796.52,791.07,793.21
2010-09-28,前場,789.04,797.14,788.78,795.89
2010-09-27,後場,789.90,795.67,789.65,795.67
2010-09-27,前場,783.86,791.69,781.56,791.69
