日付,始値,高値,安値,終値
2008-12-30,590.65,603.16,590.65,600.41
2008-12-29,581.79,589.07,578.81,588.97
2008-12-26,571.18,576.61,569.46,576.61
2008-12-25,554.55,566.59,554.16,565.76
2008-12-24,564.55,565.14,549.48,550.84
2008-12-22,566.38,571.73,565.21,571.19
2008-12-19,574.75,579.57,564.01,564.52
2008-12-18,574.61,584.06,567.62,580.08
2008-12-17,589.71,596.03,561.43,581.24
2008-12-16,589.78,596.51,581.59,581.99
2008-12-15,577.15,599.43,577.08,595.92
2008-12-12,587.41,603.69,558.72,569.00
2008-12-11,573.42,598.54,566.71,594.53
2008-12-10,551.80,571.64,550.27,568.37
2008-12-09,552.42,568.98,547.06,552.02
2008-12-08,526.43,548.75,522.85,546.28
2008-12-05,527.20,532.31,519.16,521.73
2008-12-04,540.94,543.85,519.33,524.45
2008-12-03,547.91,552.16,538.71,543.85
2008-12-02,579.01,579.01,540.76,540.76
2008-12-01,588.02,600.12,580.01,587.55
2008-11-28,564.57,597.44,564.48,589.28
2008-11-27,542.71,569.65,542.71,559.28
2008-11-26,544.85,544.85,533.33,536.54
2008-11-25,549.32,572.12,537.38,551.53
2008-11-21,506.01,541.55,487.80,540.83
2008-11-20,553.14,553.14,508.85,512.81
2008-11-19,588.74,589.60,555.96,560.67
2008-11-18,584.08,609.71,581.81,591.59
2008-11-17,596.86,611.31,582.29,591.44
2008-11-14,605.18,624.85,598.37,602.43
2008-11-13,624.36,624.41,591.19,596.50
2008-11-12,652.58,652.58,627.35,633.16
2008-11-11,671.81,676.55,658.98,661.61
2008-11-10,663.66,687.47,663.66,677.38
2008-11-07,674.83,674.83,624.87,654.26
2008-11-06,706.56,706.63,677.45,685.97
2008-11-05,677.05,718.21,677.05,718.09
2008-11-04,661.27,679.75,655.69,667.91
2008-10-31,671.99,714.44,652.32,652.32
2008-10-30,605.21,676.64,604.96,674.57
2008-10-29,571.73,615.25,571.73,598.26
2008-10-28,524.98,567.47,505.32,563.19
2008-10-27,575.78,593.35,527.36,529.78
2008-10-24,621.75,621.82,578.94,581.81
2008-10-23,644.79,645.19,592.12,629.06
2008-10-22,704.21,704.21,653.43,653.98
2008-10-21,689.55,723.24,689.33,715.07
2008-10-20,652.79,680.54,646.94,679.44
2008-10-17,654.88,664.87,621.06,644.81
2008-10-16,733.56,733.61,644.89,645.34
2008-10-15,750.71,753.72,723.16,745.57
2008-10-14,670.15,761.40,670.10,761.40
2008-10-10,658.15,682.17,611.50,658.41
2008-10-09,643.88,691.89,639.41,669.30
2008-10-08,700.90,700.90,630.91,636.06
2008-10-07,709.68,723.14,669.42,712.40
2008-10-06,756.98,758.24,710.73,721.30
2008-10-03,787.27,793.64,759.08,767.81
2008-10-02,849.00,849.00,791.36,798.70
2008-10-01,837.58,861.40,837.16,850.97
2008-09-30,850.09,850.09,805.50,826.06
2008-09-29,893.82,899.47,862.39,864.13
2008-09-26,937.31,944.20,892.24,903.63
2008-09-25,957.63,958.29,927.29,933.14
2008-09-24,990.65,991.67,959.84,983.45
2008-09-22,975.30,1016.21,975.27,1001.77
2008-09-19,899.58,962.32,899.37,959.99
2008-09-18,888.28,893.64,865.98,889.42
2008-09-17,914.77,927.79,897.28,902.91
2008-09-16,968.31,968.39,895.37,904.77
2008-09-12,968.52,988.56,968.39,984.19
2008-09-11,972.23,984.97,947.75,956.26
2008-09-10,963.63,972.90,942.27,961.24
2008-09-09,1021.11,1021.11,971.29,978.63
2008-09-08,990.08,1036.98,990.08,1032.31
2008-09-05,969.35,981.68,947.29,976.00
2008-09-04,1012.80,1013.13,973.82,985.37
2008-09-03,1053.72,1054.62,1011.90,1024.02
2008-09-02,1094.48,1094.65,1057.21,1062.38
2008-09-01,1118.02,1120.92,1104.44,1106.43
2008-08-29,1098.91,1126.68,1098.65,1126.68
2008-08-28,1096.13,1098.90,1080.55,1091.01
2008-08-27,1096.41,1105.15,1085.35,1089.27
2008-08-26,1092.39,1095.43,1087.39,1094.96
2008-08-25,1102.86,1111.93,1100.25,1106.71
2008-08-22,1102.95,1112.66,1101.84,1108.55
2008-08-21,1087.65,1101.19,1087.39,1090.69
2008-08-20,1064.17,1078.98,1063.11,1075.49
2008-08-19,1077.49,1077.49,1059.34,1060.55
2008-08-18,1060.26,1089.39,1058.69,1088.22
2008-08-15,1078.66,1080.03,1060.48,1065.88
2008-08-14,1076.89,1103.39,1076.89,1082.59
2008-08-13,1089.27,1090.02,1066.14,1069.25
2008-08-12,1127.67,1127.67,1101.53,1103.01
2008-08-11,1131.75,1139.55,1120.68,1123.38
2008-08-08,1118.95,1142.95,1109.91,1138.57
2008-08-07,1132.07,1144.63,1121.14,1128.45
2008-08-06,1127.92,1135.06,1110.02,1130.86
2008-08-05,1123.20,1138.25,1104.20,1114.25
2008-08-04,1189.70,1190.71,1132.02,1134.07
2008-08-01,1224.35,1229.52,1184.58,1198.44
2008-07-31,1265.15,1272.87,1212.87,1236.42
2008-07-30,1237.05,1252.68,1223.34,1251.77
2008-07-29,1211.74,1231.92,1194.02,1227.92
2008-07-28,1206.18,1223.25,1206.18,1218.10
2008-07-25,1214.47,1220.34,1190.41,1190.85
2008-07-24,1233.03,1239.52,1215.12,1230.31
2008-07-23,1213.94,1234.29,1213.39,1223.24
2008-07-22,1178.30,1224.40,1178.30,1223.48
2008-07-18,1193.14,1197.54,1159.54,1161.45
2008-07-17,1197.09,1201.23,1183.09,1184.55
2008-07-16,1198.65,1199.93,1178.73,1187.62
2008-07-15,1216.34,1230.01,1207.91,1213.30
2008-07-14,1211.20,1246.69,1198.49,1222.59
2008-07-11,1214.85,1231.82,1208.95,1215.15
2008-07-10,1202.93,1210.31,1194.44,1204.29
2008-07-09,1233.28,1248.39,1218.84,1219.25
2008-07-08,1263.40,1263.64,1227.51,1232.48
2008-07-07,1273.96,1281.70,1269.70,1273.12
2008-07-04,1291.82,1294.68,1271.12,1280.46
2008-07-03,1305.71,1305.71,1265.61,1283.28
2008-07-02,1347.24,1349.03,1313.65,1322.50
2008-07-01,1322.44,1349.22,1322.44,1342.19
2008-06-30,1303.13,1317.56,1299.83,1310.78
2008-06-27,1282.73,1290.69,1268.89,1288.39
2008-06-26,1324.86,1332.22,1298.36,1301.76
2008-06-25,1320.34,1327.79,1304.91,1326.84
2008-06-24,1308.68,1332.68,1307.28,1323.51
2008-06-23,1307.61,1314.08,1285.56,1309.02
2008-06-20,1346.62,1350.28,1314.11,1325.15
2008-06-19,1365.85,1367.58,1338.21,1346.56
2008-06-18,1364.90,1377.56,1363.76,1374.80
2008-06-17,1376.46,1377.53,1363.20,1368.52
2008-06-16,1337.62,1371.64,1334.33,1369.88
2008-06-13,1312.64,1339.96,1309.66,1320.43
2008-06-12,1314.85,1316.39,1299.61,1308.82
2008-06-11,1348.80,1349.11,1315.13,1329.97
2008-06-10,1366.77,1372.84,1336.92,1338.79
2008-06-09,1365.67,1383.51,1361.23,1364.33
2008-06-06,1377.97,1398.10,1377.51,1378.07
2008-06-05,1376.89,1376.95,1353.10,1359.33
2008-06-04,1391.45,1391.75,1377.92,1386.90
2008-06-03,1398.78,1409.80,1385.86,1394.91
2008-06-02,1404.94,1414.46,1398.02,1404.42
2008-05-30,1374.43,1397.29,1369.67,1390.30
2008-05-29,1378.26,1386.75,1366.41,1382.89
2008-05-28,1393.20,1394.58,1366.58,1367.59
2008-05-27,1382.30,1411.60,1380.75,1409.46
2008-05-26,1393.02,1412.30,1368.48,1371.37
2008-05-23,1443.11,1449.29,1407.91,1407.91
2008-05-22,1407.47,1455.37,1385.59,1455.37
2008-05-21,1437.16,1437.79,1407.44,1427.11
