日付,時刻,始値,高値,安値,終値
2007-12-28,後場,749.26,749.26,749.26,749.26
2007-12-28,前場,753.85,754.27,746.95,749.26
2007-12-27,後場,758.63,760.00,757.01,758.12
2007-12-27,前場,761.75,761.82,754.36,758.28
2007-12-26,後場,755.33,761.68,754.79,761.68
2007-12-26,前場,759.72,759.75,752.37,754.87
2007-12-25,後場,758.16,758.22,755.06,757.53
2007-12-25,前場,761.49,765.77,757.77,758.28
2007-12-21,後場,753.43,753.86,747.45,752.74
2007-12-21,前場,747.86,754.41,745.25,753.72
2007-12-20,後場,750.86,752.22,746.79,746.79
2007-12-20,前場,750.83,751.12,747.11,750.34
2007-12-19,後場,755.20,755.77,746.34,746.34
2007-12-19,前場,747.25,754.30,746.97,753.81
2007-12-18,後場,749.10,752.93,745.82,748.13
2007-12-18,前場,737.67,749.70,734.66,747.13
2007-12-17,後場,751.28,751.28,743.01,743.56
2007-12-17,前場,758.61,758.61,751.29,752.89
2007-12-14,後場,764.51,767.82,760.50,763.71
2007-12-14,前場,760.93,769.23,760.93,765.06
2007-12-13,後場,770.72,771.69,762.40,762.40
2007-12-13,前場,775.10,775.15,769.28,771.02
2007-12-12,後場,771.08,778.71,769.96,776.18
2007-12-12,前場,772.48,772.82,766.80,771.42
2007-12-11,後場,784.09,784.20,778.90,781.86
2007-12-11,前場,785.10,788.34,782.86,783.97
2007-12-10,後場,777.72,780.20,776.83,779.95
2007-12-10,前場,778.17,780.37,775.58,777.13
2007-12-07,後場,779.04,781.00,775.06,776.39
2007-12-07,前場,778.91,785.52,777.94,779.26
2007-12-06,後場,774.74,777.87,772.32,775.70
2007-12-06,前場,771.40,776.30,770.77,774.63
2007-12-05,後場,754.31,764.29,754.24,764.29
2007-12-05,前場,747.53,753.52,745.86,753.36
2007-12-04,後場,748.19,748.19,743.47,744.61
2007-12-04,前場,751.16,752.47,744.39,746.32
2007-12-03,後場,749.68,753.04,748.75,751.78
2007-12-03,前場,744.80,750.28,744.37,747.61
2007-11-30,後場,737.83,741.80,736.56,739.01
2007-11-30,前場,734.21,737.44,733.08,737.30
2007-11-29,後場,733.34,733.69,730.30,733.13
2007-11-29,前場,729.93,735.02,728.81,732.73
2007-11-28,後場,720.17,721.32,717.32,721.32
2007-11-28,前場,726.62,728.93,718.27,719.89
2007-11-27,後場,711.83,725.31,711.83,724.93
2007-11-27,前場,713.09,713.21,704.07,704.80
2007-11-26,後場,720.79,723.70,719.55,720.00
2007-11-26,前場,713.46,720.05,712.66,718.98
2007-11-22,後場,710.49,715.78,709.85,713.52
2007-11-22,前場,707.54,713.07,704.74,708.49
2007-11-21,後場,714.93,716.13,710.60,712.64
2007-11-21,前場,713.32,719.04,713.32,715.48
2007-11-20,後場,705.09,713.10,701.16,712.27
2007-11-20,前場,705.85,708.04,701.93,704.61
2007-11-19,後場,716.08,718.92,713.21,713.40
2007-11-19,前場,713.07,717.53,710.90,716.92
