日付,始値,高値,安値,終値
2015-12-30,1186.53,1195.42,1180.33,1191.81
2015-12-29,1168.11,1185.24,1163.81,1183.50
2015-12-28,1182.40,1184.46,1152.98,1167.26
2015-12-25,1169.90,1185.54,1168.34,1176.88
2015-12-24,1193.93,1195.20,1168.48,1168.81
2015-12-22,1183.82,1186.19,1173.09,1182.50
2015-12-21,1187.80,1199.31,1167.39,1182.10
2015-12-18,1203.75,1227.99,1188.17,1188.17
2015-12-17,1197.45,1208.97,1192.27,1205.34
2015-12-16,1177.06,1179.62,1159.58,1177.88
2015-12-15,1178.12,1190.69,1158.97,1159.38
2015-12-14,1166.23,1181.22,1162.44,1177.82
2015-12-11,1186.78,1196.80,1185.22,1186.61
2015-12-10,1192.62,1198.67,1186.03,1186.54
2015-12-09,1220.60,1228.85,1203.85,1206.26
2015-12-08,1231.42,1241.90,1223.70,1224.92
2015-12-07,1224.90,1235.27,1224.73,1230.86
2015-12-04,1214.34,1221.11,1206.13,1209.20
2015-12-03,1236.39,1236.77,1228.17,1232.78
2015-12-02,1241.27,1245.50,1237.52,1238.41
2015-12-01,1236.58,1246.74,1236.58,1245.72
2015-11-30,1243.02,1244.04,1233.34,1233.83
2015-11-27,1256.08,1256.78,1240.55,1245.89
2015-11-26,1247.08,1261.00,1247.04,1254.38
2015-11-25,1252.75,1252.75,1240.75,1243.59
2015-11-24,1244.25,1253.94,1244.25,1253.57
2015-11-20,1235.91,1244.18,1233.44,1244.18
2015-11-19,1231.30,1243.01,1228.25,1234.95
2015-11-18,1225.65,1232.93,1218.46,1219.70
2015-11-17,1218.32,1221.24,1209.97,1216.54
2015-11-16,1202.98,1211.75,1202.98,1205.75
2015-11-13,1213.64,1222.96,1207.43,1222.76
2015-11-12,1215.06,1224.36,1215.06,1219.86
2015-11-11,1198.00,1216.05,1198.00,1214.98
2015-11-10,1189.29,1200.71,1189.29,1198.50
2015-11-09,1200.09,1208.37,1196.81,1198.96
2015-11-06,1180.58,1193.66,1177.66,1191.63
2015-11-05,1168.13,1178.35,1162.94,1175.07
2015-11-04,1157.89,1176.20,1156.96,1164.36
2015-11-02,1157.26,1160.10,1141.40,1142.97
2015-10-30,1155.23,1169.38,1150.54,1163.08
2015-10-29,1165.44,1165.44,1150.09,1154.01
2015-10-28,1165.00,1165.00,1150.33,1160.55
2015-10-27,1158.26,1174.36,1156.51,1163.05
2015-10-26,1156.94,1157.63,1148.85,1150.86
2015-10-23,1160.37,1160.39,1147.45,1148.02
2015-10-22,1148.79,1151.89,1144.14,1145.85
2015-10-21,1144.14,1156.01,1141.48,1154.05
2015-10-20,1158.49,1166.05,1147.87,1149.57
2015-10-19,1145.57,1160.55,1144.67,1153.33
2015-10-16,1159.94,1159.95,1144.48,1147.90
2015-10-15,1136.96,1159.18,1136.96,1156.17
2015-10-14,1140.27,1147.91,1135.11,1140.51
2015-10-13,1153.18,1162.74,1148.13,1149.28
2015-10-09,1157.89,1158.20,1140.49,1157.57
2015-10-08,1186.74,1187.17,1158.43,1159.73
2015-10-07,1197.42,1199.79,1180.07,1198.74
2015-10-06,1210.10,1210.11,1190.90,1195.43
2015-10-05,1193.24,1199.05,1184.39,1196.74
2015-10-02,1175.70,1199.48,1175.70,1183.97
2015-10-01,1165.06,1184.70,1160.62,1176.79
2015-09-30,1141.45,1162.15,1140.19,1157.54
2015-09-29,1143.43,1144.40,1117.42,1122.62
2015-09-28,1144.75,1159.46,1135.30,1158.10
2015-09-25,1125.72,1142.51,1121.07,1142.51
2015-09-24,1110.35,1140.71,1110.35,1122.84
2015-09-18,1125.16,1133.05,1114.28,1114.46
2015-09-17,1122.08,1130.02,1111.04,1128.32
2015-09-16,1137.61,1137.61,1107.55,1116.02
2015-09-15,1125.98,1147.94,1122.10,1128.97
2015-09-14,1127.39,1142.00,1116.83,1118.92
2015-09-11,1095.77,1129.28,1093.30,1122.69
2015-09-10,1105.14,1105.37,1081.28,1098.16
2015-09-09,1076.45,1124.82,1076.20,1124.82
2015-09-08,1095.60,1099.96,1055.97,1057.01
2015-09-07,1085.65,1100.00,1072.55,1092.81
2015-09-04,1126.31,1126.31,1085.86,1093.81
2015-09-03,1134.51,1137.99,1117.03,1117.49
2015-09-02,1109.50,1143.86,1104.40,1120.87
2015-09-01,1172.16,1173.14,1128.17,1128.17
2015-08-31,1173.95,1179.62,1166.20,1178.27
2015-08-28,1180.91,1188.89,1169.98,1183.75
2015-08-27,1157.65,1173.50,1155.00,1160.19
2015-08-26,1122.03,1145.40,1112.56,1143.79
2015-08-25,1130.89,1164.42,1093.72,1111.13
2015-08-24,1190.39,1199.32,1154.26,1154.26
2015-08-21,1216.47,1224.39,1211.60,1211.60
2015-08-20,1249.11,1259.95,1238.64,1239.06
2015-08-19,1271.72,1275.83,1253.04,1253.19
2015-08-18,1292.29,1296.00,1276.18,1277.33
2015-08-17,1283.42,1295.29,1282.82,1291.14
2015-08-14,1273.63,1288.47,1272.35,1280.30
2015-08-13,1263.34,1279.68,1254.49,1275.84
2015-08-12,1276.04,1282.44,1258.24,1262.87
2015-08-11,1300.27,1303.58,1276.83,1282.43
2015-08-10,1277.50,1299.52,1275.83,1299.52
2015-08-07,1282.32,1282.53,1268.97,1278.68
2015-08-06,1311.70,1311.70,1289.49,1289.49
2015-08-05,1324.18,1327.51,1300.74,1301.71
2015-08-04,1300.87,1332.36,1300.18,1326.94
2015-08-03,1287.00,1303.03,1286.04,1302.01
2015-07-31,1287.43,1287.90,1275.66,1285.54
2015-07-30,1289.25,1295.55,1282.46,1284.84
2015-07-29,1268.20,1284.25,1267.78,1283.12
2015-07-28,1245.40,1267.79,1240.99,1261.35
2015-07-27,1271.31,1278.02,1255.95,1260.89
2015-07-24,1288.11,1290.93,1276.87,1279.64
2015-07-23,1270.99,1288.92,1269.85,1286.74
2015-07-22,1266.84,1275.78,1265.06,1265.46
2015-07-21,1262.20,1274.99,1257.11,1274.84
2015-07-17,1249.44,1255.01,1248.39,1252.19
2015-07-16,1237.02,1249.85,1236.36,1249.51
2015-07-15,1227.61,1230.95,1224.38,1229.97
2015-07-14,1225.34,1228.87,1218.62,1225.56
2015-07-13,1190.07,1210.30,1184.10,1208.84
2015-07-10,1202.07,1203.64,1171.85,1178.23
2015-07-09,1177.77,1201.83,1160.70,1201.83
2015-07-08,1230.53,1230.53,1195.26,1195.26
2015-07-07,1224.30,1234.61,1222.15,1232.76
2015-07-06,1205.07,1222.03,1203.95,1208.48
2015-07-03,1230.60,1230.97,1219.64,1223.88
2015-07-02,1240.75,1243.71,1228.89,1232.02
2015-07-01,1207.75,1229.06,1207.75,1228.09
2015-06-30,1189.50,1205.27,1189.50,1202.43
2015-06-29,1185.48,1197.70,1178.65,1183.45
2015-06-26,1204.60,1213.92,1203.76,1207.55
2015-06-25,1199.47,1209.75,1198.52,1203.10
2015-06-24,1204.11,1206.39,1197.23,1203.35
2015-06-23,1193.82,1199.76,1192.61,1199.76
2015-06-22,1173.94,1187.18,1173.90,1187.18
2015-06-19,1166.58,1177.13,1166.56,1172.89
2015-06-18,1158.98,1162.36,1153.75,1158.64
2015-06-17,1159.97,1165.28,1157.43,1162.41
2015-06-16,1157.35,1162.90,1155.60,1155.60
2015-06-15,1150.10,1161.90,1150.10,1161.09
2015-06-12,1157.04,1159.34,1152.17,1156.00
2015-06-11,1134.98,1153.74,1134.02,1153.74
2015-06-10,1132.99,1136.34,1126.08,1126.77
2015-06-09,1144.84,1146.07,1134.15,1134.15
2015-06-08,1157.70,1157.94,1147.31,1150.16
2015-06-05,1145.06,1157.05,1144.29,1155.80
