日付,時刻,始値,高値,安値,終値
2010-12-30,後場,424.97,427.38,424.97,425.16
2010-12-30,前場,427.81,428.30,424.49,424.78
2010-12-29,後場,427.46,429.50,427.36,429.50
2010-12-29,前場,424.97,426.68,424.84,426.51
2010-12-28,後場,425.62,425.72,424.97,425.04
2010-12-28,前場,425.57,426.16,424.91,426.08
2010-12-27,後場,426.55,426.81,425.58,426.16
2010-12-27,前場,425.36,426.51,425.25,426.16
2010-12-24,後場,425.93,426.11,425.08,425.77
2010-12-24,前場,427.69,427.82,425.64,426.56
2010-12-22,後場,430.93,431.01,428.70,429.46
2010-12-22,前場,429.16,431.54,428.94,430.67
2010-12-21,後場,429.48,430.57,429.28,430.06
2010-12-21,前場,428.12,428.76,427.06,428.76
2010-12-20,後場,427.05,427.73,425.63,427.43
2010-12-20,前場,429.92,430.26,428.41,428.57
2010-12-17,後場,429.83,430.02,428.46,428.84
2010-12-17,前場,429.80,431.07,429.18,430.33
2010-12-16,後場,429.40,430.81,428.61,430.02
2010-12-16,前場,428.30,429.75,427.77,429.48
2010-12-15,後場,426.63,428.76,425.64,428.54
2010-12-15,前場,428.30,429.29,426.31,426.91
2010-12-14,後場,423.97,426.44,423.92,426.44
2010-12-14,前場,422.29,425.22,422.26,423.88
2010-12-13,後場,419.94,423.22,419.94,423.22
2010-12-13,前場,420.98,421.45,419.27,419.83
2010-12-10,後場,419.77,420.61,419.61,419.93
2010-12-10,前場,424.16,424.16,419.70,420.04
2010-12-09,後場,420.49,421.96,419.97,421.46
2010-12-09,前場,420.53,421.90,420.36,420.60
2010-12-08,後場,418.59,420.43,418.20,420.43
2010-12-08,前場,418.91,421.51,418.39,418.86
2010-12-07,後場,413.70,416.81,413.43,416.81
2010-12-07,前場,413.58,414.15,412.17,413.52
2010-12-06,後場,413.28,414.75,413.19,414.37
2010-12-06,前場,413.02,414.26,413.02,413.41
2010-12-03,後場,412.04,412.36,411.25,412.36
2010-12-03,前場,415.07,415.31,412.48,412.66
2010-12-02,後場,412.59,412.93,410.69,411.78
2010-12-02,前場,411.00,412.35,410.09,412.04
2010-12-01,後場,402.12,405.13,402.07,405.03
2010-12-01,前場,403.08,404.70,401.96,402.55
2010-11-30,後場,407.04,407.04,403.92,403.92
2010-11-30,前場,409.38,410.21,408.04,408.83
2010-11-29,後場,408.14,411.22,408.14,411.05
2010-11-29,前場,405.77,409.25,405.55,407.55
2010-11-26,後場,407.93,408.13,405.25,405.25
2010-11-26,前場,407.43,409.95,406.94,407.83
2010-11-25,後場,406.18,408.64,405.97,407.07
2010-11-25,前場,407.21,407.21,404.21,406.22
2010-11-24,後場,404.65,406.41,404.32,404.43
2010-11-24,前場,400.78,405.60,400.78,405.33
2010-11-22,後場,405.29,406.38,404.97,405.11
2010-11-22,前場,405.57,406.46,404.75,405.52
2010-11-19,後場,403.39,404.71,401.97,401.97
2010-11-19,前場,406.59,406.80,403.67,404.10
2010-11-18,後場,400.02,404.06,399.97,404.06
2010-11-18,前場,396.58,400.32,396.13,399.23
2010-11-17,後場,392.82,395.09,392.29,394.84
2010-11-17,前場,390.38,393.20,390.38,392.49
2010-11-16,後場,394.51,397.31,393.35,394.43
2010-11-16,前場,397.58,398.17,393.99,394.07
2010-11-15,後場,394.83,396.25,394.36,395.09
2010-11-15,前場,396.96,396.96,394.16,395.18
2010-11-12,後場,394.69,396.50,394.38,394.38
2010-11-12,前場,395.64,399.37,395.56,396.00
2010-11-11,後場,396.98,398.09,395.63,396.95
2010-11-11,前場,396.83,397.50,395.59,397.03
2010-11-10,後場,396.77,397.01,395.48,396.76
2010-11-10,前場,392.89,398.15,392.63,396.81
2010-11-09,後場,392.86,393.72,391.29,393.04
2010-11-09,前場,393.74,395.01,392.91,393.15
2010-11-08,後場,394.62,395.78,393.26,395.78
2010-11-08,前場,393.49,395.19,392.24,395.02
2010-11-05,後場,390.93,392.11,390.17,390.81
2010-11-05,前場,388.39,392.55,388.30,391.68
2010-11-04,後場,382.02,383.22,381.48,383.22
2010-11-04,前場,378.01,384.23,377.94,383.02
2010-11-02,後場,373.01,374.74,372.31,373.66
2010-11-02,前場,374.00,375.33,372.43,373.13
2010-11-01,後場,375.27,377.37,373.11,373.92
2010-11-01,前場,373.65,376.13,373.50,374.34
2010-10-29,後場,371.58,375.20,371.45,374.53
2010-10-29,前場,378.48,379.14,372.12,372.12
2010-10-28,後場,379.32,380.68,378.70,378.86
2010-10-28,前場,380.86,381.20,379.35,380.07
2010-10-27,後場,384.02,384.26,381.27,382.91
2010-10-27,前場,385.94,386.05,383.69,384.88
2010-10-26,後場,384.58,387.03,383.77,383.77
2010-10-26,前場,385.74,386.61,384.44,384.83
2010-10-25,後場,386.19,387.33,385.32,385.43
2010-10-25,前場,387.03,388.11,385.38,385.80
2010-10-22,後場,386.39,387.59,385.95,386.89
2010-10-22,前場,385.33,387.41,384.85,386.39
2010-10-21,後場,384.43,385.24,383.09,384.16
2010-10-21,前場,386.63,386.90,382.71,385.13
2010-10-20,後場,385.11,387.42,384.88,386.13
2010-10-20,前場,386.96,387.08,383.71,384.01
2010-10-19,後場,392.75,393.83,391.13,391.63
2010-10-19,前場,389.78,394.76,389.57,393.41
2010-10-18,後場,390.90,391.73,389.71,390.47
2010-10-18,前場,388.55,391.72,388.23,391.66
2010-10-15,後場,389.41,390.00,386.92,387.40
2010-10-15,前場,392.01,392.03,387.88,388.38
2010-10-14,後場,391.46,394.65,390.95,393.77
2010-10-14,前場,390.78,393.78,390.26,392.89
2010-10-13,後場,391.07,391.07,385.79,385.79
2010-10-13,前場,391.76,392.36,389.47,391.16
2010-10-12,後場,394.00,394.00,388.76,388.76
2010-10-12,前場,399.92,399.92,393.24,393.75
2010-10-08,後場,400.82,400.82,396.81,396.81
2010-10-08,前場,397.33,400.19,396.90,400.17
2010-10-07,後場,399.82,400.45,396.57,397.88
2010-10-07,前場,392.69,399.41,392.69,399.27
2010-10-06,後場,388.94,393.35,388.83,393.35
2010-10-06,前場,384.79,390.52,383.79,388.74
2010-10-05,後場,376.21,382.39,373.14,380.65
2010-10-05,前場,376.47,377.99,375.50,376.28
2010-10-04,後場,383.57,383.78,377.64,377.75
2010-10-04,前場,382.93,384.70,381.80,384.10
2010-10-01,後場,383.88,383.91,380.26,382.13
2010-10-01,前場,385.52,385.75,383.18,384.20
2010-09-30,後場,387.23,388.24,383.14,383.14
2010-09-30,前場,388.45,389.99,386.52,387.20
2010-09-29,後場,387.65,388.16,386.83,387.86
2010-09-29,前場,387.02,388.59,385.75,387.26
2010-09-28,後場,385.30,386.23,384.80,385.99
2010-09-28,前場,386.31,386.78,384.63,385.05
2010-09-27,後場,386.24,387.85,385.86,387.85
2010-09-27,前場,388.05,388.16,386.07,387.57
2010-09-24,後場,385.88,388.33,384.15,384.15
2010-09-24,前場,384.11,386.07,383.24,386.03
2010-09-22,後場,386.21,387.34,385.72,385.74
2010-09-22,前場,386.11,386.98,385.25,386.26
2010-09-21,後場,387.31,387.50,385.69,386.03
2010-09-21,前場,390.30,390.64,387.69,388.23
2010-09-17,後場,388.34,389.64,387.38,388.81
2010-09-17,前場,386.64,387.58,385.35,387.05
2010-09-16,後場,384.77,385.64,383.54,384.22
2010-09-16,前場,391.25,391.35,385.79,386.30
2010-09-15,後場,389.63,390.52,388.40,388.40
2010-09-15,前場,381.94,387.38,380.32,387.14
2010-09-14,後場,384.10,384.73,382.32,383.19
2010-09-14,前場,387.00,387.59,384.50,385.55
2010-09-13,後場,387.71,388.74,386.61,386.75
2010-09-13,前場,388.59,390.58,387.24,387.35
2010-09-10,後場,387.81,388.37,385.33,386.41
2010-09-10,前場,385.41,389.70,385.26,389.28
2010-09-09,後場,383.99,384.96,383.35,384.40
2010-09-09,前場,385.79,386.47,383.32,384.02
2010-09-08,後場,382.71,382.79,381.38,382.42
2010-09-08,前場,385.27,385.95,382.71,383.40
2010-09-07,後場,389.34,390.33,388.26,389.56
2010-09-07,前場,388.12,390.29,387.64,389.96
2010-09-06,後場,388.04,390.82,387.58,390.56
2010-09-06,前場,386.49,388.41,385.28,388.12
2010-09-03,後場,381.76,383.78,380.99,383.47
2010-09-03,前場,383.21,383.69,381.85,381.90
2010-09-02,後場,377.68,380.10,375.80,380.10
2010-09-02,前場,380.71,381.03,376.33,378.54
2010-09-01,後場,370.82,375.22,370.67,375.03
2010-09-01,前場,369.33,370.06,367.62,368.58
2010-08-31,後場,373.47,373.47,367.30,367.30
2010-08-31,前場,377.57,377.57,373.09,373.53
2010-08-30,後場,385.55,385.55,382.13,383.29
2010-08-30,前場,381.59,387.26,381.26,387.06
2010-08-27,後場,371.22,376.74,370.34,376.36
2010-08-27,前場,368.37,371.94,368.32,370.00
2010-08-26,後場,370.48,371.56,369.72,370.99
2010-08-26,前場,374.09,374.09,368.91,370.12
2010-08-25,後場,375.24,375.98,370.79,372.21
2010-08-25,前場,373.71,375.13,373.43,374.19
2010-08-24,後場,376.97,377.56,374.57,375.68
2010-08-24,前場,376.11,376.57,374.67,375.52
2010-08-23,後場,379.13,380.23,378.69,378.97
2010-08-23,前場,380.52,380.90,378.89,380.24
2010-08-20,後場,384.36,384.37,381.04,381.04
2010-08-20,前場,384.77,385.59,383.39,384.52
2010-08-19,後場,389.41,390.33,387.88,389.34
2010-08-19,前場,388.73,390.65,388.50,390.29
2010-08-18,後場,385.47,390.08,385.37,388.45
2010-08-18,前場,387.06,387.29,382.81,386.26
2010-08-17,後場,381.57,383.95,381.42,383.66
2010-08-17,前場,378.43,380.88,378.43,380.38
2010-08-16,後場,381.30,382.95,380.62,381.71
2010-08-16,前場,379.80,380.80,378.08,380.67
2010-08-13,後場,382.35,383.38,381.70,382.35
2010-08-13,前場,383.61,383.61,380.62,381.40
2010-08-12,後場,379.77,383.54,379.49,383.41
2010-08-12,前場,380.73,381.76,379.84,380.23
2010-08-11,後場,388.58,389.01,386.81,387.08
2010-08-11,前場,392.70,393.52,386.89,388.22
2010-08-10,後場,398.50,398.50,395.50,397.37
2010-08-10,前場,399.62,401.83,399.62,400.78
2010-08-09,後場,397.79,399.49,397.32,399.37
2010-08-09,前場,397.03,398.83,396.83,397.61
2010-08-06,後場,401.20,402.20,400.20,400.95
2010-08-06,前場,396.27,401.34,395.67,401.33
2010-08-05,後場,395.65,398.65,395.52,398.65
2010-08-05,前場,397.63,398.69,396.58,396.70
2010-08-04,後場,394.06,394.06,391.86,392.73
2010-08-04,前場,397.69,398.23,392.96,394.86
2010-08-03,後場,397.87,400.37,397.67,400.37
2010-08-03,前場,397.29,401.09,396.91,399.69
2010-08-02,後場,396.42,396.82,391.80,392.57
2010-08-02,前場,393.21,396.68,391.83,395.59
2010-07-30,後場,391.27,393.49,390.85,392.45
2010-07-30,前場,397.75,397.75,392.74,392.74
2010-07-29,後場,400.05,400.80,399.07,399.17
2010-07-29,前場,399.19,400.71,398.77,399.46
2010-07-28,後場,400.82,402.69,400.64,402.44
2010-07-28,前場,399.02,400.05,397.12,399.55
2010-07-27,後場,396.41,397.32,395.56,395.64
2010-07-27,前場,396.73,396.84,395.47,395.95
2010-07-26,後場,397.26,397.36,396.10,396.78
2010-07-26,前場,397.70,398.34,396.94,397.60
2010-07-23,後場,393.12,396.63,392.93,394.44
2010-07-23,前場,393.78,394.03,391.81,393.90
2010-07-22,後場,386.22,388.37,385.64,387.56
2010-07-22,前場,385.48,387.28,384.09,387.04
2010-07-21,後場,390.19,390.19,387.78,388.27
2010-07-21,前場,394.07,394.21,389.60,390.84
2010-07-20,後場,392.88,395.02,391.44,392.10
2010-07-20,前場,390.42,391.71,388.60,390.55
2010-07-16,後場,395.73,395.84,393.67,394.64
2010-07-16,前場,396.88,398.84,395.61,396.44
2010-07-15,後場,400.16,400.81,399.66,399.68
2010-07-15,前場,401.83,401.83,399.12,400.08
2010-07-14,後場,404.57,404.71,402.85,404.42
2010-07-14,前場,403.52,404.68,402.24,404.45
2010-07-13,後場,398.83,398.83,396.30,397.51
2010-07-13,前場,401.74,402.66,398.47,399.86
2010-07-12,後場,403.18,403.18,399.84,400.09
2010-07-12,前場,401.32,404.08,401.12,402.79
2010-07-09,後場,400.74,401.86,400.22,400.79
2010-07-09,前場,400.73,401.17,398.64,400.25
2010-07-08,後場,399.29,399.61,397.61,398.74
2010-07-08,前場,396.92,400.73,396.63,399.58
2010-07-07,後場,389.46,390.46,387.84,389.81
2010-07-07,前場,393.43,393.43,388.91,389.04
2010-07-06,後場,389.14,393.37,389.14,393.37
2010-07-06,前場,386.05,387.30,384.10,387.30
2010-07-05,後場,387.42,388.71,387.31,388.12
2010-07-05,前場,386.40,387.30,385.79,386.92
