日付,始値,高値,安値,終値
2016-12-30,1131.96,1139.79,1128.53,1137.58
2016-12-29,1138.47,1141.23,1131.29,1136.88
2016-12-28,1136.95,1147.64,1136.28,1143.98
2016-12-27,1141.51,1145.68,1136.99,1138.32
2016-12-26,1147.69,1149.16,1145.40,1147.01
2016-12-22,1149.54,1151.78,1144.28,1151.78
2016-12-21,1160.20,1160.67,1147.42,1150.28
2016-12-20,1151.85,1160.05,1150.39,1159.78
2016-12-19,1149.69,1152.74,1146.82,1150.90
2016-12-16,1153.85,1154.90,1149.03,1154.10
2016-12-15,1155.06,1160.28,1141.21,1144.39
2016-12-14,1160.36,1160.40,1151.95,1152.70
2016-12-13,1145.74,1158.81,1144.64,1158.73
2016-12-12,1153.83,1154.88,1140.89,1145.03
2016-12-09,1147.88,1150.20,1142.85,1147.57
2016-12-08,1138.11,1144.11,1135.17,1144.11
2016-12-07,1125.66,1126.98,1119.51,1126.88
2016-12-06,1124.39,1127.72,1121.31,1123.22
2016-12-05,1121.06,1124.19,1109.88,1112.85
2016-12-02,1134.33,1137.37,1125.00,1129.46
2016-12-01,1139.37,1148.15,1133.91,1137.11
2016-11-30,1123.47,1132.06,1122.62,1129.51
2016-11-29,1121.89,1125.90,1116.68,1119.84
2016-11-28,1104.11,1121.28,1103.70,1119.30
2016-11-25,1106.23,1106.85,1096.97,1103.55
2016-11-24,1099.67,1104.52,1097.26,1101.31
2016-11-22,1087.29,1094.29,1087.29,1093.24
2016-11-21,1080.10,1087.33,1078.49,1086.93
2016-11-18,1077.63,1077.82,1072.26,1075.46
2016-11-17,1064.04,1071.26,1060.83,1068.27
2016-11-16,1063.26,1063.29,1057.31,1062.78
2016-11-15,1057.12,1057.12,1048.58,1053.74
2016-11-14,1051.39,1057.43,1049.97,1053.49
2016-11-11,1056.30,1064.37,1043.74,1045.69
2016-11-10,1021.55,1052.78,1020.42,1047.93
2016-11-09,1041.75,1051.52,991.02,1000.96
2016-11-08,1043.71,1044.74,1037.72,1043.36
2016-11-07,1040.12,1045.56,1034.69,1044.85
2016-11-04,1039.06,1043.19,1024.19,1029.46
2016-11-02,1053.45,1053.94,1042.45,1047.36
2016-11-01,1054.53,1064.36,1051.20,1064.36
2016-10-31,1053.62,1058.48,1050.25,1057.61
2016-10-28,1058.75,1059.16,1053.10,1059.16
2016-10-27,1052.87,1057.04,1048.16,1050.70
2016-10-26,1037.91,1048.12,1037.18,1047.35
2016-10-25,1031.84,1037.94,1030.43,1035.65
2016-10-24,1023.03,1030.79,1020.28,1030.09
2016-10-21,1031.60,1031.60,1022.72,1024.05
2016-10-20,1020.55,1035.04,1020.15,1034.61
2016-10-19,1015.23,1020.78,1013.16,1020.04
2016-10-18,1005.20,1014.63,1002.50,1014.56
2016-10-17,1000.16,1003.37,997.63,1002.18
2016-10-14,998.85,1003.56,996.13,1002.70
2016-10-13,1002.08,1003.38,995.45,999.58
2016-10-12,993.40,1007.51,993.40,998.92
2016-10-11,994.25,1003.35,994.25,999.52
2016-10-07,1000.89,1000.94,990.65,993.80
2016-10-06,1005.57,1007.00,1003.25,1003.88
2016-10-05,1011.76,1011.76,1001.97,1003.10
2016-10-04,1013.11,1013.84,1005.71,1010.07
2016-10-03,1011.16,1016.68,1008.76,1009.96
2016-09-30,1004.14,1012.33,1000.28,1007.66
2016-09-29,1018.71,1022.09,1015.59,1018.87
2016-09-28,1014.99,1016.67,1007.81,1013.91
2016-09-27,1007.57,1026.05,1001.13,1026.05
2016-09-26,1022.99,1022.99,1013.61,1015.33
2016-09-23,1008.65,1020.80,1007.66,1020.80
2016-09-21,988.85,1012.65,988.37,1012.07
2016-09-20,987.02,999.70,985.21,988.69
2016-09-16,998.34,998.40,989.62,991.70
2016-09-15,999.54,999.54,991.17,992.68
2016-09-14,1000.80,1006.48,1000.04,1002.64
2016-09-13,1003.28,1006.33,1000.72,1004.08
2016-09-12,993.90,1002.89,993.90,1002.28
2016-09-09,1015.71,1020.14,1009.70,1010.56
2016-09-08,1019.76,1020.92,1014.56,1018.85
2016-09-07,1011.36,1021.69,1011.36,1021.02
2016-09-06,996.46,1013.20,996.46,1012.42
2016-09-05,1006.27,1006.27,996.40,997.05
2016-09-02,997.86,1002.62,994.67,998.50
2016-09-01,988.75,994.88,982.13,994.50
2016-08-31,984.62,990.69,979.55,989.79
2016-08-30,985.66,985.66,979.49,982.21
2016-08-29,993.88,995.35,987.09,988.76
2016-08-26,982.90,985.88,978.75,978.75
2016-08-25,995.02,997.71,986.26,987.48
2016-08-24,993.54,996.49,987.22,994.05
2016-08-23,982.50,996.05,982.50,986.63
2016-08-22,970.83,980.48,968.20,979.90
2016-08-19,973.05,973.05,961.72,965.97
2016-08-18,976.31,981.68,970.92,971.00
2016-08-17,992.03,994.05,979.38,985.14
2016-08-16,1017.82,1017.82,996.79,996.79
2016-08-15,1021.49,1023.16,1017.28,1018.66
2016-08-12,1033.79,1035.18,1023.72,1025.49
2016-08-10,1016.36,1029.71,1015.74,1025.48
2016-08-09,1005.98,1015.58,995.01,1012.57
2016-08-08,1008.82,1012.81,996.73,1009.14
2016-08-05,1016.69,1022.00,999.66,1003.83
2016-08-04,1028.50,1028.51,1012.82,1018.32
2016-08-03,1035.91,1036.20,1026.28,1027.63
2016-08-02,1055.11,1057.36,1048.11,1048.11
2016-08-01,1061.03,1066.71,1050.92,1065.69
2016-07-29,1076.01,1084.44,1055.55,1076.96
2016-07-28,1078.38,1082.19,1071.21,1079.25
2016-07-27,1078.22,1089.85,1075.45,1084.56
2016-07-26,1072.60,1074.46,1061.36,1069.29
2016-07-25,1077.44,1083.59,1073.24,1073.89
2016-07-22,1073.62,1080.24,1068.86,1073.97
2016-07-21,1085.81,1089.46,1080.08,1085.01
2016-07-20,1056.10,1072.28,1054.54,1072.28
2016-07-19,1054.75,1056.52,1043.26,1056.52
2016-07-15,1062.30,1066.07,1050.82,1053.03
2016-07-14,1049.51,1064.41,1049.51,1061.93
2016-07-13,1056.62,1058.06,1044.87,1047.65
2016-07-12,1037.94,1054.40,1036.36,1040.03
2016-07-11,1001.09,1032.05,1000.55,1027.29
2016-07-08,998.97,1003.29,984.59,984.59
2016-07-07,1008.49,1008.49,996.53,998.93
2016-07-06,1013.54,1016.65,1000.93,1014.30
2016-07-05,1019.92,1028.08,1016.86,1027.84
2016-07-04,1017.23,1025.70,1016.98,1022.86
2016-07-01,1025.74,1025.74,1018.79,1022.51
2016-06-30,1031.77,1034.82,1021.48,1021.48
2016-06-29,1017.85,1021.09,1011.54,1019.02
2016-06-28,979.26,1011.99,979.26,1003.81
2016-06-27,963.28,991.03,963.28,989.34
2016-06-24,1018.86,1018.86,938.99,950.85
2016-06-23,1012.51,1013.83,1006.38,1012.66
2016-06-22,1016.07,1016.76,1003.71,1010.69
2016-06-21,1004.43,1021.60,1001.35,1019.79
2016-06-20,999.84,1013.36,997.87,1009.77
2016-06-17,990.51,1000.54,983.88,985.31
2016-06-16,1005.73,1009.78,979.19,981.74
