日付,時刻,始値,高値,安値,終値
2010-12-30,後場,1316.45,1324.10,1315.56,1317.22
2010-12-30,前場,1324.83,1326.34,1315.70,1316.18
2010-12-29,後場,1326.96,1327.61,1324.06,1325.94
2010-12-29,前場,1324.67,1329.95,1322.69,1324.43
2010-12-28,後場,1325.46,1326.51,1320.81,1323.61
2010-12-28,前場,1332.82,1332.82,1326.29,1326.60
2010-12-27,後場,1339.78,1341.42,1336.20,1337.43
2010-12-27,前場,1338.19,1340.25,1336.51,1338.71
2010-12-24,後場,1336.09,1337.44,1333.86,1337.07
2010-12-24,前場,1336.52,1340.13,1334.40,1335.98
2010-12-22,後場,1343.64,1344.66,1339.23,1343.49
2010-12-22,前場,1346.65,1349.63,1343.01,1343.33
2010-12-21,後場,1347.60,1351.33,1345.60,1350.23
2010-12-21,前場,1341.91,1344.26,1340.63,1344.26
2010-12-20,後場,1334.36,1338.67,1331.70,1335.01
2010-12-20,前場,1338.10,1343.10,1336.92,1338.91
2010-12-17,後場,1339.84,1341.18,1334.52,1336.16
2010-12-17,前場,1341.98,1342.17,1335.20,1335.90
2010-12-16,後場,1346.27,1351.34,1343.78,1345.98
2010-12-16,前場,1344.46,1347.81,1341.96,1346.28
2010-12-15,後場,1342.71,1352.72,1342.09,1347.89
2010-12-15,前場,1342.33,1345.47,1340.90,1343.36
2010-12-14,後場,1336.81,1341.61,1334.96,1341.61
2010-12-14,前場,1341.02,1341.78,1335.42,1337.57
2010-12-13,後場,1334.51,1344.32,1334.21,1344.32
2010-12-13,前場,1332.17,1335.47,1329.85,1335.21
2010-12-10,後場,1345.47,1347.29,1342.13,1342.40
2010-12-10,前場,1352.00,1352.00,1339.85,1344.12
2010-12-09,後場,1340.98,1347.19,1339.64,1347.12
2010-12-09,前場,1340.68,1343.02,1337.28,1341.42
2010-12-08,後場,1336.56,1341.41,1334.95,1339.73
2010-12-08,前場,1327.77,1340.23,1327.77,1336.42
2010-12-07,後場,1324.81,1329.44,1323.53,1328.06
2010-12-07,前場,1325.18,1325.84,1321.95,1323.31
2010-12-06,後場,1324.37,1328.37,1323.65,1327.82
2010-12-06,前場,1325.01,1326.04,1321.96,1323.17
2010-12-03,後場,1322.73,1325.60,1321.87,1325.04
2010-12-03,前場,1329.04,1333.20,1323.01,1323.01
2010-12-02,後場,1323.09,1325.08,1318.96,1324.19
2010-12-02,前場,1323.90,1325.38,1319.15,1322.46
2010-12-01,後場,1302.25,1310.45,1301.56,1310.45
2010-12-01,前場,1301.76,1304.98,1298.17,1302.15
2010-11-30,後場,1310.88,1312.29,1301.25,1301.25
2010-11-30,前場,1311.72,1316.41,1309.79,1315.43
2010-11-29,後場,1319.44,1324.81,1317.54,1317.68
2010-11-29,前場,1318.48,1325.39,1315.88,1318.21
2010-11-26,後場,1318.05,1322.90,1317.06,1318.39
2010-11-26,前場,1313.30,1321.25,1313.06,1318.50
2010-11-25,後場,1313.40,1319.98,1312.89,1314.02
2010-11-25,前場,1318.78,1318.78,1309.20,1313.00
2010-11-24,後場,1312.92,1322.12,1312.84,1316.57
2010-11-24,前場,1301.44,1318.39,1301.06,1317.53
2010-11-22,後場,1319.07,1324.25,1319.07,1319.18
2010-11-22,前場,1320.79,1321.44,1314.65,1318.69
2010-11-19,後場,1314.38,1316.69,1312.59,1313.23
2010-11-19,前場,1320.80,1320.80,1313.55,1315.90
2010-11-18,後場,1298.28,1309.96,1298.28,1309.96
2010-11-18,前場,1291.31,1298.81,1286.77,1295.90
2010-11-17,後場,1281.25,1286.08,1279.98,1284.70
2010-11-17,前場,1278.64,1285.16,1278.64,1280.17
2010-11-16,後場,1284.51,1290.92,1280.52,1284.86
2010-11-16,前場,1293.55,1295.24,1280.39,1283.43
2010-11-15,後場,1289.94,1293.68,1289.45,1292.08
2010-11-15,前場,1296.23,1298.28,1289.40,1290.80
2010-11-12,後場,1294.36,1300.98,1294.10,1294.10
2010-11-12,前場,1297.91,1305.09,1295.42,1296.40
2010-11-11,後場,1300.29,1302.29,1296.32,1300.55
2010-11-11,前場,1303.45,1304.84,1298.05,1300.19
2010-11-10,後場,1302.32,1307.69,1301.08,1303.67
2010-11-10,前場,1292.04,1306.88,1290.97,1302.21
2010-11-09,後場,1274.84,1281.55,1274.84,1280.32
2010-11-09,前場,1264.93,1278.31,1264.47,1276.61
2010-11-08,後場,1265.56,1266.29,1257.68,1266.29
2010-11-08,前場,1262.82,1266.39,1259.34,1266.34
2010-11-05,後場,1260.48,1261.89,1257.22,1258.70
2010-11-05,前場,1251.62,1262.31,1251.46,1260.58
2010-11-04,後場,1235.40,1240.00,1232.72,1240.00
2010-11-04,前場,1226.47,1237.62,1225.36,1236.84
2010-11-02,後場,1215.40,1219.17,1213.19,1216.40
2010-11-02,前場,1216.99,1217.67,1212.64,1215.87
2010-11-01,後場,1222.50,1223.67,1218.06,1220.60
2010-11-01,前場,1224.13,1230.39,1219.84,1221.09
2010-10-29,後場,1220.38,1231.25,1219.70,1227.44
2010-10-29,前場,1227.40,1229.09,1220.44,1222.00
2010-10-28,後場,1231.97,1233.89,1226.57,1226.78
2010-10-28,前場,1230.28,1233.83,1227.19,1233.15
2010-10-27,後場,1227.12,1231.50,1220.81,1230.57
2010-10-27,前場,1227.41,1230.00,1223.76,1228.09
2010-10-26,後場,1226.04,1232.21,1223.35,1223.35
2010-10-26,前場,1227.18,1232.88,1225.72,1226.64
2010-10-25,後場,1236.53,1241.32,1228.37,1228.69
2010-10-25,前場,1227.27,1241.83,1226.91,1235.99
2010-10-22,後場,1221.02,1228.04,1219.16,1224.72
2010-10-22,前場,1222.27,1224.28,1218.88,1219.36
2010-10-21,後場,1215.23,1222.49,1212.95,1222.49
2010-10-21,前場,1222.90,1225.75,1212.78,1217.56
2010-10-20,後場,1220.98,1224.56,1219.36,1222.21
2010-10-20,前場,1227.41,1228.16,1214.84,1215.80
2010-10-19,後場,1238.63,1240.05,1230.49,1234.71
2010-10-19,前場,1234.96,1247.08,1233.73,1239.80
2010-10-18,後場,1242.46,1244.08,1234.80,1237.23
2010-10-18,前場,1235.30,1247.61,1234.67,1245.69
2010-10-15,後場,1235.57,1237.47,1228.19,1232.76
2010-10-15,前場,1239.90,1241.84,1230.38,1232.77
2010-10-14,後場,1240.69,1249.39,1238.29,1244.84
2010-10-14,前場,1231.16,1244.75,1226.23,1243.82
2010-10-13,後場,1230.83,1231.39,1223.02,1224.69
2010-10-13,前場,1236.47,1238.44,1228.31,1230.80
2010-10-12,後場,1238.40,1239.52,1224.06,1224.58
2010-10-12,前場,1255.15,1255.23,1237.28,1238.61
2010-10-08,後場,1262.20,1262.82,1249.04,1249.04
2010-10-08,前場,1265.54,1266.58,1260.55,1260.89
2010-10-07,後場,1271.51,1272.57,1263.11,1267.37
2010-10-07,前場,1268.33,1274.75,1266.95,1271.45
2010-10-06,後場,1265.86,1271.27,1264.44,1271.27
2010-10-06,前場,1266.62,1270.95,1260.82,1266.15
2010-10-05,後場,1246.83,1266.07,1245.83,1259.41
2010-10-05,前場,1239.71,1248.23,1235.85,1246.12
2010-10-04,後場,1249.04,1249.35,1232.06,1235.04
