日付,始値,高値,安値,終値
2007-12-28,1891.39,1896.10,1875.79,1882.95
2007-12-27,1904.72,1911.92,1898.35,1904.95
2007-12-26,1894.32,1908.31,1892.19,1907.53
2007-12-25,1883.88,1907.69,1883.84,1888.10
2007-12-21,1826.82,1867.63,1821.68,1859.49
2007-12-20,1829.90,1833.12,1820.45,1821.19
2007-12-19,1842.88,1850.20,1821.22,1822.35
2007-12-18,1817.83,1852.61,1815.64,1844.39
2007-12-17,1852.57,1857.85,1826.90,1831.89
2007-12-14,1870.38,1884.52,1860.46,1860.46
2007-12-13,1880.80,1891.42,1867.67,1867.67
2007-12-12,1883.72,1903.17,1870.51,1893.92
2007-12-11,1914.22,1919.99,1891.88,1899.91
2007-12-10,1912.74,1918.28,1892.74,1906.14
2007-12-07,1922.59,1930.81,1906.24,1906.91
2007-12-06,1908.84,1908.92,1887.92,1907.52
2007-12-05,1859.93,1891.59,1852.74,1885.54
2007-12-04,1862.76,1877.39,1862.76,1863.23
2007-12-03,1851.60,1858.52,1839.02,1854.83
2007-11-30,1839.99,1853.68,1837.28,1841.12
2007-11-29,1810.64,1833.80,1810.06,1832.74
2007-11-28,1796.76,1806.68,1773.74,1788.37
2007-11-27,1759.43,1796.88,1750.20,1793.54
2007-11-26,1757.39,1785.87,1752.21,1774.12
2007-11-22,1751.37,1771.46,1744.31,1762.76
2007-11-21,1785.50,1794.39,1750.19,1763.88
2007-11-20,1774.68,1797.30,1753.76,1795.43
2007-11-19,1808.26,1824.21,1794.73,1794.89
2007-11-16,1799.10,1809.41,1787.77,1803.41
2007-11-15,1831.52,1840.96,1816.42,1819.06
2007-11-14,1787.02,1827.72,1787.01,1821.47
2007-11-13,1779.40,1782.90,1749.43,1764.30
2007-11-12,1791.00,1792.80,1753.04,1771.47
2007-11-09,1833.59,1837.05,1800.58,1802.49
2007-11-08,1846.15,1848.61,1822.45,1842.24
2007-11-07,1884.98,1897.31,1865.96,1871.30
2007-11-06,1873.63,1902.61,1863.15,1870.58
2007-11-05,1894.88,1899.91,1863.13,1874.42
2007-11-02,1895.70,1912.79,1871.06,1893.04
2007-11-01,1916.81,1931.20,1908.55,1924.24
2007-10-31,1902.15,1916.20,1886.67,1913.22
2007-10-30,1892.89,1900.65,1878.54,1898.88
2007-10-29,1881.41,1909.43,1881.41,1897.06
2007-10-26,1826.92,1869.54,1824.18,1864.03
2007-10-25,1840.71,1849.60,1819.59,1827.97
2007-10-24,1854.21,1863.83,1836.86,1846.67
2007-10-23,1864.36,1870.30,1846.51,1846.51
2007-10-22,1855.56,1859.94,1825.46,1852.04
2007-10-19,1891.21,1892.99,1869.12,1886.35
2007-10-18,1893.53,1916.82,1889.57,1907.64
2007-10-17,1916.85,1916.89,1871.29,1888.61
2007-10-16,1934.23,1936.34,1916.18,1920.71
2007-10-15,1949.98,1952.67,1932.89,1946.86
