日付,時刻,始値,高値,安値,終値
2008-12-30,後場,682.62,682.62,682.62,682.62
2008-12-30,前場,672.20,684.70,671.52,682.62
2008-12-29,後場,662.80,673.50,661.30,673.10
2008-12-29,前場,666.55,669.11,662.79,662.79
2008-12-26,後場,664.49,666.82,661.04,666.82
2008-12-26,前場,662.09,666.83,659.33,663.98
2008-12-25,後場,655.50,658.80,653.66,658.80
2008-12-25,前場,653.50,655.93,652.02,655.18
2008-12-24,後場,649.06,651.80,646.45,649.34
2008-12-24,前場,657.92,660.18,646.58,648.17
2008-12-22,後場,659.07,663.71,656.15,662.48
2008-12-22,前場,650.40,665.57,649.86,661.80
2008-12-19,後場,649.33,657.74,646.22,646.44
2008-12-19,前場,651.07,660.14,647.52,648.10
2008-12-18,後場,658.99,661.04,651.09,654.41
2008-12-18,前場,660.99,670.71,656.10,660.24
2008-12-17,後場,674.53,674.53,648.30,666.69
2008-12-17,前場,674.75,680.69,671.09,673.67
2008-12-16,後場,672.02,673.94,664.61,665.45
2008-12-16,前場,671.61,674.63,665.22,672.45
2008-12-15,後場,680.07,681.34,673.95,677.33
2008-12-15,前場,660.95,681.57,660.95,677.84
2008-12-12,後場,678.83,678.83,640.30,650.76
2008-12-12,前場,680.79,685.31,668.84,685.16
2008-12-11,後場,672.22,689.90,671.46,689.90
2008-12-11,前場,660.72,676.79,654.39,672.52
2008-12-10,後場,648.93,664.81,647.27,660.73
2008-12-10,前場,636.89,645.66,631.55,643.82
2008-12-09,後場,640.85,644.77,633.13,641.34
2008-12-09,前場,635.63,653.02,635.63,643.02
2008-12-08,後場,615.18,630.88,615.18,628.72
2008-12-08,前場,598.52,610.18,598.13,609.43
2008-12-05,後場,602.17,602.64,592.26,593.13
2008-12-05,前場,601.21,604.43,592.69,601.31
2008-12-04,後場,613.65,613.65,594.83,598.41
2008-12-04,前場,615.96,622.10,611.96,615.71
2008-12-03,後場,618.22,621.33,608.75,613.15
2008-12-03,前場,625.70,630.09,614.04,616.10
2008-12-02,後場,632.68,635.28,616.84,617.80
2008-12-02,前場,646.25,646.29,621.92,629.93
2008-12-01,後場,660.62,663.88,654.91,656.37
2008-12-01,前場,667.38,668.31,657.86,658.22
2008-11-28,後場,661.66,670.94,660.49,669.16
2008-11-28,前場,651.75,663.57,648.30,661.75
2008-11-27,後場,651.70,656.41,643.51,649.43
2008-11-27,前場,643.61,654.69,643.41,652.15
2008-11-26,後場,642.15,646.70,636.06,636.40
2008-11-26,前場,640.35,642.02,633.15,638.94
2008-11-25,後場,651.62,651.62,630.06,649.32
2008-11-25,前場,641.79,665.32,641.79,654.38
2008-11-21,後場,592.55,634.55,588.73,631.61
2008-11-21,前場,590.30,590.40,572.71,587.55
2008-11-20,後場,615.21,616.31,599.54,599.66
2008-11-20,前場,631.90,631.99,612.01,616.03
2008-11-19,後場,636.97,641.41,630.18,641.41
2008-11-19,前場,656.78,663.22,638.90,638.90
2008-11-18,後場,663.52,665.10,655.26,655.26
2008-11-18,前場,661.07,668.90,656.59,666.43
2008-11-17,後場,678.30,687.74,666.49,668.61
2008-11-17,前場,654.24,674.00,643.57,673.58
2008-11-14,後場,672.35,673.67,654.45,659.18
2008-11-14,前場,659.24,685.73,659.24,675.62
2008-11-13,後場,654.19,658.33,642.49,648.58
2008-11-13,前場,679.77,679.77,649.23,649.52
2008-11-12,後場,694.56,696.79,684.56,690.82
2008-11-12,前場,688.72,703.30,679.15,703.01
2008-11-11,後場,707.31,721.56,697.81,697.99
2008-11-11,前場,706.87,711.14,699.54,702.11
2008-11-10,後場,705.79,717.66,702.26,715.31
2008-11-10,前場,675.18,713.26,675.18,709.62
2008-11-07,後場,659.05,685.27,652.87,664.64
2008-11-07,前場,676.97,676.97,628.88,653.07
2008-11-06,後場,693.69,693.77,677.13,687.62
2008-11-06,前場,730.25,730.96,693.53,694.58
2008-11-05,後場,727.85,741.71,717.52,741.71
2008-11-05,前場,678.54,722.31,678.45,721.80
2008-11-04,後場,659.87,671.60,659.73,668.39
2008-11-04,前場,633.20,662.83,633.20,655.85
2008-10-31,後場,642.57,655.83,624.61,624.61
2008-10-31,前場,647.22,647.69,627.16,640.51
2008-10-30,後場,623.59,648.62,621.72,648.62
2008-10-30,前場,590.32,623.88,589.59,619.48
2008-10-29,後場,592.33,594.15,556.55,586.87
2008-10-29,前場,557.93,595.40,557.81,589.91
2008-10-28,後場,497.63,551.97,497.51,548.66
2008-10-28,前場,507.71,514.06,485.85,494.60
2008-10-27,後場,546.34,551.81,506.94,511.84
2008-10-27,前場,548.77,572.42,534.68,551.52
2008-10-24,後場,570.60,570.60,551.83,555.35
2008-10-24,前場,609.20,609.52,573.72,574.36
2008-10-23,後場,603.16,616.21,586.68,614.54
2008-10-23,前場,620.79,620.79,580.59,603.91
2008-10-22,後場,656.66,656.66,632.39,632.39
