日付,始値,高値,安値,終値
2015-12-30,1527.87,1537.89,1520.16,1520.16
2015-12-29,1507.69,1520.94,1492.26,1519.80
2015-12-28,1491.71,1516.76,1491.71,1509.19
2015-12-25,1498.79,1501.91,1478.41,1481.84
2015-12-24,1517.53,1528.53,1498.09,1500.44
2015-12-22,1503.05,1506.90,1495.62,1501.39
2015-12-21,1501.92,1508.81,1486.21,1503.44
2015-12-18,1550.58,1572.16,1514.04,1514.04
2015-12-17,1559.03,1574.68,1552.07,1554.09
2015-12-16,1520.25,1533.15,1516.90,1530.02
2015-12-15,1525.20,1530.25,1495.58,1495.58
2015-12-14,1537.12,1537.32,1502.56,1528.58
2015-12-11,1544.98,1569.62,1544.98,1565.66
2015-12-10,1554.32,1563.39,1550.11,1551.22
2015-12-09,1575.17,1584.13,1569.24,1572.79
2015-12-08,1613.73,1615.98,1581.40,1583.88
2015-12-07,1613.03,1622.74,1611.74,1612.79
2015-12-04,1602.71,1609.44,1591.46,1596.40
2015-12-03,1625.44,1634.08,1622.58,1631.49
2015-12-02,1628.61,1631.51,1618.22,1627.31
2015-12-01,1607.03,1631.24,1606.39,1631.24
2015-11-30,1601.48,1606.87,1593.72,1600.39
2015-11-27,1599.54,1599.54,1589.14,1596.11
2015-11-26,1592.21,1600.43,1590.14,1596.08
2015-11-25,1595.93,1595.93,1584.93,1591.59
2015-11-24,1588.06,1602.88,1586.05,1600.89
2015-11-20,1587.94,1590.17,1577.45,1590.17
2015-11-19,1593.11,1597.60,1584.13,1590.12
2015-11-18,1590.57,1595.67,1574.06,1574.79
2015-11-17,1575.39,1585.29,1574.96,1577.85
2015-11-16,1539.70,1556.21,1536.46,1552.37
2015-11-13,1562.72,1565.66,1551.63,1564.71
2015-11-12,1569.82,1584.76,1558.14,1582.13
2015-11-11,1573.23,1581.79,1562.84,1573.27
2015-11-10,1548.96,1573.38,1545.05,1571.06
2015-11-09,1541.67,1565.20,1538.76,1565.20
2015-11-06,1525.09,1536.27,1523.39,1532.55
2015-11-05,1513.91,1523.04,1509.43,1518.03
2015-11-04,1517.47,1531.14,1509.85,1510.96
2015-11-02,1500.95,1504.73,1487.51,1491.13
2015-10-30,1520.66,1534.19,1506.13,1522.98
2015-10-29,1525.67,1537.18,1513.57,1525.78
2015-10-28,1510.24,1511.03,1497.72,1507.01
2015-10-27,1543.22,1543.22,1512.05,1516.12
2015-10-26,1548.10,1557.32,1544.06,1544.36
2015-10-23,1515.41,1531.62,1514.74,1525.33
2015-10-22,1483.47,1509.92,1480.99,1487.87
2015-10-21,1452.65,1504.97,1452.65,1501.90
2015-10-20,1453.09,1458.79,1443.43,1455.31
2015-10-19,1465.52,1465.52,1441.28,1451.61
2015-10-16,1472.99,1476.77,1460.45,1470.06
2015-10-15,1427.62,1460.02,1423.08,1453.08
2015-10-14,1463.14,1467.07,1429.85,1439.70
2015-10-13,1497.29,1501.67,1477.12,1482.58
2015-10-09,1473.45,1498.59,1473.45,1496.92
2015-10-08,1461.17,1487.49,1449.00,1451.89
2015-10-07,1414.02,1455.74,1413.88,1452.71
2015-10-06,1415.35,1431.86,1409.64,1413.11
2015-10-05,1380.22,1401.57,1377.48,1391.57
2015-10-02,1347.47,1366.38,1333.91,1358.98
2015-10-01,1333.48,1372.20,1331.60,1363.50
2015-09-30,1313.04,1330.80,1311.96,1323.57
2015-09-29,1327.00,1327.00,1291.32,1292.12
2015-09-28,1360.82,1368.63,1345.04,1349.82
2015-09-25,1353.18,1364.63,1334.86,1364.63
2015-09-24,1399.95,1402.47,1352.81,1352.81
2015-09-18,1442.88,1442.88,1420.11,1424.02
2015-09-17,1445.65,1463.20,1444.91,1459.99
2015-09-16,1422.48,1444.14,1415.67,1431.21
2015-09-15,1413.26,1427.53,1401.61,1401.61
2015-09-14,1435.99,1437.85,1404.21,1407.50
2015-09-11,1420.76,1434.55,1417.83,1425.12
2015-09-10,1424.36,1435.53,1403.18,1433.95
2015-09-09,1414.36,1450.75,1414.01,1450.75
2015-09-08,1395.94,1413.98,1386.95,1388.05
2015-09-07,1381.50,1405.66,1367.04,1395.03
2015-09-04,1432.94,1433.39,1376.85,1393.05
2015-09-03,1428.51,1444.96,1420.48,1420.62
2015-09-02,1404.67,1436.60,1399.85,1411.38
2015-09-01,1470.42,1471.70,1428.33,1428.33
2015-08-31,1496.28,1496.28,1467.43,1479.94
2015-08-28,1476.95,1515.37,1476.53,1506.89
2015-08-27,1469.02,1484.65,1444.58,1449.60
2015-08-26,1411.94,1452.40,1391.65,1441.93
2015-08-25,1420.84,1476.93,1376.31,1401.18
2015-08-24,1498.38,1500.34,1451.00,1451.00
2015-08-21,1545.56,1546.32,1528.57,1528.57
2015-08-20,1593.41,1593.71,1575.18,1575.38
2015-08-19,1623.78,1627.48,1600.29,1602.68
2015-08-18,1634.44,1643.18,1628.51,1630.08
2015-08-17,1638.12,1638.12,1626.44,1631.65
2015-08-14,1646.58,1647.20,1622.79,1629.45
2015-08-13,1636.17,1654.65,1635.32,1651.54
2015-08-12,1654.97,1663.09,1633.72,1641.37
2015-08-11,1670.55,1684.36,1659.89,1668.55
2015-08-10,1662.54,1662.83,1642.66,1655.67
2015-08-07,1650.09,1672.35,1650.09,1671.39
2015-08-06,1647.54,1657.72,1645.16,1649.38
2015-08-05,1607.07,1636.80,1605.40,1627.41
2015-08-04,1619.31,1620.89,1600.16,1609.48
2015-08-03,1638.89,1638.89,1619.91,1627.68
2015-07-31,1631.76,1643.11,1628.53,1643.11
2015-07-30,1625.40,1649.75,1623.07,1635.69
2015-07-29,1628.37,1628.37,1605.70,1609.56
2015-07-28,1630.08,1647.37,1620.64,1630.29
2015-07-27,1652.75,1659.80,1640.50,1649.65
2015-07-24,1682.38,1682.52,1663.28,1665.26
2015-07-23,1709.79,1710.33,1683.14,1689.94
2015-07-22,1710.53,1710.76,1702.24,1703.51
2015-07-21,1732.07,1734.45,1718.76,1727.74
2015-07-17,1722.92,1723.87,1712.24,1719.27
2015-07-16,1722.19,1724.72,1710.60,1722.66
2015-07-15,1732.96,1732.96,1709.63,1717.47
2015-07-14,1721.90,1741.88,1717.58,1723.67
2015-07-13,1688.23,1701.15,1684.11,1693.06
2015-07-10,1686.36,1692.77,1668.26,1673.57
2015-07-09,1652.39,1680.29,1611.61,1679.90
2015-07-08,1740.61,1742.62,1683.58,1683.58
2015-07-07,1764.84,1770.89,1746.80,1747.34
2015-07-06,1750.21,1758.45,1739.12,1744.72
2015-07-03,1778.99,1782.09,1767.93,1779.07
2015-07-02,1785.57,1792.30,1778.25,1781.24
2015-07-01,1765.89,1772.10,1759.70,1768.65
2015-06-30,1760.54,1762.34,1749.96,1761.44
2015-06-29,1771.21,1773.77,1754.55,1757.06
2015-06-26,1809.89,1811.74,1793.72,1806.38
2015-06-25,1814.09,1821.07,1808.42,1814.98
2015-06-24,1826.30,1829.36,1818.53,1822.76
2015-06-23,1802.31,1819.05,1798.93,1819.05
2015-06-22,1781.21,1791.18,1778.69,1789.36
2015-06-19,1787.22,1788.42,1770.45,1784.27
2015-06-18,1797.19,1798.12,1770.92,1770.92
2015-06-17,1806.85,1811.50,1789.89,1795.42
2015-06-16,1822.75,1823.86,1803.04,1804.19
2015-06-15,1816.50,1828.01,1811.83,1826.93
2015-06-12,1821.00,1831.50,1816.74,1830.17
2015-06-11,1827.06,1830.42,1815.55,1822.06
2015-06-10,1812.97,1831.97,1806.11,1810.06
2015-06-09,1826.61,1832.09,1813.30,1813.66
2015-06-08,1859.60,1861.29,1839.91,1848.61
2015-06-05,1856.44,1858.34,1844.64,1856.78
2015-06-04,1862.21,1872.88,1858.43,1865.03
2015-06-03,1845.08,1858.06,1844.38,1855.37
2015-06-02,1852.68,1860.41,1844.04,1850.21
2015-06-01,1829.77,1848.74,1828.52,1847.59
2015-05-29,1835.20,1849.08,1827.90,1845.84
2015-05-28,1834.48,1851.57,1832.40,1835.65
2015-05-27,1807.72,1828.15,1807.65,1822.55
2015-05-26,1817.35,1822.50,1808.05,1809.96
2015-05-25,1804.55,1816.58,1804.26,1814.35
2015-05-22,1779.28,1795.50,1779.28,1794.10
2015-05-21,1771.85,1787.72,1771.54,1776.06
2015-05-20,1767.28,1771.26,1760.81,1765.66
2015-05-19,1750.42,1761.10,1749.31,1755.59
2015-05-18,1741.45,1748.72,1736.45,1748.72
2015-05-15,1744.52,1750.40,1733.80,1743.12
2015-05-14,1728.48,1744.19,1728.48,1732.76
2015-05-13,1706.82,1732.94,1703.68,1731.50
2015-05-12,1699.17,1709.55,1694.61,1709.55
2015-05-11,1707.22,1707.22,1696.55,1697.91
2015-05-08,1685.61,1695.29,1675.10,1690.48
2015-05-07,1672.41,1689.38,1672.41,1679.55
2015-05-01,1687.99,1694.23,1672.08,1686.85
2015-04-30,1712.67,1713.98,1688.14,1691.67
2015-04-28,1718.60,1734.37,1718.46,1734.37
2015-04-27,1711.61,1715.67,1697.15,1714.95
2015-04-24,1722.94,1723.50,1710.37,1712.98
2015-04-23,1729.25,1733.16,1720.38,1726.33
2015-04-22,1705.81,1720.92,1703.78,1720.92
2015-04-21,1692.08,1701.22,1691.04,1701.22
2015-04-20,1678.37,1691.90,1674.79,1684.34
2015-04-17,1709.63,1710.16,1688.40,1690.98
2015-04-16,1705.36,1715.85,1699.59,1715.85
2015-04-15,1701.03,1710.62,1698.82,1705.99
2015-04-14,1705.36,1712.07,1703.43,1708.62
2015-04-13,1712.43,1712.81,1696.98,1708.35
2015-04-10,1715.29,1717.33,1701.06,1707.26
2015-04-09,1713.95,1715.54,1706.54,1711.37
2015-04-08,1710.88,1716.41,1706.70,1709.65
2015-04-07,1694.78,1710.17,1689.52,1703.31
2015-04-06,1679.17,1683.05,1672.24,1681.00
2015-04-03,1678.60,1693.56,1677.65,1693.56
2015-04-02,1664.87,1691.88,1663.78,1678.36
2015-04-01,1666.06,1669.19,1644.38,1650.97
2015-03-31,1690.69,1701.20,1672.06,1672.06
2015-03-30,1669.08,1674.44,1654.42,1671.68
2015-03-27,1681.57,1708.81,1660.74,1672.91
2015-03-26,1703.07,1706.23,1686.50,1692.07
2015-03-25,1713.95,1719.84,1702.52,1718.34
2015-03-24,1717.72,1718.39,1706.37,1710.30
2015-03-23,1717.97,1726.88,1716.52,1725.00
2015-03-20,1706.04,1708.85,1696.47,1707.23
2015-03-19,1709.69,1714.72,1690.42,1702.55
2015-03-18,1710.33,1715.67,1701.11,1715.44
2015-03-17,1714.73,1720.96,1708.58,1711.22
2015-03-16,1690.66,1704.24,1687.99,1699.47
2015-03-13,1674.27,1697.13,1669.07,1692.69
2015-03-12,1651.06,1666.70,1651.06,1662.14
2015-03-11,1636.19,1653.04,1634.57,1647.18
2015-03-10,1646.76,1655.93,1635.41,1640.56
2015-03-09,1638.86,1643.35,1630.14,1637.04
2015-03-06,1636.00,1648.87,1634.97,1647.31
2015-03-05,1634.97,1640.77,1630.57,1637.72
2015-03-04,1635.66,1640.06,1619.34,1636.49
2015-03-03,1659.42,1659.76,1636.42,1644.91
2015-03-02,1652.49,1657.73,1644.89,1649.15
2015-02-27,1645.63,1654.89,1643.03,1647.43
2015-02-26,1629.18,1641.46,1629.11,1641.01
2015-02-25,1641.73,1641.73,1628.78,1631.44
2015-02-24,1631.58,1641.37,1624.53,1638.82
2015-02-23,1638.57,1640.52,1625.71,1629.30
2015-02-20,1620.76,1629.53,1614.67,1628.91
2015-02-19,1605.31,1615.73,1605.04,1611.85
2015-02-18,1599.49,1604.99,1595.45,1603.14
2015-02-17,1573.59,1589.09,1567.27,1587.50
2015-02-16,1584.67,1590.88,1579.87,1580.89
2015-02-13,1570.59,1577.17,1568.76,1574.59
2015-02-12,1579.69,1579.88,1566.91,1572.10
2015-02-10,1572.20,1573.20,1558.64,1562.50
2015-02-09,1575.88,1579.60,1569.21,1576.48
2015-02-06,1569.49,1569.51,1555.49,1558.24
2015-02-05,1573.53,1575.99,1551.34,1552.76
2015-02-04,1577.84,1597.45,1574.48,1580.80
2015-02-03,1585.78,1590.71,1551.83,1556.99
2015-02-02,1566.74,1574.23,1563.60,1571.56
2015-01-30,1585.31,1588.54,1575.19,1579.49
2015-01-29,1595.06,1596.12,1565.68,1568.37
2015-01-28,1596.66,1613.58,1593.27,1608.09
2015-01-27,1608.07,1616.99,1605.52,1616.99
2015-01-26,1575.64,1595.22,1572.33,1595.22
2015-01-23,1591.18,1596.50,1587.78,1593.10
2015-01-22,1565.48,1569.98,1558.67,1569.98
2015-01-21,1577.01,1577.01,1559.51,1564.13
2015-01-20,1551.36,1585.68,1551.13,1585.68
2015-01-19,1546.01,1548.53,1530.82,1544.04
2015-01-16,1521.90,1528.05,1507.18,1528.05
2015-01-15,1532.08,1548.98,1525.94,1546.03
2015-01-14,1547.91,1553.69,1525.31,1527.73
2015-01-13,1548.02,1557.08,1528.51,1557.08
2015-01-09,1580.01,1580.08,1563.93,1569.03
2015-01-08,1564.89,1574.17,1560.65,1568.44
2015-01-07,1540.20,1550.82,1536.27,1544.55
2015-01-06,1576.31,1576.31,1548.80,1548.80
2015-01-05,1594.92,1611.94,1585.91,1602.95
