日付,時刻,始値,高値,安値,終値
2013-12-30,後場,277.79,278.34,276.69,277.65
2013-12-30,前場,278.09,278.30,275.49,277.94
2013-12-27,後場,279.09,280.95,279.09,280.39
2013-12-27,前場,278.67,280.09,278.38,279.64
2013-12-26,後場,277.36,278.29,276.91,277.91
2013-12-26,前場,274.42,278.24,274.42,278.16
2013-12-25,後場,274.29,275.68,273.63,274.74
2013-12-25,前場,273.88,276.02,273.88,274.91
2013-12-24,後場,274.92,275.90,274.12,274.85
2013-12-24,前場,275.73,276.70,274.87,275.64
2013-12-20,後場,275.66,277.14,275.34,276.05
2013-12-20,前場,275.81,277.38,275.26,275.50
2013-12-19,後場,276.14,277.52,275.61,276.56
2013-12-19,前場,275.91,277.34,275.51,276.33
2013-12-18,後場,274.59,275.07,273.17,274.26
2013-12-18,前場,273.46,275.57,273.42,275.08
2013-12-17,後場,273.61,274.53,272.73,274.53
2013-12-17,前場,272.64,273.85,272.27,273.35
2013-12-16,後場,271.24,272.02,270.42,270.42
2013-12-16,前場,273.04,273.44,271.12,271.98
2013-12-13,後場,273.80,274.44,272.82,273.31
2013-12-13,前場,273.83,274.92,272.63,273.60
2013-12-12,後場,274.55,275.00,273.31,274.81
2013-12-12,前場,273.91,274.46,272.97,273.95
2013-12-11,後場,275.70,276.26,274.62,274.98
2013-12-11,前場,275.94,276.50,274.98,276.07
2013-12-10,後場,275.29,276.12,275.02,276.08
2013-12-10,前場,275.19,275.57,274.16,275.57
2013-12-09,後場,274.98,275.46,274.28,274.98
2013-12-09,前場,273.86,275.62,273.51,275.18
2013-12-06,後場,272.24,272.95,270.57,272.36
2013-12-06,前場,271.34,272.73,271.06,271.20
2013-12-05,後場,274.15,274.38,271.89,271.89
2013-12-05,前場,273.86,275.53,273.27,273.33
2013-12-04,後場,274.24,275.90,273.86,274.13
2013-12-04,前場,274.92,276.05,273.29,273.79
2013-12-03,後場,277.15,278.61,277.15,277.85
2013-12-03,前場,276.83,277.10,275.40,276.73
2013-12-02,後場,274.39,276.22,274.35,275.11
2013-12-02,前場,275.24,276.22,274.17,274.85
2013-11-29,後場,275.59,275.88,273.79,274.72
2013-11-29,前場,276.36,276.72,275.43,276.10
2013-11-28,後場,276.33,277.31,275.85,276.42
2013-11-28,前場,276.49,277.24,275.71,275.71
2013-11-27,後場,275.88,276.64,275.17,276.04
2013-11-27,前場,275.21,277.01,274.92,275.39
2013-11-26,後場,276.39,277.62,276.11,276.90
2013-11-26,前場,275.35,277.02,275.11,276.29
2013-11-25,後場,275.28,276.79,274.63,276.79
2013-11-25,前場,275.56,276.26,274.87,275.42
2013-11-22,後場,275.67,276.15,273.76,274.65
2013-11-22,前場,275.55,275.79,274.28,275.79
2013-11-21,後場,274.73,276.85,274.19,276.85
2013-11-21,前場,272.69,275.09,272.69,274.47
2013-11-20,後場,274.02,274.16,272.87,273.00
2013-11-20,前場,273.93,274.20,272.83,273.88
2013-11-19,後場,273.15,274.64,272.88,274.41
2013-11-19,前場,271.53,273.93,271.53,273.29
2013-11-18,後場,271.32,272.41,271.09,271.96
2013-11-18,前場,272.16,272.54,270.69,272.40
2013-11-15,後場,270.14,271.69,269.39,271.22
2013-11-15,前場,269.29,270.31,268.60,270.31
2013-11-14,後場,268.63,269.27,267.10,268.24
2013-11-14,前場,267.06,268.20,266.57,267.42
2013-11-13,後場,266.17,267.76,265.68,267.38
2013-11-13,前場,266.97,267.77,266.19,267.49
2013-11-12,後場,267.38,267.64,266.37,267.36
2013-11-12,前場,264.44,267.90,264.36,267.73
2013-11-11,後場,264.27,265.63,263.15,265.47
2013-11-11,前場,265.59,265.79,263.58,264.52
2013-11-08,後場,264.85,264.88,263.12,263.89
2013-11-08,前場,263.46,265.80,262.84,264.69
2013-11-07,後場,265.90,266.43,264.83,265.04
2013-11-07,前場,266.46,267.16,264.22,265.85
2013-11-06,後場,265.96,267.16,265.01,266.84
2013-11-06,前場,265.03,265.71,263.58,265.28
2013-11-05,後場,261.37,269.39,260.79,266.47
2013-11-05,前場,265.13,265.81,260.70,261.74
2013-11-01,後場,265.08,265.35,263.07,263.23
2013-11-01,前場,266.26,266.74,264.40,265.05
2013-10-31,後場,267.56,267.88,265.58,266.40
2013-10-31,前場,266.36,268.41,266.33,267.74
2013-10-30,後場,267.94,268.41,265.65,266.28
2013-10-30,前場,266.87,268.63,266.13,268.14
2013-10-29,後場,265.78,266.81,265.23,266.67
2013-10-29,前場,264.64,266.86,264.24,266.45
2013-10-28,後場,265.33,266.13,264.55,265.72
2013-10-28,前場,265.59,266.52,264.05,265.14
2013-10-25,後場,265.40,265.49,263.76,264.19
2013-10-25,前場,267.25,267.43,265.16,265.16
2013-10-24,後場,266.72,267.58,265.92,267.51
2013-10-24,前場,265.18,267.16,264.89,266.52
2013-10-23,後場,269.20,269.25,265.18,265.18
2013-10-23,前場,269.48,270.63,268.61,269.89
2013-10-22,後場,269.41,270.13,269.05,269.43
2013-10-22,前場,269.38,269.80,268.38,268.47
2013-10-21,後場,267.23,268.46,266.86,268.46
2013-10-21,前場,267.49,268.68,267.31,267.87
2013-10-18,後場,267.16,267.54,266.01,266.57
2013-10-18,前場,267.47,267.90,266.76,267.85
2013-10-17,後場,267.06,267.36,265.69,267.28
2013-10-17,前場,266.94,267.56,266.35,267.40
2013-10-16,後場,265.41,266.11,264.27,265.26
2013-10-16,前場,264.03,265.57,263.95,264.89
2013-10-15,後場,265.03,265.78,264.20,265.18
2013-10-15,前場,265.36,265.52,263.98,265.17
2013-10-11,後場,265.18,265.84,262.98,264.67
2013-10-11,前場,265.10,265.90,263.83,264.48
2013-10-10,後場,260.93,262.80,260.07,262.32
2013-10-10,前場,259.19,261.18,258.91,260.55
2013-10-09,後場,256.71,258.83,256.15,258.57
2013-10-09,前場,255.64,257.27,254.38,257.27
2013-10-08,後場,257.42,258.46,256.37,256.45
2013-10-08,前場,256.76,258.01,255.60,257.64
2013-10-07,後場,258.34,258.68,256.80,257.32
2013-10-07,前場,259.23,260.42,257.26,257.99
2013-10-04,後場,260.32,261.11,259.84,259.84
2013-10-04,前場,260.84,261.30,258.24,260.15
2013-10-03,後場,262.97,262.97,261.34,261.36
2013-10-03,前場,261.84,263.29,260.52,262.58
2013-10-02,後場,265.39,265.87,261.52,262.05
2013-10-02,前場,267.52,268.21,265.17,266.20
2013-10-01,後場,270.14,270.25,267.76,267.88
2013-10-01,前場,268.82,270.40,267.86,270.40
2013-09-30,後場,268.07,268.79,267.36,268.02
2013-09-30,前場,268.07,269.40,266.42,268.48
2013-09-27,後場,270.67,271.43,269.65,270.19
2013-09-27,前場,271.37,272.10,270.13,271.09
2013-09-26,後場,268.35,270.53,267.84,270.53
2013-09-26,前場,267.36,268.25,264.93,267.75
2013-09-25,後場,267.19,267.78,265.67,266.32
2013-09-25,前場,267.36,268.27,267.05,267.43
2013-09-24,後場,266.07,267.20,265.70,267.07
2013-09-24,前場,266.17,267.04,265.78,266.77
2013-09-20,後場,266.64,267.83,266.25,267.35
2013-09-20,前場,268.10,268.49,266.38,266.83
2013-09-19,後場,267.35,267.85,266.19,267.75
2013-09-19,前場,267.40,267.41,265.42,267.35
2013-09-18,後場,265.40,266.15,264.85,266.06
2013-09-18,前場,265.65,266.12,264.59,265.80
2013-09-17,後場,266.37,266.52,263.83,263.96
2013-09-17,前場,266.18,267.13,263.82,265.62
2013-09-13,後場,263.06,265.50,262.13,265.48
2013-09-13,前場,263.45,264.50,262.97,263.35
2013-09-12,後場,264.01,264.08,262.89,263.58
2013-09-12,前場,262.81,263.76,262.60,263.32
2013-09-11,後場,263.97,264.80,262.04,262.44
2013-09-11,前場,264.17,265.30,263.44,263.44
2013-09-10,後場,262.88,264.04,262.48,263.73
2013-09-10,前場,264.00,264.20,261.73,263.04
2013-09-09,後場,261.78,263.08,261.70,262.89
2013-09-09,前場,264.40,264.81,261.41,261.41
2013-09-06,後場,261.10,261.70,259.63,259.90
2013-09-06,前場,265.21,265.44,260.10,260.56
2013-09-05,後場,265.56,266.76,263.90,265.88
2013-09-05,前場,268.40,268.40,264.97,264.97
2013-09-04,後場,264.78,267.32,264.29,267.22
2013-09-04,前場,263.52,265.42,263.41,264.77
2013-09-03,後場,265.42,266.45,264.91,266.11
2013-09-03,前場,263.44,265.77,263.29,264.84
2013-09-02,後場,260.53,262.76,260.10,262.17
2013-09-02,前場,258.87,260.53,257.98,259.58
2013-08-30,後場,259.47,259.83,258.34,258.73
2013-08-30,前場,262.21,262.52,258.09,258.28
2013-08-29,後場,260.29,262.42,260.06,262.34
2013-08-29,前場,259.27,261.30,258.93,260.63
2013-08-28,後場,258.08,259.94,256.50,258.75
2013-08-28,前場,258.42,258.52,256.88,257.43
2013-08-27,後場,261.84,262.03,260.28,260.28
2013-08-27,前場,261.55,262.20,260.88,261.41
2013-08-26,後場,262.68,263.02,261.33,262.11
2013-08-26,前場,264.07,264.79,261.81,261.98
2013-08-23,後場,263.85,264.56,261.31,263.19
2013-08-23,前場,264.08,265.69,263.33,263.33
