日付,始値,高値,安値,終値
2015-12-30,481.69,487.59,478.55,484.16
2015-12-29,468.45,486.66,466.94,484.21
2015-12-28,473.62,476.33,463.84,471.12
2015-12-25,448.24,471.36,446.83,468.89
2015-12-24,425.04,448.44,424.70,445.15
2015-12-22,413.50,420.75,410.36,419.23
2015-12-21,413.15,416.07,407.17,414.02
2015-12-18,416.78,424.52,413.21,413.21
2015-12-17,405.78,415.27,405.78,414.99
2015-12-16,401.76,403.34,397.77,403.34
2015-12-15,404.43,406.19,398.71,399.21
2015-12-14,391.32,401.82,391.32,400.96
2015-12-11,400.32,404.31,396.18,397.13
2015-12-10,401.98,406.78,400.85,404.47
2015-12-09,408.74,409.35,401.32,402.94
2015-12-08,404.46,410.95,404.21,409.29
2015-12-07,401.37,404.12,400.31,402.00
2015-12-04,396.11,398.67,394.39,397.42
2015-12-03,396.08,397.70,393.46,397.55
2015-12-02,391.68,395.72,389.70,395.06
2015-12-01,389.55,390.59,387.54,390.59
2015-11-30,393.59,393.85,388.38,389.72
2015-11-27,393.75,395.55,391.53,394.24
2015-11-26,391.18,393.69,390.30,393.69
2015-11-25,391.87,392.08,389.12,390.31
2015-11-24,391.22,393.00,389.12,391.37
2015-11-20,389.02,392.52,388.69,391.25
2015-11-19,393.10,395.15,390.87,392.12
2015-11-18,392.70,393.81,388.04,389.26
2015-11-17,386.42,392.01,386.42,390.95
2015-11-16,382.07,383.87,380.92,382.15
2015-11-13,381.66,387.17,381.66,387.01
2015-11-12,383.68,386.15,383.02,383.26
2015-11-11,381.02,384.97,381.02,384.33
2015-11-10,375.88,380.66,375.82,379.86
2015-11-09,378.86,380.74,377.44,378.88
2015-11-06,378.14,380.99,376.27,378.27
2015-11-05,376.37,381.83,375.84,378.40
2015-11-04,376.48,379.51,374.80,376.27
2015-11-02,380.32,380.98,372.75,374.65
2015-10-30,376.67,384.33,376.67,382.25
2015-10-29,380.59,380.59,374.85,378.40
2015-10-28,375.68,378.12,374.72,377.03
2015-10-27,377.17,379.30,374.88,375.50
2015-10-26,379.67,380.22,377.55,378.23
2015-10-23,378.71,378.80,374.93,377.28
2015-10-22,367.89,373.04,367.74,372.40
2015-10-21,364.30,370.58,363.22,370.07
2015-10-20,365.70,367.02,361.20,365.97
2015-10-19,363.32,367.03,362.86,363.80
2015-10-16,364.75,365.31,361.65,362.45
2015-10-15,359.52,364.17,358.17,362.14
2015-10-14,358.64,364.00,358.58,360.07
2015-10-13,351.81,361.17,351.81,359.29
2015-10-09,348.14,350.34,344.45,350.34
2015-10-08,351.28,351.67,345.16,345.92
2015-10-07,349.20,354.06,347.69,352.86
2015-10-06,341.36,352.73,341.27,347.96
2015-10-05,334.01,337.25,332.82,335.85
2015-10-02,333.29,334.77,328.41,329.75
2015-10-01,336.87,337.10,331.90,334.65
2015-09-30,336.00,336.35,330.89,335.37
2015-09-29,335.63,335.86,329.22,330.77
2015-09-28,340.50,340.88,337.01,338.53
2015-09-25,332.02,339.83,331.11,339.83
2015-09-24,331.60,336.10,330.16,330.16
2015-09-18,339.58,340.96,335.48,335.74
2015-09-17,338.44,341.47,337.45,340.67
2015-09-16,340.68,340.77,334.66,337.06
2015-09-15,333.54,340.21,333.40,337.50
2015-09-14,337.92,338.20,331.48,331.48
2015-09-11,328.23,336.28,328.23,335.38
2015-09-10,330.38,330.71,325.83,329.61
2015-09-09,333.36,336.66,326.91,336.66
2015-09-08,332.98,333.03,324.66,325.19
2015-09-07,328.65,333.16,324.80,332.69
2015-09-04,335.33,335.33,326.36,329.24
2015-09-03,336.11,342.64,335.29,335.36
2015-09-02,329.70,338.29,328.92,331.67
2015-09-01,346.24,346.38,334.24,334.24
2015-08-31,350.88,350.88,346.42,348.56
2015-08-28,344.51,350.84,342.61,350.09
2015-08-27,337.69,340.43,334.97,337.11
2015-08-26,333.10,335.35,328.03,331.93
2015-08-25,337.54,344.87,326.44,329.99
2015-08-24,352.59,358.53,344.94,344.94
2015-08-21,362.60,365.10,359.16,359.16
2015-08-20,371.91,373.84,368.44,368.83
2015-08-19,377.17,378.31,373.84,374.30
2015-08-18,379.76,379.76,375.92,377.87
2015-08-17,377.57,379.82,376.52,379.81
2015-08-14,373.43,378.85,372.99,376.18
2015-08-13,372.23,375.03,369.21,374.79
2015-08-12,378.57,379.70,372.41,374.68
2015-08-11,382.35,382.73,375.38,378.49
2015-08-10,378.67,386.16,378.67,384.60
2015-08-07,377.39,381.34,375.67,378.96
2015-08-06,386.79,387.73,378.00,378.15
2015-08-05,368.74,389.39,362.89,387.37
2015-08-04,377.44,377.59,366.32,367.17
2015-08-03,378.64,382.49,378.31,382.14
2015-07-31,381.70,382.76,377.75,381.95
2015-07-30,380.76,381.89,377.85,380.75
2015-07-29,376.04,383.08,376.04,382.50
2015-07-28,370.68,380.23,370.31,379.32
2015-07-27,377.11,378.44,371.63,373.06
2015-07-24,381.28,382.54,378.24,378.67
2015-07-23,380.66,384.38,380.38,384.29
2015-07-22,378.77,382.73,376.99,379.40
2015-07-21,386.08,387.13,385.07,385.67
2015-07-17,383.44,385.20,382.59,385.20
2015-07-16,383.68,383.89,381.07,383.11
2015-07-15,381.13,384.69,380.95,382.73
2015-07-14,383.79,384.50,379.09,380.36
2015-07-13,370.45,380.05,370.31,379.14
2015-07-10,367.61,372.40,365.58,368.79
2015-07-09,360.03,368.18,353.81,368.18
2015-07-08,377.05,377.05,367.93,367.93
2015-07-07,372.12,379.34,372.12,378.27
2015-07-06,367.01,370.70,366.49,368.48
2015-07-03,373.42,374.38,370.93,371.95
2015-07-02,374.86,375.44,372.67,373.31
2015-07-01,370.66,371.91,369.39,370.97
2015-06-30,366.63,371.67,366.34,370.72
2015-06-29,368.99,371.68,367.28,367.29
2015-06-26,375.32,377.40,375.11,376.05
2015-06-25,374.27,377.22,374.21,375.45
2015-06-24,377.63,379.72,375.79,376.64
2015-06-23,375.65,377.26,374.86,377.14
2015-06-22,371.73,377.18,371.73,375.50
2015-06-19,367.02,372.05,367.02,370.86
2015-06-18,366.16,367.51,364.54,364.61
2015-06-17,365.94,369.71,365.20,366.14
2015-06-16,367.15,368.32,365.38,366.26
2015-06-15,368.76,369.43,366.58,367.92
2015-06-12,368.57,371.45,368.29,369.24
2015-06-11,364.46,367.89,364.46,367.72
2015-06-10,363.97,365.92,361.73,364.36
2015-06-09,360.94,366.19,360.94,362.94
2015-06-08,362.88,363.42,360.67,361.47
2015-06-05,360.53,362.89,359.46,362.26
2015-06-04,367.27,367.27,361.47,362.62
2015-06-03,368.52,368.93,366.16,368.09
2015-06-02,366.79,369.80,366.30,369.23
2015-06-01,365.74,368.62,365.10,368.42
2015-05-29,359.83,366.58,359.83,362.88
2015-05-28,361.99,363.33,358.08,360.00
2015-05-27,363.00,363.93,359.71,362.13
2015-05-26,363.89,365.12,363.44,364.19
2015-05-25,362.36,365.50,361.84,363.21
2015-05-22,359.83,361.64,358.93,360.62
2015-05-21,363.35,364.18,360.65,361.26
2015-05-20,364.32,365.70,362.69,363.81
2015-05-19,359.24,365.18,359.24,364.48
2015-05-18,355.41,359.34,355.41,359.07
2015-05-15,354.53,360.09,354.02,355.37
2015-05-14,351.92,354.55,351.92,353.82
2015-05-13,353.04,354.34,351.22,353.28
2015-05-12,349.37,354.08,349.37,353.74
2015-05-11,348.42,352.43,348.40,351.37
2015-05-08,338.18,347.65,338.18,346.51
2015-05-07,337.75,339.21,335.91,336.04
2015-05-01,340.17,340.43,337.42,339.53
2015-04-30,345.51,345.51,339.86,340.11
2015-04-28,345.01,347.72,344.25,345.82
2015-04-27,344.47,345.73,342.69,344.40
2015-04-24,344.76,345.97,343.91,344.88
2015-04-23,345.05,345.75,343.70,344.99
2015-04-22,343.84,344.55,342.15,344.19
2015-04-21,341.66,344.13,341.64,343.85
2015-04-20,342.45,343.31,339.97,340.36
2015-04-17,342.95,344.96,342.07,343.19
2015-04-16,343.89,344.97,340.78,343.35
2015-04-15,346.12,348.10,342.99,342.99
2015-04-14,341.66,347.43,341.66,346.89
2015-04-13,344.85,344.85,340.51,341.56
2015-04-10,346.39,348.55,344.11,345.06
2015-04-09,345.22,348.61,345.22,347.52
2015-04-08,343.86,345.53,343.34,344.74
2015-04-07,343.80,343.80,340.36,342.50
2015-04-06,342.96,344.64,340.58,342.42
2015-04-03,338.80,342.12,337.58,341.96
2015-04-02,340.11,341.69,338.84,340.05
2015-04-01,340.42,341.32,336.26,338.42
2015-03-31,345.27,345.47,340.39,340.39
2015-03-30,342.68,344.77,341.53,343.52
2015-03-27,342.81,346.15,337.72,340.75
2015-03-26,348.85,351.06,348.13,349.23
2015-03-25,349.79,349.79,346.86,349.28
2015-03-24,348.19,348.97,346.05,348.48
2015-03-23,350.02,350.02,346.86,347.53
2015-03-20,348.96,349.39,346.56,348.26
2015-03-19,353.58,354.21,347.58,348.39
2015-03-18,356.44,356.59,353.45,354.76
2015-03-17,358.71,358.87,355.68,356.82
2015-03-16,358.25,359.13,355.74,356.54
2015-03-13,359.22,360.60,356.66,357.63
2015-03-12,354.91,358.42,354.91,358.09
2015-03-11,353.65,356.27,352.70,354.22
2015-03-10,361.65,362.03,354.39,355.67
2015-03-09,357.13,362.06,355.36,359.44
2015-03-06,358.28,360.70,357.89,359.78
2015-03-05,356.88,357.64,355.45,357.02
2015-03-04,361.68,362.59,356.87,358.24
