日付,時刻,始値,高値,安値,終値
2014-12-30,後場,450.16,450.55,445.37,445.55
2014-12-30,前場,447.55,451.33,446.58,449.59
2014-12-29,後場,446.60,448.69,442.62,448.69
2014-12-29,前場,450.66,451.21,446.35,446.91
2014-12-26,後場,449.63,450.97,448.83,449.47
2014-12-26,前場,446.10,449.54,446.02,448.86
2014-12-25,後場,443.92,444.46,441.96,444.46
2014-12-25,前場,444.63,445.81,441.72,443.30
2014-12-24,後場,449.94,450.53,445.63,447.40
2014-12-24,前場,451.38,453.65,449.25,449.62
2014-12-22,後場,446.57,448.99,445.79,447.67
2014-12-22,前場,447.08,449.07,445.22,446.79
2014-12-19,後場,438.22,447.63,437.88,447.63
2014-12-19,前場,445.37,445.84,437.05,438.83
2014-12-18,後場,441.65,443.76,436.25,437.35
2014-12-18,前場,437.84,441.58,437.58,441.24
2014-12-17,後場,428.43,432.56,427.56,427.98
2014-12-17,前場,422.34,431.03,421.88,429.10
2014-12-16,後場,429.49,430.46,426.02,427.40
2014-12-16,前場,432.91,435.53,427.00,429.43
2014-12-15,後場,439.56,441.58,437.02,438.12
2014-12-15,前場,433.84,440.97,432.98,438.65
2014-12-12,後場,444.79,445.56,439.69,439.69
2014-12-12,前場,438.45,445.41,438.14,445.02
2014-12-11,後場,433.77,441.62,433.77,440.02
2014-12-11,前場,430.63,435.15,425.68,434.60
2014-12-10,後場,442.35,443.15,438.66,440.71
2014-12-10,前場,445.73,446.36,439.62,442.69
2014-12-09,後場,453.83,454.30,450.06,451.01
2014-12-09,前場,451.08,454.56,451.08,454.28
2014-12-08,後場,456.98,457.97,455.02,455.43
2014-12-08,前場,457.84,460.40,454.70,456.81
2014-12-05,後場,452.59,455.36,452.30,455.36
2014-12-05,前場,451.97,454.74,448.70,452.63
2014-12-04,後場,450.75,452.89,450.08,452.89
2014-12-04,前場,453.58,453.59,447.27,451.71
2014-12-03,後場,451.08,452.61,449.42,451.66
2014-12-03,前場,457.49,458.34,450.21,451.09
2014-12-02,後場,449.52,452.98,449.26,451.82
2014-12-02,前場,443.32,449.58,442.92,449.12
2014-12-01,後場,450.26,451.27,448.05,448.49
2014-12-01,前場,450.57,453.55,448.84,450.53
2014-11-28,後場,442.89,447.72,442.30,443.61
2014-11-28,前場,431.30,444.61,430.99,441.61
2014-11-27,後場,426.89,428.31,424.52,426.15
2014-11-27,前場,429.17,432.03,423.68,426.23
2014-11-26,後場,428.02,430.26,426.17,426.17
2014-11-26,前場,421.99,428.01,419.61,428.01
2014-11-25,後場,418.90,422.28,417.62,421.29
2014-11-25,前場,421.11,422.64,418.30,418.41
2014-11-21,後場,412.77,417.37,410.80,416.97
2014-11-21,前場,417.23,419.50,411.60,412.05
2014-11-20,後場,415.40,418.75,414.26,415.27
2014-11-20,前場,412.58,418.02,411.68,414.77
2014-11-19,後場,409.98,411.02,407.21,409.99
2014-11-19,前場,409.66,413.35,408.94,410.64
2014-11-18,後場,406.75,409.17,405.11,406.84
2014-11-18,前場,407.10,407.74,402.38,405.84
2014-11-17,後場,405.88,407.64,401.93,403.24
2014-11-17,前場,411.18,419.19,404.50,406.70
2014-11-14,後場,407.88,410.25,405.08,409.93
2014-11-14,前場,404.57,407.73,403.18,406.36
2014-11-13,後場,401.77,404.61,401.77,404.37
2014-11-13,前場,399.79,403.51,397.96,402.25
2014-11-12,後場,403.66,405.35,400.90,403.34
2014-11-12,前場,409.75,409.83,402.68,403.36
2014-11-11,後場,406.02,410.09,406.02,408.40
2014-11-11,前場,406.78,407.40,404.60,406.58
2014-11-10,後場,405.18,408.85,405.11,406.21
2014-11-10,前場,398.21,405.73,396.50,405.13
2014-11-07,後場,401.75,403.54,400.48,403.05
2014-11-07,前場,400.42,404.42,399.15,402.06
2014-11-06,後場,405.02,405.60,398.80,399.85
2014-11-06,前場,406.40,406.81,402.53,403.27
2014-11-05,後場,399.17,406.04,399.14,405.66
2014-11-05,前場,400.26,402.22,396.80,399.20
2014-11-04,後場,405.72,407.47,402.75,402.75
2014-11-04,前場,394.93,407.35,394.93,405.56
2014-10-31,後場,378.81,388.09,374.71,384.63
2014-10-31,前場,379.84,380.54,377.67,379.01
2014-10-30,後場,377.06,379.41,375.31,375.31
2014-10-30,前場,375.88,378.12,374.47,375.17
2014-10-29,後場,374.38,376.10,373.23,374.54
2014-10-29,前場,368.30,375.16,368.30,373.59
2014-10-28,後場,365.27,367.02,364.66,366.45
2014-10-28,前場,371.62,372.63,363.51,364.48
2014-10-27,後場,368.66,371.26,367.50,367.84
2014-10-27,前場,367.94,370.93,367.44,368.78
2014-10-24,後場,367.44,367.80,364.36,365.71
2014-10-24,前場,371.61,372.30,365.16,366.50
2014-10-23,後場,369.63,372.20,367.39,367.72
2014-10-23,前場,362.74,370.04,361.33,369.70
2014-10-22,後場,361.46,365.23,361.43,363.94
2014-10-22,前場,356.22,364.06,356.22,361.64
2014-10-21,後場,350.65,350.65,346.01,347.54
2014-10-21,前場,352.89,353.35,349.17,350.76
2014-10-20,後場,350.12,352.29,348.58,351.24
2014-10-20,前場,350.05,351.39,346.18,349.42
2014-10-17,後場,343.05,347.14,341.42,342.82
2014-10-17,前場,341.66,346.14,339.05,344.28
2014-10-16,後場,340.94,343.33,338.09,340.39
2014-10-16,前場,346.12,347.98,341.24,342.08
2014-10-15,後場,351.69,357.81,351.69,354.86
2014-10-15,前場,350.80,352.70,347.33,351.27
2014-10-14,後場,352.66,354.06,349.93,351.93
2014-10-14,前場,352.75,353.15,347.14,352.14
2014-10-10,後場,360.38,361.79,357.12,361.76
2014-10-10,前場,362.44,363.51,358.75,360.51
2014-10-09,後場,367.17,368.19,365.14,367.18
2014-10-09,前場,371.56,371.89,366.81,368.23
2014-10-08,後場,369.09,370.94,367.95,370.18
2014-10-08,前場,370.30,370.80,366.41,370.01
2014-10-07,後場,379.26,379.62,375.81,376.18
2014-10-07,前場,377.51,380.33,376.12,378.74
2014-10-06,後場,378.56,380.14,377.57,377.74
2014-10-06,前場,377.05,379.36,376.24,379.30
2014-10-03,後場,371.73,373.69,370.69,372.45
2014-10-03,前場,373.22,375.68,370.10,371.72
2014-10-02,後場,375.47,378.13,373.17,374.42
2014-10-02,前場,378.87,379.52,373.34,376.09
2014-10-01,後場,386.22,387.14,383.41,384.10
2014-10-01,前場,386.53,389.16,383.02,386.88
2014-09-30,後場,384.21,385.91,383.63,384.67
2014-09-30,前場,388.91,390.95,383.54,383.54
2014-09-29,後場,389.19,389.55,387.02,387.72
2014-09-29,前場,392.07,392.87,387.50,389.17
2014-09-26,後場,389.07,389.08,387.18,388.80
2014-09-26,前場,387.48,390.54,387.40,388.48
2014-09-25,後場,393.91,394.35,391.49,394.35
2014-09-25,前場,394.69,395.33,391.67,393.70
2014-09-24,後場,393.52,394.00,391.75,393.63
2014-09-24,前場,395.42,396.07,391.50,392.72
2014-09-22,後場,398.26,400.17,397.08,398.82
2014-09-22,前場,401.83,402.04,398.93,399.33
2014-09-19,後場,402.76,404.76,401.44,402.40
2014-09-19,前場,402.53,403.38,399.27,403.21
2014-09-18,後場,401.74,404.24,399.17,400.97
2014-09-18,前場,400.19,402.21,397.23,401.49
2014-09-17,後場,399.96,400.58,397.10,398.17
2014-09-17,前場,405.80,406.07,399.32,399.67
2014-09-16,後場,407.67,409.05,405.58,408.33
2014-09-16,前場,410.42,410.42,406.22,408.68
2014-09-12,後場,410.19,412.40,408.83,411.04
2014-09-12,前場,412.79,412.99,408.66,410.10
2014-09-11,後場,413.56,414.41,411.77,413.09
2014-09-11,前場,413.18,413.38,409.28,413.24
2014-09-10,後場,407.65,410.35,406.77,410.35
2014-09-10,前場,410.71,411.89,406.43,407.61
2014-09-09,後場,412.93,415.11,411.43,411.76
2014-09-09,前場,414.04,415.47,411.06,412.67
2014-09-08,後場,411.55,411.84,407.42,408.20
2014-09-08,前場,409.51,412.58,406.75,411.93
2014-09-05,後場,407.62,409.09,406.22,407.82
2014-09-05,前場,410.83,410.83,407.16,407.71
2014-09-04,後場,407.41,408.94,406.27,407.45
2014-09-04,前場,411.20,412.18,406.79,407.55
2014-09-03,後場,415.16,416.85,412.40,413.28
2014-09-03,前場,409.09,418.84,408.90,416.92
2014-09-02,後場,408.35,409.29,406.05,406.10
2014-09-02,前場,407.29,409.33,403.47,407.98
2014-09-01,後場,406.34,407.62,406.04,407.62
2014-09-01,前場,408.47,409.90,406.12,406.61
2014-08-29,後場,409.09,410.13,408.13,410.07
2014-08-29,前場,408.68,414.13,408.44,409.38
2014-08-28,後場,409.86,411.11,408.66,409.45
2014-08-28,前場,412.27,412.46,408.48,410.15
2014-08-27,後場,412.73,414.04,410.91,412.86
2014-08-27,前場,410.41,414.47,410.41,412.82
2014-08-26,後場,409.03,409.26,406.54,408.86
2014-08-26,前場,409.53,411.50,408.41,408.48
2014-08-25,後場,409.51,410.82,409.20,409.94
2014-08-25,前場,408.13,409.65,407.01,408.78
2014-08-22,後場,408.41,408.97,405.36,406.67
2014-08-22,前場,409.26,409.80,407.33,408.58
2014-08-21,後場,407.71,409.30,405.85,407.11
2014-08-21,前場,406.94,409.74,406.69,408.32
2014-08-20,後場,404.35,405.72,404.06,404.67
2014-08-20,前場,402.03,405.40,401.49,404.07
2014-08-19,後場,401.90,402.12,398.32,400.95
2014-08-19,前場,401.32,402.95,399.39,401.33
2014-08-18,後場,400.03,400.63,397.93,398.53
2014-08-18,前場,398.90,405.38,398.59,400.56
2014-08-15,後場,397.97,400.64,396.96,397.26
2014-08-15,前場,391.34,398.10,391.34,397.33
2014-08-14,後場,386.71,388.86,385.81,387.63
2014-08-14,前場,386.84,388.62,385.80,386.11
2014-08-13,後場,382.60,384.60,382.09,383.32
2014-08-13,前場,378.24,384.31,377.33,382.78
2014-08-12,後場,378.12,378.56,376.15,376.66
2014-08-12,前場,375.84,380.34,375.76,377.95
2014-08-11,後場,372.94,374.21,372.36,373.83
2014-08-11,前場,372.79,375.03,370.84,374.18
2014-08-08,後場,366.96,369.98,366.15,368.13
2014-08-08,前場,370.81,372.21,366.12,366.60
2014-08-07,後場,371.74,375.58,369.85,375.01
2014-08-07,前場,373.19,375.00,371.23,371.87
2014-08-06,後場,373.87,375.84,372.60,375.84
2014-08-06,前場,376.50,377.25,373.90,374.16
2014-08-05,後場,380.21,381.42,377.99,379.37
2014-08-05,前場,382.58,384.03,379.15,380.51
2014-08-04,後場,383.43,383.43,381.64,382.56
2014-08-04,前場,384.55,385.01,380.13,384.66
