日付,始値,高値,安値,終値
2015-12-30,376.55,378.44,370.84,370.84
2015-12-29,372.65,375.40,367.76,373.52
2015-12-28,362.40,376.90,362.40,372.55
2015-12-25,365.06,366.45,359.90,362.18
2015-12-24,365.63,370.46,365.06,366.02
2015-12-22,363.67,366.08,361.58,363.00
2015-12-21,361.86,365.38,356.69,364.46
2015-12-18,369.30,372.23,363.55,363.92
2015-12-17,368.57,374.83,367.38,371.38
2015-12-16,363.30,366.94,361.03,364.63
2015-12-15,366.17,367.37,359.43,359.43
2015-12-14,365.04,368.07,361.66,367.42
2015-12-11,367.12,372.61,366.88,371.77
2015-12-10,367.03,371.74,367.03,368.37
2015-12-09,366.52,372.45,366.52,370.04
2015-12-08,369.92,372.12,368.38,369.83
2015-12-07,378.12,378.79,372.79,373.90
2015-12-04,377.51,377.76,370.47,374.69
2015-12-03,382.94,386.15,381.48,385.26
2015-12-02,386.72,387.86,384.32,385.82
2015-12-01,389.92,391.28,386.38,388.54
2015-11-30,392.56,392.57,385.35,388.44
2015-11-27,394.47,399.23,393.89,396.14
2015-11-26,391.57,395.95,390.62,393.24
2015-11-25,391.07,392.34,389.29,391.39
2015-11-24,391.39,393.94,388.79,393.65
2015-11-20,393.42,393.70,389.00,390.99
2015-11-19,396.99,398.55,394.43,395.24
2015-11-18,392.42,396.16,391.84,393.26
2015-11-17,392.90,395.53,390.16,392.34
2015-11-16,383.91,393.01,383.91,390.13
2015-11-13,391.36,392.82,388.12,390.25
2015-11-12,394.85,397.96,392.21,397.32
2015-11-11,395.35,396.37,392.27,395.35
2015-11-10,396.63,400.41,394.53,396.29
2015-11-09,399.42,399.42,394.08,398.89
2015-11-06,395.93,398.45,393.29,397.14
2015-11-05,385.47,396.02,385.47,395.05
2015-11-04,383.91,386.78,379.67,382.40
2015-11-02,391.42,392.03,380.44,381.13
2015-10-30,389.82,398.17,387.58,395.93
2015-10-29,394.86,397.29,389.97,392.68
2015-10-28,396.97,397.45,391.52,393.49
2015-10-27,405.12,405.35,398.45,398.83
2015-10-26,408.38,409.61,401.45,408.46
2015-10-23,411.64,416.88,411.57,414.60
2015-10-22,402.41,407.63,402.40,403.58
2015-10-21,392.06,405.17,392.06,403.06
2015-10-20,391.35,395.11,390.33,393.46
2015-10-19,390.77,392.70,386.20,387.88
2015-10-16,391.20,393.73,388.64,390.35
2015-10-15,383.54,390.89,379.97,388.52
2015-10-14,394.63,397.79,387.74,390.53
2015-10-13,400.50,403.76,398.22,400.28
2015-10-09,392.28,400.81,392.28,399.97
2015-10-08,387.65,395.15,386.80,388.73
2015-10-07,376.56,385.04,376.56,384.46
2015-10-06,381.72,386.08,375.19,376.70
2015-10-05,373.22,377.21,370.07,374.79
2015-10-02,361.58,373.18,358.44,368.99
2015-10-01,358.34,369.44,357.93,364.81
2015-09-30,356.57,358.40,352.24,355.14
