日付,時刻,始値,高値,安値,終値
2011-12-30,後場,851.61,858.26,850.52,856.83
2011-12-30,前場,853.39,854.07,849.39,851.60
2011-12-29,後場,846.21,853.92,844.03,850.07
2011-12-29,前場,845.16,847.85,843.06,845.99
2011-12-28,後場,853.07,853.08,848.84,850.03
2011-12-28,前場,852.34,856.34,848.50,850.49
2011-12-27,後場,861.24,862.88,858.65,859.35
2011-12-27,前場,856.00,866.49,855.94,859.98
2011-12-26,後場,859.02,862.37,856.73,857.97
2011-12-26,前場,859.93,868.06,855.29,857.66
2011-12-22,後場,847.21,849.49,843.78,847.42
2011-12-22,前場,851.71,852.15,844.83,844.92
2011-12-21,後場,849.91,851.98,847.54,851.00
2011-12-21,前場,861.68,863.04,848.74,848.88
2011-12-20,後場,845.21,850.43,844.90,847.94
2011-12-20,前場,842.44,849.95,842.35,847.64
2011-12-19,後場,839.34,850.35,838.40,845.38
2011-12-19,前場,855.53,861.11,839.27,844.41
2011-12-16,後場,855.38,863.95,854.82,856.45
2011-12-16,前場,859.73,864.25,854.00,855.86
2011-12-15,後場,867.96,872.17,860.51,861.62
2011-12-15,前場,873.07,874.07,865.34,865.88
2011-12-14,後場,889.39,890.31,879.41,882.36
2011-12-14,前場,886.16,891.65,879.05,888.53
2011-12-13,後場,883.70,889.22,883.38,887.66
2011-12-13,前場,886.04,890.01,880.76,883.50
2011-12-12,後場,899.30,905.30,897.21,897.56
2011-12-12,前場,901.63,902.46,891.63,899.86
2011-12-09,後場,886.93,891.39,883.44,886.88
2011-12-09,前場,878.97,894.70,878.97,890.08
2011-12-08,後場,891.56,897.87,888.96,888.96
2011-12-08,前場,898.67,899.46,888.08,891.63
2011-12-07,後場,889.76,898.98,887.41,896.58
2011-12-07,前場,888.53,893.13,879.79,886.35
2011-12-06,後場,898.34,898.34,884.45,884.45
2011-12-06,前場,900.16,902.32,895.18,897.36
2011-12-05,後場,902.49,903.84,898.15,902.43
2011-12-05,前場,904.02,907.54,899.45,902.43
2011-12-02,後場,900.31,905.95,898.13,900.98
2011-12-02,前場,901.79,908.32,898.81,898.83
2011-12-01,後場,898.55,904.76,895.52,897.57
2011-12-01,前場,891.22,902.88,890.89,898.25
2011-11-30,後場,866.17,877.46,861.97,877.46
2011-11-30,前場,866.28,871.62,865.34,866.76
2011-11-29,後場,863.56,873.39,863.44,873.03
2011-11-29,前場,864.10,870.11,858.39,861.76
2011-11-28,後場,844.71,860.07,844.71,853.96
2011-11-28,前場,835.10,856.04,835.10,848.02
2011-11-25,後場,830.92,839.08,828.78,831.42
2011-11-25,前場,836.16,840.85,831.06,833.23
2011-11-24,後場,842.65,844.48,833.67,836.67
2011-11-24,前場,842.68,848.27,834.42,844.16
2011-11-22,後場,851.06,862.00,847.70,854.12
2011-11-22,前場,835.80,857.70,831.58,852.39
2011-11-21,後場,843.72,844.83,839.89,843.76
2011-11-21,前場,858.01,859.26,841.08,842.56
2011-11-18,後場,867.07,868.19,858.60,864.32
2011-11-18,前場,865.10,871.47,860.06,871.12
2011-11-17,後場,878.55,885.81,876.23,876.58
2011-11-17,前場,873.50,884.66,864.90,879.60
2011-11-16,後場,878.28,882.58,874.36,880.07
2011-11-16,前場,883.56,887.71,878.00,880.75
2011-11-15,後場,877.15,880.13,874.56,877.12
2011-11-15,前場,876.20,882.08,873.59,876.84
2011-11-14,後場,882.19,891.70,878.43,886.47
2011-11-14,前場,891.91,891.92,878.04,879.62
2011-11-11,後場,873.96,888.87,873.93,879.77
2011-11-11,前場,871.31,876.55,859.34,866.82
2011-11-10,後場,858.60,870.45,858.22,865.27
2011-11-10,前場,873.05,873.57,851.95,860.45
2011-11-09,後場,878.86,890.59,876.88,887.99
2011-11-09,前場,867.24,880.53,867.24,880.27
2011-11-08,後場,870.07,871.30,857.76,861.03
2011-11-08,前場,864.51,873.81,863.60,871.59
2011-11-07,後場,856.26,866.56,853.86,866.56
2011-11-07,前場,853.41,866.04,849.29,853.23
2011-11-04,後場,860.41,864.41,839.39,848.24
2011-11-04,前場,851.61,866.73,846.56,864.98
2011-11-02,後場,846.71,850.52,841.92,842.28
2011-11-02,前場,849.53,850.52,840.87,845.68
2011-11-01,後場,847.98,854.37,846.80,853.88
2011-11-01,前場,852.03,854.43,844.79,851.44
2011-10-31,後場,879.47,880.61,858.65,858.65
2011-10-31,前場,879.50,891.12,877.46,883.59
2011-10-28,後場,882.16,885.24,878.32,882.58
2011-10-28,前場,881.40,885.89,879.43,881.28
2011-10-27,後場,849.06,870.53,848.91,868.40
2011-10-27,前場,843.98,845.10,833.55,843.99
2011-10-26,後場,843.21,853.27,840.18,842.45
2011-10-26,前場,847.04,847.04,832.34,838.78
2011-10-25,後場,859.74,860.06,846.72,846.91
2011-10-25,前場,859.40,864.82,857.68,862.60
2011-10-24,後場,838.51,853.42,837.08,848.76
2011-10-24,前場,834.43,843.90,833.34,838.11
2011-10-21,後場,833.85,833.86,824.07,827.05
2011-10-21,前場,834.39,837.01,827.30,833.75
2011-10-20,後場,831.85,835.31,828.56,833.63
2011-10-20,前場,842.04,843.29,830.01,833.53
2011-10-19,後場,844.21,845.36,835.45,839.12
2011-10-19,前場,863.98,863.98,845.46,848.16
2011-10-18,後場,860.89,862.17,850.68,853.21
2011-10-18,前場,859.61,869.53,858.36,860.89
2011-10-17,後場,868.41,875.98,868.41,871.38
2011-10-17,前場,861.96,869.00,861.37,868.84
2011-10-14,後場,854.16,856.87,849.26,850.57
2011-10-14,前場,838.61,857.16,837.68,853.62
2011-10-13,後場,847.63,849.23,841.75,841.75
2011-10-13,前場,842.55,850.58,842.55,846.05
2011-10-12,後場,830.87,841.56,830.87,839.74
2011-10-12,前場,825.71,831.22,822.85,828.77
2011-10-11,後場,827.48,832.22,827.48,830.62
2011-10-11,前場,827.07,831.20,826.06,826.14
2011-10-07,後場,812.24,817.14,810.30,812.47
2011-10-07,前場,805.45,814.59,805.45,813.02
2011-10-06,後場,801.99,806.18,796.72,800.17
2011-10-06,前場,784.57,803.43,782.89,800.73
2011-10-05,後場,775.95,781.32,772.40,776.43
2011-10-05,前場,778.56,782.93,769.56,774.25
2011-10-04,後場,762.58,773.89,757.91,770.70
2011-10-04,前場,776.69,777.05,761.13,763.47
2011-10-03,後場,793.93,793.93,782.59,788.86
2011-10-03,前場,810.31,810.72,795.51,796.73
2011-09-30,後場,821.39,825.33,815.95,825.33
2011-09-30,前場,818.03,825.74,817.62,819.95
2011-09-29,後場,803.25,816.32,802.79,815.89
2011-09-29,前場,805.74,806.88,798.73,801.50
2011-09-28,後場,818.96,824.51,812.56,816.34
2011-09-28,前場,811.32,830.48,810.84,819.32
2011-09-27,後場,806.23,808.93,801.24,808.93
2011-09-27,前場,809.15,811.89,802.09,804.82
2011-09-26,後場,804.97,807.69,789.83,796.37
2011-09-26,前場,832.90,833.51,806.91,808.53
2011-09-22,後場,835.81,835.81,827.25,833.34
2011-09-22,前場,839.04,840.97,833.74,836.34
2011-09-21,後場,841.89,845.99,841.89,845.99
2011-09-21,前場,845.25,849.24,839.83,841.10
2011-09-20,後場,849.29,851.42,843.80,847.26
2011-09-20,前場,858.19,858.64,844.61,850.82
2011-09-16,後場,848.99,874.60,848.17,872.00
2011-09-16,前場,839.00,849.47,836.60,848.68
2011-09-15,後場,822.27,831.46,822.02,827.49
2011-09-15,前場,825.78,829.79,820.32,823.14
2011-09-14,後場,825.95,826.91,816.82,817.70
2011-09-14,前場,826.84,835.90,824.24,828.21
2011-09-13,後場,820.48,828.92,820.48,826.22
2011-09-13,前場,821.37,825.93,816.17,820.22
2011-09-12,後場,817.66,820.09,810.54,817.70
2011-09-12,前場,817.65,819.21,811.36,816.59
2011-09-09,後場,842.09,842.92,827.76,831.37
