日付,始値,高値,安値,終値
2010-12-30,1012.30,1012.55,1002.61,1004.43
2010-12-29,1009.69,1016.32,1007.87,1016.27
2010-12-28,1004.12,1011.00,1000.29,1006.73
2010-12-27,1011.35,1018.19,1011.35,1015.63
2010-12-24,1012.24,1017.65,1008.04,1015.22
2010-12-22,1002.83,1011.51,998.88,1005.98
2010-12-21,990.04,1009.24,989.57,1003.19
2010-12-20,998.11,1000.87,982.65,987.93
2010-12-17,1007.22,1009.31,995.88,999.96
2010-12-16,1001.45,1011.37,997.61,1007.30
2010-12-15,1008.03,1012.36,998.63,1001.88
2010-12-14,996.59,1007.14,992.13,1005.52
2010-12-13,966.56,988.88,963.45,988.88
2010-12-10,969.98,970.27,959.75,967.11
2010-12-09,971.40,973.59,962.88,966.28
2010-12-08,965.19,970.75,959.15,970.00
2010-12-07,965.44,970.27,952.85,955.54
2010-12-06,967.32,977.55,967.08,967.74
2010-12-03,967.79,974.71,961.69,967.53
2010-12-02,962.98,967.00,958.18,960.28
2010-12-01,933.67,954.61,929.15,952.24
2010-11-30,950.13,952.22,929.38,932.36
2010-11-29,948.03,957.70,946.60,948.57
2010-11-26,940.91,956.98,938.51,952.52
2010-11-25,945.87,950.21,937.36,939.33
2010-11-24,932.00,954.13,925.92,943.16
2010-11-22,940.76,949.50,940.76,946.47
2010-11-19,938.77,941.38,930.89,935.27
2010-11-18,910.56,934.07,910.34,934.07
2010-11-17,888.38,905.83,886.38,903.66
2010-11-16,911.90,913.00,891.01,904.48
2010-11-15,911.70,914.09,902.85,909.28
2010-11-12,912.96,921.64,904.58,905.66
2010-11-11,922.58,925.72,911.49,918.12
2010-11-10,913.82,927.76,912.28,923.83
2010-11-09,915.38,925.64,912.34,913.47
2010-11-08,889.11,922.89,889.11,921.96
2010-11-05,873.80,883.60,873.34,878.58
2010-11-04,841.43,865.20,841.34,860.20
2010-11-02,840.85,841.95,831.97,834.17
2010-11-01,842.55,850.87,837.31,846.22
2010-10-29,843.47,853.43,837.08,845.17
2010-10-28,841.19,853.08,836.75,845.85
2010-10-27,849.91,854.53,838.68,848.90
2010-10-26,848.31,862.08,847.61,857.95
2010-10-25,847.75,862.07,838.75,844.03
2010-10-22,850.49,853.13,843.80,847.41
2010-10-21,858.58,859.90,841.26,848.46
2010-10-20,858.34,858.95,841.73,852.76
2010-10-19,874.90,885.06,869.42,871.60
2010-10-18,861.83,873.68,861.83,869.26
2010-10-15,862.05,871.44,860.96,864.01
2010-10-14,843.06,870.16,843.06,865.15
2010-10-13,849.56,854.26,830.60,832.17
2010-10-12,866.51,866.56,840.19,842.53
2010-10-08,867.29,872.66,865.89,868.86
2010-10-07,874.34,885.64,865.53,874.71
2010-10-06,874.86,878.92,867.94,873.56
2010-10-05,853.75,873.32,851.47,868.31
2010-10-04,870.72,877.42,859.03,860.43
2010-10-01,871.15,875.04,859.28,871.16
2010-09-30,885.74,888.34,866.23,868.79
2010-09-29,863.76,878.94,861.64,876.93
2010-09-28,861.49,864.65,853.76,856.73
2010-09-27,862.64,871.10,857.58,871.03
2010-09-24,864.53,870.53,858.96,860.23
2010-09-22,852.75,865.92,851.89,862.66
2010-09-21,860.68,866.88,851.64,852.55
2010-09-17,841.41,860.47,832.29,857.66
2010-09-16,860.33,861.25,840.58,840.66
2010-09-15,842.31,859.86,842.31,849.68
2010-09-14,847.90,854.25,843.76,849.94
2010-09-13,845.51,855.03,844.03,847.44
2010-09-10,828.89,837.85,825.43,834.08
2010-09-09,824.53,826.40,815.63,819.08
2010-09-08,812.85,820.96,805.68,819.79
2010-09-07,820.84,832.58,819.62,821.98
2010-09-06,825.56,826.24,819.44,824.96
2010-09-03,815.14,816.48,804.03,813.72
2010-09-02,824.55,824.55,802.77,810.67
2010-09-01,791.31,815.41,789.92,815.36
2010-08-31,803.39,806.97,786.19,788.82
2010-08-30,828.27,833.02,811.44,814.09
2010-08-27,801.28,826.36,800.74,822.99
2010-08-26,816.56,816.56,799.91,807.07
2010-08-25,825.05,828.51,812.74,815.74
2010-08-24,831.06,840.55,823.24,833.97
2010-08-23,832.12,843.63,832.12,840.55
2010-08-20,848.00,848.00,827.87,833.91
2010-08-19,854.55,862.29,853.01,859.35
2010-08-18,834.33,854.22,830.70,851.40
2010-08-17,824.66,833.02,823.90,828.44
2010-08-16,841.11,842.19,827.56,832.80
2010-08-13,836.89,856.36,828.99,852.73
2010-08-12,829.36,833.91,816.79,833.91
2010-08-11,855.42,857.00,840.26,841.66
2010-08-10,868.42,869.50,847.56,858.07
2010-08-09,873.25,875.70,865.49,872.92
2010-08-06,872.12,889.72,872.12,879.64
2010-08-05,869.10,884.09,868.51,879.94
2010-08-04,870.58,871.25,853.86,863.14
2010-08-03,862.13,874.94,861.65,871.26
2010-08-02,846.34,855.88,842.22,848.63
2010-07-30,858.47,858.72,840.96,842.94
2010-07-29,857.76,866.96,854.91,864.40
2010-07-28,854.01,868.09,853.52,865.69
2010-07-27,846.96,847.50,839.38,843.83
2010-07-26,853.50,862.79,847.53,850.21
2010-07-23,829.93,848.04,829.10,840.34
2010-07-22,809.51,826.94,808.33,816.09
2010-07-21,821.64,825.36,812.86,815.64
2010-07-20,831.25,831.25,808.22,812.56
2010-07-16,845.96,863.08,839.28,844.13
2010-07-15,867.89,867.89,850.70,852.66
2010-07-14,881.16,884.66,870.95,876.08
2010-07-13,883.44,886.25,865.62,868.82
2010-07-12,881.30,895.41,880.39,881.91
2010-07-09,877.52,884.41,856.60,881.86
2010-07-08,855.77,882.86,855.18,882.86
2010-07-07,820.22,841.68,819.41,840.62
2010-07-06,801.35,819.08,787.90,819.08
2010-07-05,818.11,819.63,807.93,811.34
2010-07-02,813.61,827.63,810.24,818.08
2010-07-01,806.37,808.47,792.01,804.75
2010-06-30,804.27,818.58,800.81,812.95
2010-06-29,822.99,826.38,808.53,811.14
2010-06-28,834.45,834.45,818.87,821.83
2010-06-25,840.35,842.32,829.86,833.51
2010-06-24,839.70,848.39,836.01,843.00
2010-06-23,860.24,864.95,840.87,844.16
2010-06-22,875.76,876.45,861.21,861.94
2010-06-21,874.15,889.28,870.33,886.58
2010-06-18,860.01,872.14,857.73,871.65
2010-06-17,866.62,867.63,850.08,855.16
2010-06-16,880.02,884.58,866.90,870.91
2010-06-15,858.82,874.26,858.46,871.43
2010-06-14,864.59,866.19,857.70,863.04
2010-06-11,888.00,888.00,856.23,858.81
2010-06-10,863.18,877.82,857.79,874.80
2010-06-09,854.65,862.68,846.63,855.58
2010-06-08,850.09,861.47,848.57,853.12
2010-06-07,895.53,895.68,851.02,853.96
2010-06-04,903.00,922.06,902.81,912.81
2010-06-03,891.08,902.67,889.68,897.91
2010-06-02,888.85,893.09,874.28,877.79
2010-06-01,902.80,904.38,892.44,895.73
2010-05-31,891.82,915.34,891.82,905.92
2010-05-28,884.73,898.95,880.07,889.04
2010-05-27,855.78,875.50,851.62,870.81
2010-05-26,878.80,879.21,846.86,850.59
2010-05-25,889.15,892.40,869.19,871.65
2010-05-24,871.03,905.60,864.50,897.77
2010-05-21,882.27,882.72,857.28,870.04
2010-05-20,902.19,922.59,896.21,898.45
2010-05-19,888.54,900.43,877.29,897.69
2010-05-18,927.43,928.34,890.17,904.30
2010-05-17,935.90,942.37,920.31,926.32
2010-05-14,954.81,961.29,947.96,951.49
2010-05-13,957.18,970.08,953.85,966.65
2010-05-12,933.82,948.64,932.96,943.55
2010-05-11,946.84,954.79,925.37,929.18
2010-05-10,880.26,951.21,878.85,951.21
2010-05-07,893.80,896.16,879.43,887.94
2010-05-06,928.30,928.30,908.50,909.55
2010-04-30,956.86,956.94,940.81,944.31
2010-04-28,944.51,948.97,940.80,945.30
2010-04-27,957.04,959.97,951.69,959.65
2010-04-26,962.67,968.59,961.33,968.59
2010-04-23,968.15,968.15,950.19,957.18
2010-04-22,956.51,966.84,947.17,965.81
2010-04-21,969.82,970.31,959.60,964.01
2010-04-20,961.84,969.90,954.01,954.59
2010-04-19,954.57,965.49,951.51,953.56
2010-04-16,987.51,988.34,965.24,970.16
2010-04-15,979.04,991.81,977.05,986.02
2010-04-14,968.31,977.71,962.05,969.36
2010-04-13,956.30,968.00,949.26,965.96
2010-04-12,946.90,956.06,945.76,952.63
2010-04-09,946.50,950.55,927.29,931.88
2010-04-08,930.17,950.50,928.68,943.48
2010-04-07,917.50,932.52,908.70,926.60
2010-04-06,931.38,935.78,909.69,919.28
2010-04-05,948.21,948.60,923.68,926.90
2010-04-02,872.41,939.44,872.09,938.63
2010-04-01,833.36,864.02,831.34,861.45
