日付,時刻,始値,高値,安値,終値
2014-12-30,後場,272.66,273.22,271.68,271.99
2014-12-30,前場,271.91,273.47,271.14,272.45
2014-12-29,後場,273.14,273.95,269.46,271.36
2014-12-29,前場,274.80,275.63,272.46,272.70
2014-12-26,後場,271.09,273.66,270.71,273.22
2014-12-26,前場,272.39,273.79,269.98,271.00
2014-12-25,後場,271.84,272.49,270.97,271.71
2014-12-25,前場,275.39,275.43,266.52,271.06
2014-12-24,後場,277.88,278.22,277.29,278.13
2014-12-24,前場,277.18,278.23,274.96,277.91
2014-12-22,後場,273.67,274.67,272.57,274.08
2014-12-22,前場,276.60,277.00,273.37,273.62
2014-12-19,後場,275.08,277.49,274.57,277.29
2014-12-19,前場,280.06,281.92,274.47,275.59
2014-12-18,後場,276.21,276.85,273.12,275.82
2014-12-18,前場,274.89,276.10,273.26,276.10
2014-12-17,後場,272.97,273.43,268.34,268.50
2014-12-17,前場,274.86,278.23,272.70,273.59
2014-12-16,後場,272.88,275.70,272.51,274.31
2014-12-16,前場,271.17,274.33,265.52,272.85
2014-12-15,後場,276.14,277.45,274.81,275.57
2014-12-15,前場,278.06,278.27,274.51,276.06
2014-12-12,後場,285.24,285.83,282.36,282.36
2014-12-12,前場,281.62,284.90,281.32,284.69
2014-12-11,後場,276.16,282.45,276.16,281.99
2014-12-11,前場,272.94,277.95,272.43,275.90
2014-12-10,後場,276.49,277.19,274.69,275.15
2014-12-10,前場,277.48,279.32,274.96,277.07
2014-12-09,後場,280.38,281.47,280.18,281.05
2014-12-09,前場,279.90,282.42,279.49,280.34
2014-12-08,後場,281.08,281.62,280.47,281.46
2014-12-08,前場,282.11,283.52,280.02,280.50
2014-12-05,後場,282.17,282.42,281.15,282.10
2014-12-05,前場,285.62,287.30,281.17,281.77
2014-12-04,後場,283.40,283.92,282.16,283.35
2014-12-04,前場,279.83,283.76,279.15,283.45
2014-12-03,後場,276.67,277.93,276.00,277.74
2014-12-03,前場,278.01,280.30,275.69,277.01
2014-12-02,後場,275.04,276.15,274.24,274.93
2014-12-02,前場,270.46,275.38,268.57,274.66
2014-12-01,後場,277.39,277.52,272.13,274.69
2014-12-01,前場,269.00,279.39,269.00,277.64
2014-11-28,後場,264.82,266.70,263.64,264.04
2014-11-28,前場,254.02,264.66,253.90,264.08
2014-11-27,後場,249.96,250.41,248.28,248.66
2014-11-27,前場,250.47,250.99,247.94,250.00
2014-11-26,後場,251.54,252.51,250.88,251.16
2014-11-26,前場,250.53,252.47,250.01,252.03
2014-11-25,後場,250.22,251.45,249.64,251.45
2014-11-25,前場,251.67,251.87,249.97,251.09
2014-11-21,後場,249.58,250.64,247.87,250.00
