日付,始値,高値,安値,終値
2015-12-30,322.69,323.52,320.24,322.04
2015-12-29,317.13,322.26,316.81,321.76
2015-12-28,318.36,319.45,315.51,316.62
2015-12-25,314.15,315.69,313.42,314.75
2015-12-24,321.83,322.25,314.86,314.86
2015-12-22,317.81,322.62,317.41,321.64
2015-12-21,313.53,315.72,311.49,314.66
2015-12-18,318.41,322.21,312.58,312.88
2015-12-17,315.49,317.65,312.61,315.35
2015-12-16,316.13,317.11,309.23,311.57
2015-12-15,318.82,321.45,314.90,315.45
2015-12-14,316.60,317.00,311.92,315.68
2015-12-11,319.30,322.90,318.67,321.56
2015-12-10,317.71,322.24,317.09,318.58
2015-12-09,325.45,325.53,318.92,319.34
2015-12-08,321.66,324.19,319.57,323.62
2015-12-07,318.63,320.49,317.71,318.00
2015-12-04,314.23,315.22,312.93,314.49
2015-12-03,321.09,322.30,319.06,319.19
2015-12-02,317.68,322.30,317.51,320.17
2015-12-01,315.11,318.10,314.07,317.26
2015-11-30,316.62,317.60,313.57,314.38
2015-11-27,322.76,323.86,318.76,319.05
2015-11-26,325.53,328.47,325.26,325.77
2015-11-25,325.37,327.50,324.24,324.70
2015-11-24,329.09,331.09,326.91,328.81
2015-11-20,331.15,333.71,330.47,332.12
2015-11-19,339.36,339.81,331.12,331.66
2015-11-18,339.51,340.64,334.12,334.49
2015-11-17,338.47,339.20,335.52,336.40
2015-11-16,339.82,339.82,334.03,334.96
2015-11-13,341.82,346.88,341.50,345.96
2015-11-12,347.67,350.67,345.08,345.74
2015-11-11,343.48,349.34,343.48,348.64
2015-11-10,341.35,344.43,341.20,344.31
2015-11-09,342.72,346.93,342.59,343.78
2015-11-06,341.08,342.66,338.40,340.25
2015-11-05,336.53,340.41,335.80,339.03
2015-11-04,336.08,338.82,334.62,335.05
2015-11-02,335.80,337.71,331.81,332.15
2015-10-30,330.33,337.71,329.27,336.03
2015-10-29,331.19,332.48,325.74,327.96
2015-10-28,332.93,336.67,332.09,336.26
2015-10-27,334.41,337.37,330.02,330.34
2015-10-26,327.13,333.14,326.84,332.30
2015-10-23,325.90,326.36,320.86,321.55
2015-10-22,319.32,324.42,319.32,320.87
2015-10-21,318.48,321.46,317.59,320.71
2015-10-20,321.83,321.99,318.27,319.12
2015-10-19,322.15,322.52,319.30,321.01
2015-10-16,318.14,323.48,317.11,321.62
2015-10-15,315.36,316.90,312.90,316.58
2015-10-14,314.06,315.94,311.71,314.25
2015-10-13,311.42,318.02,310.96,317.70
2015-10-09,309.49,309.49,302.24,305.81
2015-10-08,314.48,314.48,306.81,307.66
2015-10-07,322.29,322.66,312.95,318.44
2015-10-06,328.88,330.23,324.99,325.28
2015-10-05,320.53,328.05,320.53,323.39
2015-10-02,316.34,322.82,315.58,316.57
2015-10-01,312.32,314.89,308.04,313.03
2015-09-30,310.32,311.59,307.63,309.61
2015-09-29,320.54,321.95,306.67,307.81
2015-09-28,321.70,326.11,318.23,325.57
2015-09-25,317.29,322.46,316.42,321.52
2015-09-24,312.99,319.49,310.55,314.66
2015-09-18,321.75,321.88,316.47,316.65
2015-09-17,321.50,325.23,321.27,322.53
2015-09-16,313.04,317.82,310.18,317.26
2015-09-15,309.52,312.57,307.14,307.58
2015-09-14,313.83,314.99,309.19,309.19
2015-09-11,308.29,313.48,306.25,312.44
2015-09-10,305.49,312.70,305.13,311.42
2015-09-09,303.90,313.23,303.90,313.23
2015-09-08,304.13,305.79,297.75,297.75
2015-09-07,298.97,305.65,295.87,304.18
2015-09-04,312.80,312.80,298.68,301.26
2015-09-03,313.54,315.35,308.25,308.41
2015-09-02,304.04,316.16,304.04,309.25
2015-09-01,322.65,322.71,309.14,309.14
2015-08-31,323.30,324.18,320.81,322.61
2015-08-28,332.06,332.39,321.15,323.20
2015-08-27,327.10,333.78,324.48,325.49
2015-08-26,315.74,322.05,310.58,320.94
2015-08-25,303.02,327.95,299.24,310.25
2015-08-24,325.46,325.46,309.18,309.18
2015-08-21,334.48,336.30,331.09,331.61
2015-08-20,340.37,347.69,339.26,340.71
2015-08-19,346.45,346.62,341.37,341.37
2015-08-18,354.54,354.95,349.52,349.87
2015-08-17,352.62,356.43,350.79,354.20
2015-08-14,351.03,356.43,351.03,352.87
2015-08-13,343.67,349.06,342.27,347.31
