日付,時刻,始値,高値,安値,終値
2013-12-30,後場,3480.53,3489.87,3471.35,3485.23
2013-12-30,前場,3482.10,3486.42,3475.82,3481.55
2013-12-27,後場,3439.21,3453.61,3429.99,3452.36
2013-12-27,前場,3451.63,3453.07,3426.67,3438.46
2013-12-26,後場,3450.39,3457.42,3439.17,3451.89
2013-12-26,前場,3437.14,3462.80,3431.65,3455.95
2013-12-25,後場,3417.72,3432.01,3417.37,3427.61
2013-12-25,前場,3421.46,3434.15,3417.87,3426.84
2013-12-24,後場,3456.49,3458.49,3426.13,3435.58
2013-12-24,前場,3456.67,3469.23,3444.05,3457.46
2013-12-20,後場,3441.94,3463.49,3439.74,3463.49
2013-12-20,前場,3453.40,3459.91,3445.16,3446.52
2013-12-19,後場,3471.56,3476.84,3459.07,3469.33
2013-12-19,前場,3469.02,3489.23,3465.14,3473.98
2013-12-18,後場,3405.08,3421.43,3395.68,3419.01
2013-12-18,前場,3374.04,3416.04,3364.41,3411.45
2013-12-17,後場,3391.29,3391.39,3370.09,3377.58
2013-12-17,前場,3397.23,3406.05,3384.17,3387.04
2013-12-16,後場,3370.93,3384.74,3354.74,3367.03
2013-12-16,前場,3419.03,3419.10,3384.52,3389.05
2013-12-13,後場,3426.74,3452.94,3416.98,3416.98
2013-12-13,前場,3417.41,3442.71,3392.19,3414.72
2013-12-12,後場,3400.38,3419.33,3393.38,3413.79
2013-12-12,前場,3423.38,3426.91,3394.20,3403.91
2013-12-11,後場,3452.55,3478.67,3429.17,3467.99
2013-12-11,前場,3481.85,3497.96,3461.79,3461.93
2013-12-10,後場,3506.86,3516.87,3505.77,3511.20
2013-12-10,前場,3509.83,3517.40,3493.99,3503.81
2013-12-09,後場,3472.47,3489.10,3468.65,3488.60
2013-12-09,前場,3462.35,3477.68,3451.59,3471.10
2013-12-06,後場,3382.35,3415.86,3365.65,3408.79
2013-12-06,前場,3333.25,3387.48,3333.25,3376.14
2013-12-05,後場,3400.81,3407.10,3346.28,3353.42
2013-12-05,前場,3401.96,3420.84,3389.70,3402.46
2013-12-04,後場,3387.22,3407.32,3386.09,3389.13
2013-12-04,前場,3377.54,3409.21,3358.39,3385.49
2013-12-03,後場,3428.82,3444.97,3424.41,3432.17
2013-12-03,前場,3439.95,3443.24,3416.91,3430.19
2013-12-02,後場,3441.11,3447.30,3431.18,3440.71
2013-12-02,前場,3457.96,3463.41,3433.26,3444.05
2013-11-29,後場,3461.57,3463.10,3419.76,3453.54
2013-11-29,前場,3464.98,3466.71,3442.01,3466.61
2013-11-28,後場,3446.15,3465.58,3442.02,3465.58
2013-11-28,前場,3432.30,3454.85,3427.54,3441.97
2013-11-27,後場,3407.97,3421.44,3396.60,3403.56
2013-11-27,前場,3376.70,3411.27,3376.70,3403.05
2013-11-26,後場,3393.43,3413.91,3393.43,3398.89
2013-11-26,前場,3388.45,3400.67,3377.16,3398.23
2013-11-25,後場,3400.44,3409.26,3385.78,3405.58
2013-11-25,前場,3381.11,3407.37,3378.10,3398.95
2013-11-22,後場,3377.96,3384.71,3339.33,3356.35
2013-11-22,前場,3371.75,3377.02,3348.99,3373.63
2013-11-21,後場,3313.17,3333.52,3304.33,3330.76
2013-11-21,前場,3275.68,3327.04,3275.68,3321.32
2013-11-20,後場,3270.84,3283.51,3266.88,3274.48
2013-11-20,前場,3283.39,3292.41,3265.02,3273.65
2013-11-19,後場,3269.73,3291.20,3267.52,3281.73
2013-11-19,前場,3258.18,3282.38,3258.18,3268.90
2013-11-18,後場,3259.96,3274.02,3255.71,3269.77
2013-11-18,前場,3272.88,3277.89,3243.12,3271.91
2013-11-15,後場,3266.50,3286.24,3263.74,3276.34
2013-11-15,前場,3223.79,3272.78,3217.58,3267.22
2013-11-14,後場,3231.84,3252.07,3209.91,3216.79
2013-11-14,前場,3187.85,3208.43,3184.64,3206.26
2013-11-13,後場,3183.06,3186.55,3174.18,3181.76
2013-11-13,前場,3167.79,3191.57,3165.34,3190.77
2013-11-12,後場,3160.70,3174.84,3154.59,3174.84
2013-11-12,前場,3144.35,3165.50,3143.84,3162.09
2013-11-11,後場,3128.88,3147.62,3125.12,3146.41
2013-11-11,前場,3140.24,3142.09,3104.19,3136.61
2013-11-08,後場,3132.28,3140.22,3119.52,3135.70
2013-11-08,前場,3121.46,3136.08,3114.54,3135.34
2013-11-07,後場,3172.62,3175.31,3155.61,3161.20
2013-11-07,前場,3187.91,3192.87,3162.74,3173.14
2013-11-06,後場,3169.12,3196.89,3167.96,3172.97
2013-11-06,前場,3130.87,3163.94,3130.87,3160.96
2013-11-05,後場,3103.81,3124.09,3102.11,3115.12
2013-11-05,前場,3116.26,3130.68,3093.53,3102.51
2013-11-01,後場,3107.18,3107.25,3081.93,3094.59
2013-11-01,前場,3138.95,3170.97,3106.95,3107.67
2013-10-31,後場,3131.36,3138.05,3104.98,3108.51
2013-10-31,前場,3128.58,3137.38,3117.90,3130.37
2013-10-30,後場,3126.13,3132.74,3118.45,3132.74
2013-10-30,前場,3106.80,3128.18,3102.85,3127.61
2013-10-29,後場,3081.75,3097.73,3064.35,3087.70
2013-10-29,前場,3081.13,3098.85,3065.43,3094.87
2013-10-28,後場,3079.03,3110.91,3078.04,3107.50
2013-10-28,前場,3090.73,3090.73,3057.05,3067.64
2013-10-25,後場,3087.01,3089.14,3050.93,3053.10
2013-10-25,前場,3111.03,3120.10,3071.50,3087.12
2013-10-24,後場,3085.08,3117.83,3077.98,3112.94
2013-10-24,前場,3077.18,3092.81,3065.53,3083.57
2013-10-23,後場,3143.51,3145.89,3084.66,3084.66
2013-10-23,前場,3158.04,3168.61,3143.31,3156.33
2013-10-22,後場,3143.03,3146.39,3133.30,3140.12
2013-10-22,前場,3132.42,3141.05,3125.51,3141.05
2013-10-21,後場,3135.96,3143.32,3128.19,3142.28
2013-10-21,前場,3125.16,3142.31,3124.89,3135.20
