日付,始値,高値,安値,終値
2017-12-22,5882.70,5897.78,5868.95,5894.54
2017-12-21,5894.51,5903.12,5863.96,5893.78
2017-12-20,5860.17,5887.05,5854.30,5882.60
2017-12-19,5874.09,5874.15,5828.10,5847.12
2017-12-18,5825.56,5863.43,5811.17,5852.62
2017-12-15,5793.13,5807.48,5740.05,5766.11
2017-12-14,5817.94,5819.96,5785.04,5795.18
2017-12-13,5806.55,5819.73,5775.91,5792.54
2017-12-12,5850.94,5864.26,5787.35,5797.21
2017-12-11,5861.70,5861.70,5812.23,5854.76
2017-12-08,5768.38,5833.98,5755.28,5819.62
2017-12-07,5684.84,5735.75,5683.03,5711.68
2017-12-06,5744.79,5762.84,5639.80,5643.26
2017-12-05,5767.44,5784.32,5737.73,5772.07
2017-12-04,5887.63,5891.32,5816.04,5821.71
2017-12-01,5914.89,5931.15,5862.93,5902.16
2017-11-30,5876.52,5896.37,5815.35,5875.51
2017-11-29,5937.40,5951.58,5866.83,5883.38
2017-11-28,5895.92,5896.60,5839.59,5875.35
2017-11-27,5942.46,5947.44,5886.33,5908.61
2017-11-24,5877.51,5953.64,5877.51,5943.94
2017-11-22,5969.60,5988.29,5933.50,5935.47
2017-11-21,5954.78,5975.73,5926.93,5926.93
2017-11-20,5896.34,5931.76,5871.74,5920.21
2017-11-17,5925.44,5977.12,5889.25,5912.90
2017-11-16,5743.91,5891.23,5733.07,5879.55
2017-11-15,5840.99,5850.42,5756.60,5787.92
2017-11-14,5888.79,5939.10,5887.61,5904.69
2017-11-13,5949.79,5968.65,5904.51,5904.94
2017-11-10,5911.88,5976.15,5870.91,5969.43
2017-11-09,5991.35,6079.70,5877.36,5956.75
2017-11-08,5874.67,5948.52,5858.11,5938.86
2017-11-07,5798.39,5896.70,5790.53,5890.72
2017-11-06,5865.44,5865.44,5808.53,5843.30
2017-11-02,5841.60,5842.41,5795.56,5827.95
2017-11-01,5777.63,5836.26,5777.63,5825.85
2017-10-31,5722.88,5743.13,5697.62,5734.80
2017-10-30,5769.83,5778.62,5711.54,5735.33
2017-10-27,5790.33,5806.48,5753.27,5784.80
2017-10-26,5739.91,5757.60,5729.31,5739.25
2017-10-25,5785.69,5794.55,5736.57,5750.38
2017-10-24,5717.87,5777.21,5717.87,5774.08
2017-10-23,5717.61,5723.57,5685.77,5714.74
2017-10-20,5663.43,5676.37,5648.28,5659.02
2017-10-19,5668.23,5692.19,5658.97,5677.42
2017-10-18,5639.34,5667.76,5629.87,5655.70
2017-10-17,5641.35,5656.68,5615.74,5635.45
2017-10-16,5598.53,5644.04,5596.58,5622.68
2017-10-13,5562.09,5618.44,5548.55,5592.43
2017-10-12,5547.13,5601.72,5546.70,5565.84
2017-10-11,5486.51,5524.08,5485.23,5521.11
2017-10-10,5466.12,5495.10,5466.12,5491.59
2017-10-06,5478.13,5481.97,5457.32,5477.26
2017-10-05,5500.97,5500.97,5456.54,5463.07
2017-10-04,5482.90,5502.92,5471.52,5492.00
2017-10-03,5448.00,5472.17,5419.73,5467.33
2017-10-02,5416.07,5455.12,5416.07,5428.92
2017-09-29,5438.83,5457.85,5395.19,5404.40
2017-09-28,5425.13,5447.34,5396.46,5441.05
2017-09-27,5417.63,5417.63,5388.61,5402.06
2017-09-26,5421.96,5440.93,5413.61,5423.47
2017-09-25,5428.20,5445.06,5420.26,5432.96
2017-09-22,5457.24,5464.46,5405.20,5414.06
2017-09-21,5510.84,5520.53,5463.35,5463.49
2017-09-20,5447.81,5478.10,5447.81,5462.31
2017-09-19,5431.29,5489.64,5426.02,5476.35
2017-09-15,5308.44,5393.36,5301.39,5382.81
2017-09-14,5351.06,5372.97,5327.71,5327.71
2017-09-13,5391.76,5406.26,5362.60,5366.68
2017-09-12,5344.24,5383.30,5341.97,5374.09
2017-09-11,5326.84,5341.58,5301.41,5309.91
2017-09-08,5258.50,5303.19,5258.50,5273.05
2017-09-07,5262.30,5309.70,5261.43,5288.91
2017-09-06,5187.87,5272.50,5160.91,5259.83
2017-09-05,5281.57,5288.22,5205.17,5220.82
2017-09-04,5307.15,5324.40,5271.71,5282.18
2017-09-01,5343.62,5353.05,5311.24,5327.25
2017-08-31,5295.98,5328.82,5295.76,5321.34
2017-08-30,5311.06,5325.88,5288.25,5309.20
2017-08-29,5247.36,5288.63,5247.36,5278.86
2017-08-28,5274.79,5283.84,5234.30,5275.04
2017-08-25,5252.34,5271.41,5239.49,5255.16
2017-08-24,5257.37,5289.29,5242.80,5246.66
2017-08-23,5309.63,5322.76,5259.59,5268.62
2017-08-22,5276.88,5286.43,5262.91,5267.08
2017-08-21,5297.77,5297.77,5267.79,5275.82
2017-08-18,5270.53,5300.90,5264.34,5295.47
2017-08-17,5340.09,5356.99,5330.53,5336.83
2017-08-16,5335.91,5364.09,5332.25,5342.11
2017-08-15,5296.61,5358.87,5295.75,5337.26
2017-08-14,5290.37,5310.17,5254.09,5258.89
2017-08-10,5344.89,5397.15,5340.45,5370.90
2017-08-09,5437.70,5445.09,5349.80,5375.45
2017-08-08,5477.63,5480.17,5433.71,5459.85
2017-08-07,5516.62,5520.88,5490.03,5513.65
2017-08-04,5456.25,5497.48,5451.67,5486.68
2017-08-03,5447.33,5447.33,5417.70,5430.33
2017-08-02,5444.68,5465.73,5434.59,5449.51
2017-08-01,5386.14,5441.75,5386.14,5428.90
2017-07-31,5415.97,5441.25,5382.31,5394.93
2017-07-28,5391.19,5438.66,5391.19,5429.22
2017-07-27,5312.29,5440.21,5309.29,5387.73
2017-07-26,5327.74,5337.37,5291.11,5310.72
2017-07-25,5345.12,5350.58,5310.06,5310.06
2017-07-24,5338.69,5347.10,5307.93,5334.39
2017-07-21,5361.85,5392.66,5361.85,5373.39
2017-07-20,5332.19,5377.59,5327.13,5373.28
2017-07-19,5312.90,5337.66,5304.84,5333.59
2017-07-18,5328.37,5348.68,5310.05,5341.18
2017-07-14,5326.28,5352.82,5322.79,5326.72
2017-07-13,5344.62,5358.43,5313.50,5330.62
2017-07-12,5363.76,5372.05,5320.99,5330.77
2017-07-11,5316.63,5369.56,5309.63,5366.96
2017-07-10,5306.17,5319.09,5286.12,5305.14
2017-07-07,5231.15,5282.89,5220.34,5249.11
2017-07-06,5282.86,5310.78,5257.17,5273.27
2017-07-05,5238.47,5264.70,5203.01,5260.21
2017-07-04,5322.70,5322.70,5227.84,5244.50
2017-07-03,5329.23,5329.23,5286.61,5295.40
2017-06-30,5310.39,5310.39,5273.29,5299.53
2017-06-29,5369.72,5386.21,5350.80,5373.40
2017-06-28,5340.63,5364.82,5324.68,5330.61
2017-06-27,5346.95,5375.42,5345.20,5368.91
2017-06-26,5285.25,5323.67,5282.36,5303.12
2017-06-23,5307.49,5315.51,5286.70,5300.50
2017-06-22,5281.45,5296.68,5270.33,5281.54
2017-06-21,5258.08,5281.64,5247.75,5254.34
2017-06-20,5271.31,5288.25,5261.90,5266.69
2017-06-19,5188.69,5232.97,5181.52,5219.61
2017-06-16,5167.68,5190.74,5136.41,5186.65
2017-06-15,5110.30,5152.27,5096.09,5123.76
2017-06-14,5157.72,5173.33,5129.57,5129.92
2017-06-13,5111.36,5131.11,5110.44,5110.44
2017-06-12,5136.16,5154.33,5114.85,5149.38
2017-06-09,5181.80,5188.45,5153.46,5175.69
2017-06-08,5252.45,5268.97,5214.25,5217.46
2017-06-07,5233.64,5249.16,5214.86,5243.98
2017-06-06,5315.15,5332.08,5268.80,5269.41
2017-06-05,5326.41,5359.87,5304.29,5342.82
2017-06-02,5312.97,5336.28,5278.59,5330.93
2017-06-01,5204.32,5266.77,5204.10,5265.36
2017-05-31,5174.96,5200.08,5166.32,5187.59
2017-05-30,5187.40,5187.40,5143.88,5177.61
2017-05-29,5181.42,5207.27,5173.39,5180.67
2017-05-26,5210.77,5210.77,5183.78,5183.78
2017-05-25,5224.36,5241.60,5213.14,5227.17
2017-05-24,5230.46,5239.99,5213.78,5231.13
2017-05-23,5185.01,5218.76,5163.52,5176.14
2017-05-22,5144.77,5168.69,5129.93,5155.66
2017-05-19,5158.39,5164.18,5121.69,5149.99
2017-05-18,5174.59,5191.91,5130.90,5149.75
2017-05-17,5242.48,5244.07,5217.01,5240.21
2017-05-16,5224.64,5260.13,5224.64,5257.65
2017-05-15,5164.74,5217.73,5154.93,5212.64
2017-05-12,5256.26,5278.85,5204.56,5223.67
2017-05-11,5223.07,5282.75,5189.44,5211.85
2017-05-10,5197.93,5212.90,5188.30,5202.91
2017-05-09,5201.06,5204.92,5177.12,5192.16
2017-05-08,5161.12,5212.49,5126.41,5203.93
2017-05-02,5069.06,5111.97,5066.63,5111.97
2017-05-01,5012.45,5055.60,5006.16,5047.90
2017-04-28,5024.54,5031.44,5001.42,5015.22
2017-04-27,4988.18,5036.38,4988.18,5031.22
2017-04-26,4976.63,5004.93,4961.47,5004.93
2017-04-25,4889.43,4952.44,4878.89,4945.44
2017-04-24,4880.50,4885.64,4857.08,4878.50
2017-04-21,4792.77,4814.43,4768.63,4807.21
2017-04-20,4782.33,4799.91,4755.26,4755.45
2017-04-19,4779.75,4826.40,4779.75,4784.96
2017-04-18,4794.21,4806.15,4763.37,4782.64
2017-04-17,4725.24,4772.10,4723.01,4759.83
2017-04-14,4777.17,4781.87,4726.82,4738.51
2017-04-13,4749.71,4797.58,4748.74,4787.17
2017-04-12,4838.36,4844.46,4787.15,4797.78
2017-04-11,4849.13,4888.15,4843.73,4866.34
2017-04-10,4905.34,4906.40,4862.82,4867.27
2017-04-07,4898.28,4913.37,4825.03,4864.44
2017-04-06,4960.26,4969.98,4845.02,4860.18
2017-04-05,4947.67,4978.22,4940.44,4969.62
2017-04-04,4946.78,4952.66,4876.02,4915.24
2017-04-03,4968.25,4972.63,4941.11,4948.69
2017-03-31,5031.86,5041.19,4951.70,4951.70
2017-03-30,5011.85,5043.49,4986.67,4995.43
2017-03-29,5055.69,5078.06,5029.59,5038.92
2017-03-28,5033.89,5051.56,5016.32,5050.53
2017-03-27,4985.57,5002.79,4965.83,4979.83
2017-03-24,4985.49,5035.46,4982.93,5018.34
2017-03-23,4989.40,5001.39,4971.69,4996.41
2017-03-22,5000.28,5019.46,4966.29,4981.06
2017-03-21,5051.47,5110.81,5051.47,5090.55
2017-03-17,5071.74,5085.68,5054.85,5075.34
2017-03-16,5048.03,5107.40,5044.43,5101.42
2017-03-15,5046.27,5078.07,5043.39,5071.48
2017-03-14,5085.07,5087.18,5067.37,5076.42
2017-03-13,5054.27,5088.83,5051.49,5072.43
2017-03-10,5084.59,5096.58,5071.24,5088.39
2017-03-09,4988.88,5031.02,4977.82,5027.92
2017-03-08,4938.21,4972.25,4938.21,4956.52
2017-03-07,4903.41,4922.37,4890.27,4909.14
2017-03-06,4904.50,4919.47,4897.65,4907.24
2017-03-03,4956.66,4969.03,4914.50,4935.75
2017-03-02,4948.38,4949.63,4931.26,4945.47
2017-03-01,4861.79,4897.58,4848.41,4895.58
2017-02-28,4839.43,4860.95,4835.52,4841.10
2017-02-27,4813.19,4831.30,4787.44,4820.46
2017-02-24,4836.09,4873.23,4834.76,4854.72
2017-02-23,4870.76,4870.76,4842.16,4862.09
2017-02-22,4861.41,4883.02,4857.81,4862.25
2017-02-21,4831.47,4873.91,4819.15,4870.50
2017-02-20,4813.03,4842.66,4800.20,4838.18
2017-02-17,4789.50,4835.59,4784.70,4835.56
2017-02-16,4851.80,4851.80,4798.17,4820.59
2017-02-15,4858.42,4869.67,4846.72,4854.26
2017-02-14,4954.98,4955.04,4802.98,4808.20
2017-02-13,4957.57,4962.59,4934.22,4954.91
2017-02-10,4863.21,4925.64,4854.05,4924.81
2017-02-09,4799.15,4820.09,4776.57,4815.81
2017-02-08,4782.45,4814.78,4768.37,4813.53
2017-02-07,4757.77,4806.19,4750.84,4793.92
2017-02-06,4826.20,4827.18,4772.43,4801.79
2017-02-03,4835.48,4849.62,4776.14,4797.19
2017-02-02,4844.38,4864.96,4779.21,4788.50
2017-02-01,4782.13,4830.00,4763.07,4827.33
2017-01-31,4831.92,4865.84,4815.64,4828.58
2017-01-30,4872.20,4888.26,4854.24,4885.19
2017-01-27,4877.26,4904.95,4868.07,4880.64
2017-01-26,4815.96,4849.88,4804.60,4842.46
2017-01-25,4772.57,4792.11,4743.53,4759.60
2017-01-24,4696.76,4735.38,4692.30,4696.62
2017-01-23,4744.41,4749.74,4713.54,4715.77
2017-01-20,4770.06,4810.29,4754.02,4796.61
2017-01-19,4767.05,4787.53,4746.43,4771.29
2017-01-18,4719.02,4744.45,4682.16,4729.31
2017-01-17,4831.26,4833.31,4741.25,4741.63
2017-01-16,4869.13,4892.64,4823.00,4826.08
2017-01-13,4834.00,4892.31,4831.86,4890.04
2017-01-12,4892.82,4892.82,4815.21,4833.89
2017-01-11,4934.92,4939.39,4912.10,4917.29
2017-01-10,4939.15,4967.78,4894.70,4904.55
2017-01-06,4912.78,4942.40,4903.18,4926.86
2017-01-05,4931.87,4951.13,4919.18,4933.52
2017-01-04,4896.08,4938.60,4880.76,4936.97
