日付,時刻,始値,高値,安値,終値
2010-12-30,後場,430.79,432.30,430.44,430.67
2010-12-30,前場,434.54,435.08,430.70,430.70
2010-12-29,後場,433.12,435.27,433.09,434.90
2010-12-29,前場,430.59,433.16,430.25,432.81
2010-12-28,後場,430.27,431.80,429.47,431.11
2010-12-28,前場,429.25,431.13,428.82,430.34
2010-12-27,後場,431.17,432.28,429.76,430.36
2010-12-27,前場,430.69,431.70,429.86,431.19
2010-12-24,後場,428.98,430.33,428.68,429.67
2010-12-24,前場,430.32,431.17,428.63,429.01
2010-12-22,後場,432.95,433.33,431.01,432.16
2010-12-22,前場,432.71,434.07,432.19,433.03
2010-12-21,後場,432.93,433.99,432.62,433.12
2010-12-21,前場,432.13,432.67,431.28,432.24
2010-12-20,後場,433.30,433.41,430.80,431.51
2010-12-20,前場,435.03,436.23,434.36,434.65
2010-12-17,後場,434.78,435.54,433.51,434.21
2010-12-17,前場,435.03,436.57,434.57,435.47
2010-12-16,後場,436.20,436.61,435.15,435.79
2010-12-16,前場,436.51,437.27,434.90,436.59
2010-12-15,後場,435.38,436.44,434.74,436.26
2010-12-15,前場,437.29,438.14,435.42,435.94
2010-12-14,後場,434.56,435.95,434.20,435.74
2010-12-14,前場,434.32,435.71,434.32,434.93
2010-12-13,後場,433.26,435.79,433.16,435.79
2010-12-13,前場,433.42,434.64,431.62,433.44
2010-12-10,後場,434.28,435.93,432.94,432.94
2010-12-10,前場,438.00,438.00,434.25,434.38
2010-12-09,後場,432.33,435.05,431.86,434.25
2010-12-09,前場,431.78,434.18,431.37,432.87
2010-12-08,後場,427.35,430.31,427.34,430.31
2010-12-08,前場,427.18,429.78,426.27,428.40
2010-12-07,後場,424.87,425.99,424.15,425.35
2010-12-07,前場,425.65,426.06,423.79,424.49
2010-12-06,後場,425.60,426.68,424.90,426.68
2010-12-06,前場,423.64,426.49,423.64,426.08
2010-12-03,後場,422.61,423.50,421.45,422.37
2010-12-03,前場,424.18,424.55,422.38,422.91
2010-12-02,後場,422.33,423.27,421.00,421.95
2010-12-02,前場,422.77,423.33,421.57,422.37
2010-12-01,後場,414.77,417.82,414.18,417.82
2010-12-01,前場,416.04,416.15,414.19,414.99
2010-11-30,後場,420.34,420.41,416.53,416.53
2010-11-30,前場,421.26,422.23,420.54,421.39
2010-11-29,後場,419.66,421.55,419.66,421.32
2010-11-29,前場,418.07,421.50,417.71,419.29
2010-11-26,後場,419.38,420.01,417.24,417.24
2010-11-26,前場,417.70,422.24,417.52,419.24
2010-11-25,後場,417.02,418.83,416.67,417.43
2010-11-25,前場,418.84,419.22,416.43,416.55
2010-11-24,後場,417.55,419.04,416.08,416.53
2010-11-24,前場,413.26,418.83,412.72,418.39
2010-11-22,後場,417.55,420.46,417.14,419.14
2010-11-22,前場,416.15,418.30,415.93,418.06
2010-11-19,後場,414.65,415.43,413.41,414.47
2010-11-19,前場,416.14,416.49,414.06,415.09
2010-11-18,後場,409.19,412.37,408.87,412.37
2010-11-18,前場,406.25,409.62,406.21,408.76
2010-11-17,後場,403.79,405.42,403.59,405.21
2010-11-17,前場,401.35,405.71,401.35,403.42
2010-11-16,後場,403.66,406.34,402.69,403.80
2010-11-16,前場,408.57,409.01,402.75,402.75
2010-11-15,後場,405.49,407.38,404.74,406.89
2010-11-15,前場,407.66,407.66,404.67,406.01
2010-11-12,後場,405.76,407.55,405.58,405.95
2010-11-12,前場,407.11,410.07,406.29,406.47
2010-11-11,後場,408.80,409.46,407.22,408.67
2010-11-11,前場,411.04,411.21,408.57,409.09
2010-11-10,後場,410.52,411.37,409.59,410.67
2010-11-10,前場,409.15,412.49,408.41,410.71
2010-11-09,後場,409.06,409.49,407.62,408.56
2010-11-09,前場,408.28,411.00,408.08,409.62
2010-11-08,後場,408.66,410.09,407.99,409.71
2010-11-08,前場,410.27,412.13,409.33,410.22
2010-11-05,後場,408.19,409.68,407.77,409.39
2010-11-05,前場,407.78,410.38,407.24,409.50
2010-11-04,後場,401.96,405.80,401.24,404.41
2010-11-04,前場,398.71,404.31,398.71,402.66
2010-11-02,後場,393.97,396.33,393.33,394.72
2010-11-02,前場,395.37,396.11,393.15,393.56
2010-11-01,後場,395.25,397.60,392.91,392.91
2010-11-01,前場,396.92,398.59,394.60,395.04
2010-10-29,後場,394.35,399.97,393.93,398.89
2010-10-29,前場,394.35,394.86,391.92,392.03
2010-10-28,後場,397.11,398.72,395.15,395.67
2010-10-28,前場,395.84,397.91,395.12,397.91
2010-10-27,後場,398.49,398.78,395.46,396.96
2010-10-27,前場,400.19,401.05,398.49,398.88
2010-10-26,後場,398.02,401.41,397.82,398.99
2010-10-26,前場,397.57,399.62,396.95,398.80
2010-10-25,後場,398.22,400.40,398.04,398.23
