日付,始値,高値,安値,終値
2014-12-30,636.04,644.73,635.58,640.23
2014-12-29,633.67,633.76,623.07,631.57
2014-12-26,628.67,632.71,627.73,631.84
2014-12-25,630.17,630.25,625.39,626.75
2014-12-24,633.56,633.96,629.57,630.97
2014-12-22,627.21,628.29,623.49,628.04
2014-12-19,624.19,625.29,619.34,625.29
2014-12-18,621.22,626.01,615.04,615.88
2014-12-17,607.03,617.13,606.66,610.77
2014-12-16,613.56,616.49,609.34,609.40
2014-12-15,625.27,627.80,619.73,620.16
2014-12-12,628.40,635.76,627.60,629.16
2014-12-11,626.21,634.34,622.01,628.67
2014-12-10,642.41,642.77,630.70,634.28
2014-12-09,646.83,653.81,645.65,649.42
2014-12-08,659.08,659.27,652.81,653.76
2014-12-05,652.11,652.30,647.06,652.25
2014-12-04,646.91,653.52,645.59,652.78
2014-12-03,637.14,643.27,635.42,640.02
2014-12-02,629.20,632.82,628.44,632.82
2014-12-01,627.90,632.38,627.20,630.13
2014-11-28,623.43,628.68,623.43,628.64
2014-11-27,622.41,624.64,618.80,620.23
2014-11-26,621.75,627.38,620.48,624.89
2014-11-25,628.62,629.46,622.38,624.48
2014-11-21,618.58,622.47,613.14,622.04
2014-11-20,610.30,627.69,610.01,623.79
2014-11-19,608.45,613.71,604.54,604.73
2014-11-18,595.89,607.46,595.89,607.46
2014-11-17,587.93,597.51,585.72,588.74
2014-11-14,580.62,583.87,577.56,583.87
2014-11-13,570.31,578.04,568.78,578.04
2014-11-12,575.63,577.69,569.55,570.30
2014-11-11,566.84,574.37,566.84,574.03
2014-11-10,561.61,565.70,560.44,565.70
2014-11-07,559.61,562.13,558.46,561.61
2014-11-06,554.13,560.43,554.13,556.69
2014-11-05,546.15,552.53,543.89,551.74
2014-11-04,550.05,555.81,544.95,545.16
2014-10-31,528.04,541.04,527.65,540.19
2014-10-30,518.68,523.46,518.31,522.49
2014-10-29,515.42,520.26,514.25,518.97
2014-10-28,514.27,515.00,510.97,512.83
2014-10-27,511.57,515.65,510.45,513.63
2014-10-24,508.83,509.47,505.90,507.76
2014-10-23,503.85,506.91,502.01,503.95
2014-10-22,503.60,506.18,500.69,506.18
2014-10-21,504.14,505.56,495.69,497.04
2014-10-20,500.37,504.90,499.97,503.67
2014-10-17,499.92,501.55,492.08,492.09
2014-10-16,498.95,502.45,496.00,500.17
2014-10-15,507.70,508.37,502.66,506.53
2014-10-14,505.86,510.08,505.08,505.46
2014-10-10,513.31,514.86,509.96,513.10
2014-10-09,523.30,523.62,518.83,519.55
2014-10-08,516.30,522.14,515.29,520.88
2014-10-07,526.39,526.47,521.64,522.48
2014-10-06,526.74,529.29,524.72,527.15
2014-10-03,519.97,523.04,519.69,522.00
2014-10-02,528.89,529.28,519.96,520.43
2014-10-01,537.57,540.38,535.72,536.01
2014-09-30,538.37,538.37,532.73,534.71
2014-09-29,540.89,541.08,537.28,538.95
2014-09-26,535.33,540.42,535.33,539.09
2014-09-25,538.93,542.23,536.76,542.23
2014-09-24,534.30,537.17,533.85,537.17
2014-09-22,537.35,537.69,534.17,535.13
2014-09-19,533.33,536.13,531.77,535.88
2014-09-18,528.79,532.02,528.73,530.80
2014-09-17,531.80,532.04,526.43,526.49
2014-09-16,531.97,532.40,530.01,530.80
2014-09-12,534.05,535.22,531.76,533.08
2014-09-11,533.40,535.40,532.39,534.72
2014-09-10,530.90,532.20,529.36,531.91
2014-09-09,531.74,532.96,530.50,531.59
2014-09-08,532.39,532.39,528.52,530.00
2014-09-05,532.84,533.12,528.21,529.71
2014-09-04,532.01,532.54,529.53,529.76
2014-09-03,535.23,535.75,531.52,532.84
2014-09-02,531.49,534.70,531.03,533.11
2014-09-01,526.55,530.75,526.55,530.33
2014-08-29,525.41,526.53,522.52,525.52
2014-08-28,526.29,526.61,523.84,525.24
2014-08-27,528.61,529.42,525.58,528.81
2014-08-26,530.14,530.43,527.51,527.64
2014-08-25,529.02,530.61,527.49,529.71
2014-08-22,530.42,530.60,526.16,527.10
2014-08-21,529.64,531.21,527.64,529.41
2014-08-20,533.13,533.13,528.45,528.61
2014-08-19,529.70,531.37,528.88,529.55
2014-08-18,524.94,525.97,523.69,524.69
2014-08-15,524.45,525.58,523.07,524.66
2014-08-14,524.34,526.36,523.55,524.03
2014-08-13,521.16,524.51,520.35,524.04
2014-08-12,522.34,523.97,520.72,521.63
2014-08-11,515.28,522.27,513.99,521.96
2014-08-08,513.77,516.60,507.47,508.77
2014-08-07,515.42,516.71,511.89,516.71
2014-08-06,517.61,517.80,512.10,513.29
2014-08-05,526.73,527.14,519.55,519.84
2014-08-04,524.41,529.21,522.24,528.04
2014-08-01,523.86,526.38,522.90,523.59
2014-07-31,532.65,532.96,528.27,528.42
2014-07-30,529.72,530.76,528.65,529.57
2014-07-29,529.63,530.37,528.32,529.42
2014-07-28,525.95,529.84,525.95,528.09
2014-07-25,524.73,526.04,523.01,526.04
2014-07-24,522.81,524.62,520.56,522.69
2014-07-23,521.97,522.63,520.23,521.44
2014-07-22,518.94,523.18,518.94,521.35
2014-07-18,516.39,518.08,512.41,517.38
2014-07-17,523.09,524.12,520.54,520.95
2014-07-16,521.98,524.26,521.76,522.16
2014-07-15,519.30,522.48,519.30,521.69
2014-07-14,514.88,518.89,514.80,518.58
2014-07-11,512.58,515.06,510.73,514.31
2014-07-10,520.71,520.79,514.51,514.95
2014-07-09,516.19,520.71,516.19,519.54
2014-07-08,517.96,520.71,514.11,519.07
2014-07-07,520.31,520.97,518.06,518.51
2014-07-04,521.71,521.77,519.09,521.04
2014-07-03,520.29,520.45,516.92,518.69
2014-07-02,520.91,520.97,519.16,519.75
2014-07-01,514.97,520.99,513.56,520.09
2014-06-30,510.46,513.44,508.25,513.26
2014-06-27,512.08,513.34,505.71,508.52
2014-06-26,518.25,518.30,512.04,513.18
2014-06-25,520.54,523.05,515.08,515.27
2014-06-24,517.51,521.46,514.95,521.17
2014-06-23,517.00,518.35,515.85,517.89
2014-06-20,514.50,516.49,512.26,514.87
2014-06-19,507.85,514.10,507.21,514.01
2014-06-18,503.17,505.16,501.56,504.79
2014-06-17,502.15,503.23,500.26,501.45
2014-06-16,507.57,507.59,501.12,501.34
2014-06-13,498.81,508.16,498.81,507.44
2014-06-12,498.14,502.26,495.96,501.78
2014-06-11,495.50,499.75,495.45,499.50
2014-06-10,498.22,500.92,494.96,495.37
2014-06-09,499.86,500.36,497.76,497.77
2014-06-06,497.62,498.25,494.71,497.10
2014-06-05,498.13,499.43,495.85,496.73
2014-06-04,499.43,499.81,495.34,496.95
