日付,時刻,始値,高値,安値,終値
2016-12-30,後場,416.19,418.25,415.74,417.02
2016-12-30,前場,411.59,415.56,411.42,415.51
2016-12-29,後場,418.14,418.22,415.53,418.10
2016-12-29,前場,421.77,423.46,417.39,418.19
2016-12-28,後場,428.98,429.09,426.22,426.69
2016-12-28,前場,428.42,429.17,426.56,428.53
2016-12-27,後場,431.24,431.47,426.48,426.91
2016-12-27,前場,425.78,431.65,425.03,431.00
2016-12-26,後場,427.59,428.61,426.51,428.32
2016-12-26,前場,429.70,430.22,427.48,428.06
2016-12-22,後場,431.25,432.12,429.74,432.12
2016-12-22,前場,432.22,432.94,428.13,432.32
2016-12-21,後場,436.07,437.19,432.95,433.67
2016-12-21,前場,437.59,443.78,436.49,437.30
2016-12-20,後場,432.69,436.09,429.14,436.09
2016-12-20,前場,435.19,436.75,431.80,432.67
2016-12-19,後場,439.91,440.15,438.07,439.79
2016-12-19,前場,441.57,442.37,438.06,440.16
2016-12-16,後場,447.99,448.08,445.37,446.05
2016-12-16,前場,451.09,451.09,445.05,448.57
2016-12-15,後場,444.98,448.79,444.74,445.62
2016-12-15,前場,448.67,451.40,443.32,444.97
2016-12-14,後場,443.88,448.27,443.50,446.62
2016-12-14,前場,443.20,444.20,439.92,443.11
2016-12-13,後場,440.20,443.22,437.66,443.05
2016-12-13,前場,438.49,444.72,436.25,440.48
2016-12-12,後場,439.22,449.22,439.13,444.86
2016-12-12,前場,459.34,460.24,442.12,442.43
2016-12-09,後場,446.69,452.14,446.39,452.01
2016-12-09,前場,444.48,447.31,439.31,446.69
2016-12-08,後場,433.82,440.24,433.31,440.24
2016-12-08,前場,432.64,436.22,431.94,433.88
2016-12-07,後場,421.88,427.46,421.51,427.27
2016-12-07,前場,421.08,421.99,419.82,421.99
2016-12-06,後場,416.48,418.35,415.03,417.82
2016-12-06,前場,412.36,420.00,412.31,417.65
2016-12-05,後場,408.36,408.50,405.02,406.97
2016-12-05,前場,405.99,407.73,401.87,407.12
2016-12-02,後場,410.45,411.13,406.11,410.24
2016-12-02,前場,397.78,410.47,397.58,410.47
2016-12-01,後場,399.78,400.35,394.64,396.69
2016-12-01,前場,388.23,401.15,388.10,400.38
2016-11-30,後場,382.63,382.94,379.86,382.62
2016-11-30,前場,379.09,382.94,378.01,382.76
2016-11-29,後場,377.99,378.38,377.21,377.55
2016-11-29,前場,376.54,379.25,376.04,378.32
2016-11-28,後場,376.96,381.53,376.96,380.78
2016-11-28,前場,375.36,377.94,371.06,376.50
2016-11-25,後場,383.43,383.43,376.49,379.76
2016-11-25,前場,380.69,384.72,380.69,383.69
2016-11-24,後場,380.48,381.42,378.84,380.24
2016-11-24,前場,379.29,381.02,378.21,380.35
2016-11-22,後場,373.80,374.40,373.17,374.02
2016-11-22,前場,373.45,375.40,371.59,373.14
2016-11-21,後場,373.47,376.10,373.32,375.24
2016-11-21,前場,371.67,374.05,369.76,373.26
2016-11-18,後場,374.72,374.96,371.28,371.66
2016-11-18,前場,373.69,375.86,372.53,374.56
2016-11-17,後場,367.14,369.12,366.78,367.78
2016-11-17,前場,366.35,368.07,364.18,367.69
2016-11-16,後場,371.92,371.95,370.12,371.44
2016-11-16,前場,372.19,373.78,370.07,372.27
2016-11-15,後場,366.21,367.25,364.09,366.34
2016-11-15,前場,366.07,368.30,362.82,366.02
2016-11-14,後場,363.50,365.20,362.33,365.13
2016-11-14,前場,350.31,363.29,350.31,363.10
2016-11-11,後場,349.02,351.04,346.97,348.66
2016-11-11,前場,342.99,353.65,342.92,347.41
2016-11-10,後場,332.93,338.72,332.74,337.31
2016-11-10,前場,313.75,334.05,313.75,332.85
2016-11-09,後場,312.54,312.54,303.47,308.10
2016-11-09,前場,330.28,333.00,313.52,318.06
2016-11-08,後場,328.25,328.61,327.04,327.56
2016-11-08,前場,329.34,330.98,327.51,328.12
2016-11-07,後場,330.05,330.09,327.09,327.62
2016-11-07,前場,329.27,332.14,327.04,329.85
2016-11-04,後場,324.01,324.42,322.78,323.54
2016-11-04,前場,324.03,327.50,321.98,324.53
2016-11-02,後場,328.84,329.93,326.41,328.83
2016-11-02,前場,330.04,331.98,329.40,330.00
2016-11-01,後場,336.45,337.28,334.77,335.79
2016-11-01,前場,338.60,338.60,334.20,336.15
2016-10-31,後場,338.11,338.27,336.68,337.34
2016-10-31,前場,335.80,337.69,335.19,337.67
2016-10-28,後場,332.19,335.56,332.15,335.02
2016-10-28,前場,328.46,332.97,328.46,332.03
2016-10-27,後場,321.25,323.98,320.30,323.49
2016-10-27,前場,318.76,322.30,318.59,321.76
2016-10-26,後場,317.09,319.66,317.09,319.66
2016-10-26,前場,318.17,318.82,314.87,316.43
2016-10-25,後場,318.92,319.48,318.21,318.86
2016-10-25,前場,316.69,320.35,316.69,318.98
2016-10-24,後場,315.12,316.01,314.66,315.24
2016-10-24,前場,316.71,316.97,313.89,315.00
2016-10-21,後場,318.06,318.69,314.79,315.07
2016-10-21,前場,318.06,318.67,314.63,318.18
2016-10-20,後場,315.30,317.21,315.27,317.21
2016-10-20,前場,309.52,315.69,308.64,315.62
2016-10-19,後場,309.05,311.60,309.04,310.44
2016-10-19,前場,308.43,309.68,307.08,309.37
2016-10-18,後場,307.69,308.16,306.14,308.16
2016-10-18,前場,307.15,308.16,303.25,307.69
2016-10-17,後場,310.41,311.20,308.36,309.13
2016-10-17,前場,307.60,311.23,307.60,310.09
2016-10-14,後場,305.35,307.21,305.13,306.77
