日付,始値,高値,安値,終値
2007-12-28,787.07,790.03,785.40,790.03
2007-12-27,801.13,802.63,793.47,795.47
2007-12-26,800.90,805.93,798.60,804.16
2007-12-25,790.78,798.65,790.78,795.12
2007-12-21,779.01,783.99,774.64,780.80
2007-12-20,782.42,784.88,777.18,779.32
2007-12-19,776.30,787.62,776.30,778.14
2007-12-18,777.73,790.64,773.71,786.78
2007-12-17,793.79,799.60,786.13,787.49
2007-12-14,810.52,817.80,789.23,795.51
2007-12-13,828.43,829.10,804.28,808.49
2007-12-12,839.07,839.68,827.08,839.25
2007-12-11,855.29,861.90,851.66,852.93
2007-12-10,855.43,859.04,846.84,853.20
2007-12-07,866.11,870.15,851.80,856.36
2007-12-06,855.55,865.58,851.18,862.34
2007-12-05,836.15,846.73,828.01,842.88
2007-12-04,847.66,853.70,841.04,841.04
2007-12-03,845.37,852.19,843.37,847.73
2007-11-30,828.66,835.63,824.20,835.61
2007-11-29,811.27,839.67,811.27,834.94
2007-11-28,810.59,811.82,796.83,799.00
2007-11-27,783.48,816.55,773.39,808.16
2007-11-26,769.31,804.69,768.75,795.53
2007-11-22,754.28,768.92,751.69,763.02
2007-11-21,772.69,776.81,755.35,764.07
2007-11-20,759.22,784.27,742.83,783.37
2007-11-19,773.57,783.40,767.25,769.76
2007-11-16,790.10,790.10,766.83,774.31
2007-11-15,815.13,820.31,801.55,801.96
2007-11-14,775.45,810.86,775.45,804.31
2007-11-13,763.97,783.98,756.98,764.11
2007-11-12,757.79,764.32,747.78,760.91
2007-11-09,786.93,791.92,768.42,769.20
2007-11-08,795.31,795.51,775.91,784.04
2007-11-07,829.05,829.05,806.90,809.09
2007-11-06,808.13,836.07,808.13,819.54
2007-11-05,821.16,829.60,814.36,817.69
2007-11-02,850.26,850.26,829.56,829.86
2007-11-01,866.33,873.77,864.91,866.17
2007-10-31,839.83,858.52,828.29,857.50
2007-10-30,842.16,853.06,833.90,845.94
2007-10-29,825.84,854.73,825.12,844.38
2007-10-26,797.04,820.11,795.18,815.08
2007-10-25,792.35,796.79,782.47,787.09
2007-10-24,803.77,806.56,794.98,799.87
2007-10-23,809.52,812.67,801.68,808.21
2007-10-22,818.31,818.32,795.61,810.44
2007-10-19,836.16,836.16,822.49,830.70
