日付,時刻,始値,高値,安値,終値
2015-12-30,後場,3271.37,3282.71,3267.86,3267.86
2015-12-30,前場,3273.81,3286.48,3271.81,3272.58
2015-12-29,後場,3241.20,3265.38,3239.73,3256.86
2015-12-29,前場,3250.57,3257.25,3226.01,3240.79
2015-12-28,後場,3248.26,3266.22,3245.27,3252.93
2015-12-28,前場,3237.74,3265.94,3233.99,3245.52
2015-12-25,後場,3237.32,3243.18,3225.73,3233.95
2015-12-25,前場,3254.77,3267.03,3224.48,3239.29
2015-12-24,後場,3274.27,3277.32,3253.75,3254.56
2015-12-24,前場,3302.74,3308.68,3281.09,3281.89
2015-12-22,後場,3293.41,3296.36,3282.69,3282.69
2015-12-22,前場,3280.41,3295.17,3264.66,3293.09
2015-12-21,後場,3239.13,3286.39,3239.09,3269.71
2015-12-21,前場,3258.54,3269.94,3225.89,3234.79
2015-12-18,後場,3338.87,3393.96,3282.34,3289.45
2015-12-18,前場,3324.69,3337.08,3307.66,3334.92
2015-12-17,後場,3362.99,3363.34,3328.07,3332.31
2015-12-17,前場,3347.58,3369.10,3342.80,3363.98
2015-12-16,後場,3282.37,3302.94,3280.95,3296.29
2015-12-16,前場,3236.60,3280.23,3236.10,3277.25
2015-12-15,後場,3214.02,3222.87,3180.46,3180.46
2015-12-15,前場,3236.79,3243.84,3209.59,3217.10
2015-12-14,後場,3223.23,3244.83,3223.23,3239.93
2015-12-14,前場,3245.90,3247.49,3193.47,3215.02
2015-12-11,後場,3299.45,3309.09,3296.66,3308.50
2015-12-11,前場,3264.58,3310.84,3261.93,3299.34
2015-12-10,後場,3283.25,3289.31,3271.63,3273.13
2015-12-10,前場,3275.91,3286.25,3261.55,3276.11
2015-12-09,後場,3318.05,3327.45,3307.11,3312.91
2015-12-09,前場,3295.58,3341.62,3291.52,3314.83
2015-12-08,後場,3318.75,3322.35,3309.56,3309.78
2015-12-08,前場,3353.47,3365.02,3316.31,3319.01
2015-12-07,後場,3367.00,3370.89,3346.81,3347.76
2015-12-07,前場,3348.34,3368.61,3348.34,3367.00
2015-12-04,後場,3329.24,3330.67,3315.43,3324.75
2015-12-04,前場,3338.19,3344.57,3325.27,3334.63
2015-12-03,後場,3385.35,3402.13,3382.60,3395.64
2015-12-03,前場,3384.13,3401.66,3379.17,3386.81
2015-12-02,後場,3400.23,3406.47,3393.44,3393.44
2015-12-02,前場,3395.80,3402.95,3387.92,3402.95
2015-12-01,後場,3378.88,3392.54,3378.17,3392.54
2015-12-01,前場,3353.17,3385.57,3348.95,3380.75
2015-11-30,後場,3344.25,3351.09,3340.17,3340.69
2015-11-30,前場,3356.00,3361.39,3344.52,3349.32
2015-11-27,後場,3349.82,3350.04,3343.50,3345.34
2015-11-27,前場,3368.16,3368.89,3343.10,3352.29
2015-11-26,後場,3356.02,3367.73,3353.56,3357.68
2015-11-26,前場,3345.54,3354.14,3343.55,3353.32
2015-11-25,後場,3319.20,3335.41,3315.70,3327.42
2015-11-25,前場,3339.42,3339.42,3318.97,3323.55
2015-11-24,後場,3333.35,3356.20,3331.95,3349.29
2015-11-24,前場,3322.38,3340.80,3316.10,3330.70
2015-11-20,後場,3315.76,3333.43,3315.76,3333.43
2015-11-20,前場,3322.25,3330.95,3306.83,3310.98
2015-11-19,後場,3348.73,3357.13,3332.89,3349.71
2015-11-19,前場,3349.32,3368.48,3344.87,3359.30
2015-11-18,後場,3330.89,3336.39,3318.76,3321.20
2015-11-18,前場,3327.25,3339.60,3326.18,3330.59
2015-11-17,後場,3327.04,3327.04,3307.04,3307.04
2015-11-17,前場,3302.34,3326.03,3301.78,3325.53
2015-11-16,後場,3257.04,3271.86,3254.66,3262.87
2015-11-16,前場,3244.83,3268.06,3227.59,3258.55
2015-11-13,後場,3299.11,3307.96,3296.04,3305.12
2015-11-13,前場,3288.14,3314.17,3283.24,3302.70
2015-11-12,後場,3328.88,3333.37,3321.42,3326.97
2015-11-12,前場,3330.13,3341.34,3318.02,3328.68
2015-11-11,後場,3335.42,3343.56,3329.13,3334.90
2015-11-11,前場,3325.13,3342.60,3322.75,3327.11
2015-11-10,後場,3326.02,3337.74,3320.82,3336.85
2015-11-10,前場,3317.21,3337.37,3312.79,3319.36
2015-11-09,後場,3339.77,3345.45,3331.27,3341.62
2015-11-09,前場,3308.11,3343.42,3302.03,3343.42
2015-11-06,後場,3271.03,3278.86,3261.99,3273.95
2015-11-06,前場,3287.95,3288.95,3261.75,3270.67
2015-11-05,後場,3264.40,3274.99,3258.25,3266.68
2015-11-05,前場,3262.66,3272.19,3241.03,3258.13
2015-11-04,後場,3287.15,3289.28,3262.36,3262.49
2015-11-04,前場,3259.65,3291.82,3258.72,3288.37
2015-11-02,後場,3227.99,3229.15,3211.61,3215.08
2015-11-02,前場,3223.91,3248.98,3211.09,3230.34
2015-10-30,後場,3221.75,3287.19,3210.12,3266.94
2015-10-30,前場,3244.29,3253.06,3221.98,3226.12
2015-10-29,後場,3250.46,3255.77,3233.83,3251.37
2015-10-29,前場,3300.62,3301.03,3250.11,3250.11
2015-10-28,後場,3271.03,3279.42,3263.49,3278.85
2015-10-28,前場,3267.89,3287.39,3265.55,3271.39
2015-10-27,後場,3270.21,3270.21,3253.42,3264.42
2015-10-27,前場,3297.51,3307.00,3265.03,3267.02
2015-10-26,後場,3304.60,3307.84,3283.26,3284.00
2015-10-26,前場,3318.56,3320.85,3292.60,3298.62
2015-10-23,後場,3271.49,3279.41,3258.88,3263.92
2015-10-23,前場,3250.88,3285.16,3250.88,3267.90
2015-10-22,後場,3213.72,3215.58,3189.41,3195.21
2015-10-22,前場,3190.39,3226.24,3188.88,3215.49
2015-10-21,後場,3197.40,3221.11,3196.83,3217.38
2015-10-21,前場,3163.50,3198.27,3156.63,3194.59
2015-10-20,後場,3143.22,3156.12,3140.03,3149.29
2015-10-20,前場,3173.20,3173.20,3136.36,3142.04
2015-10-19,後場,3170.06,3180.67,3144.01,3153.63
2015-10-19,前場,3183.80,3183.80,3129.25,3152.43
2015-10-16,後場,3182.95,3193.42,3176.95,3186.08
2015-10-16,前場,3174.09,3195.28,3163.19,3192.70
2015-10-15,後場,3126.96,3146.36,3121.81,3139.00
2015-10-15,前場,3079.15,3145.09,3072.18,3126.63
2015-10-14,後場,3097.35,3106.92,3088.91,3099.36
2015-10-14,前場,3137.63,3140.76,3082.62,3085.68
2015-10-13,後場,3178.00,3181.77,3157.48,3175.85
2015-10-13,前場,3191.11,3196.96,3161.74,3175.18
2015-10-09,後場,3211.84,3229.86,3210.41,3228.50
2015-10-09,前場,3163.61,3209.96,3163.61,3200.97
2015-10-08,後場,3143.39,3157.12,3127.38,3134.22
2015-10-08,前場,3126.41,3179.21,3123.50,3139.39
2015-10-07,後場,3105.07,3151.81,3103.64,3142.72
2015-10-07,前場,3087.95,3122.32,3080.77,3121.09
2015-10-06,後場,3091.53,3109.24,3065.42,3072.94
2015-10-06,前場,3113.07,3124.21,3090.28,3102.51
2015-10-05,後場,3073.84,3084.84,3063.60,3066.39
2015-10-05,前場,3084.60,3095.42,3053.88,3063.18
2015-10-02,後場,3048.57,3062.91,3038.94,3060.57
2015-10-02,前場,2983.73,3051.48,2979.58,3045.99
2015-10-01,後場,3039.41,3046.80,3022.21,3022.21
2015-10-01,前場,2953.96,3027.06,2938.80,3018.81
2015-09-30,後場,2932.85,2962.63,2923.57,2934.78
2015-09-30,前場,2879.18,2943.88,2876.73,2919.65
2015-09-29,後場,2860.11,2860.11,2821.77,2836.11
2015-09-29,前場,2907.77,2908.61,2846.74,2869.11
2015-09-28,後場,2985.68,2985.68,2948.07,2965.67
2015-09-28,前場,3018.15,3040.88,2974.84,2983.30
2015-09-25,後場,2984.64,3030.57,2984.11,3028.93
2015-09-25,前場,2995.47,3045.51,2961.77,2974.81
2015-09-24,後場,3009.85,3028.27,2996.99,2996.99
2015-09-24,前場,3041.24,3052.64,3000.87,3005.10
2015-09-18,後場,3088.47,3094.13,3076.82,3085.36
2015-09-18,前場,3097.42,3098.35,3046.68,3082.53
2015-09-17,後場,3128.35,3135.99,3112.42,3124.48
2015-09-17,前場,3131.90,3160.70,3104.17,3113.34
2015-09-16,後場,3095.14,3104.94,3085.05,3095.55
2015-09-16,前場,3065.41,3118.34,3051.73,3098.53
2015-09-15,後場,3032.27,3054.09,3013.66,3013.66
2015-09-15,前場,3001.84,3067.36,2991.45,3054.79
2015-09-14,後場,2980.54,3004.40,2972.42,2977.28
2015-09-14,前場,3020.33,3028.99,2983.47,2992.23
2015-09-11,後場,3013.88,3021.54,3000.34,3007.58
2015-09-11,前場,2996.49,3034.36,2991.53,3004.80
2015-09-10,後場,3046.47,3059.56,3011.67,3040.70
2015-09-10,前場,3072.46,3074.98,3016.28,3057.56
2015-09-09,後場,3089.81,3132.78,3077.46,3132.78
2015-09-09,前場,2995.73,3090.42,2995.71,3090.42
2015-09-08,後場,2962.05,2971.39,2933.85,2933.85
2015-09-08,前場,2947.57,2987.66,2938.96,2987.49
2015-09-07,後場,2964.66,2966.81,2930.31,2951.54
2015-09-07,前場,2899.92,2962.38,2863.15,2926.54
2015-09-04,後場,2945.92,2945.92,2884.46,2919.43
2015-09-04,前場,3013.20,3013.20,2947.76,2950.90
2015-09-03,後場,3040.13,3044.53,2985.16,2985.16
2015-09-03,前場,2992.65,3033.48,2991.47,3032.84
2015-09-02,後場,2992.92,3002.99,2931.71,2945.32
2015-09-02,前場,2895.84,2989.09,2889.69,2976.66
2015-09-01,後場,3014.65,3021.52,2956.13,2956.13
2015-09-01,前場,3042.94,3050.68,2991.98,2996.92
2015-08-31,後場,3069.30,3075.84,3046.13,3069.83
2015-08-31,前場,3107.85,3109.44,3072.69,3081.44
2015-08-28,後場,3111.66,3132.49,3108.07,3117.52
2015-08-28,前場,3039.96,3123.98,3039.91,3118.28
2015-08-27,後場,3024.86,3025.76,2968.70,2977.63
2015-08-27,前場,3004.70,3049.76,3000.83,3022.56
2015-08-26,後場,2926.60,2973.13,2923.33,2955.04
2015-08-26,前場,2891.43,2926.57,2869.99,2908.21
2015-08-25,後場,3012.19,3013.75,2849.90,2849.90
2015-08-25,前場,2911.67,3026.60,2809.27,3021.08
2015-08-24,後場,3008.61,3028.23,2964.79,2964.79
2015-08-24,前場,3103.83,3104.26,3021.41,3022.17
2015-08-21,後場,3184.83,3187.33,3162.89,3166.01
2015-08-21,前場,3209.18,3209.94,3182.56,3189.61
2015-08-20,後場,3291.37,3300.95,3269.63,3269.63
2015-08-20,前場,3324.88,3324.88,3278.83,3280.75
2015-08-19,後場,3364.55,3364.97,3340.30,3340.30
2015-08-19,前場,3371.31,3375.47,3362.08,3368.92
2015-08-18,後場,3387.20,3394.38,3383.73,3385.75
2015-08-18,前場,3387.76,3395.97,3373.74,3387.54
2015-08-17,後場,3386.07,3386.07,3372.24,3379.49
2015-08-17,前場,3384.46,3395.64,3378.97,3384.86
2015-08-14,後場,3376.01,3379.30,3366.74,3374.83
2015-08-14,前場,3375.68,3391.80,3374.59,3382.93
2015-08-13,後場,3382.92,3388.56,3372.51,3385.08
2015-08-13,前場,3367.88,3387.95,3365.52,3378.09
2015-08-12,後場,3407.78,3408.69,3381.88,3396.91
2015-08-12,前場,3433.96,3441.64,3394.34,3409.92
2015-08-11,後場,3461.11,3467.75,3448.56,3462.07
2015-08-11,前場,3487.55,3499.03,3468.98,3475.56
2015-08-10,後場,3439.96,3470.20,3439.96,3470.20
2015-08-10,前場,3451.40,3452.42,3427.18,3440.12
2015-08-07,後場,3454.08,3471.54,3452.88,3469.36
2015-08-07,前場,3434.64,3451.73,3433.00,3449.69
2015-08-06,後場,3460.03,3469.91,3455.69,3455.69
2015-08-06,前場,3444.82,3467.81,3439.73,3460.02
2015-08-05,後場,3420.35,3423.66,3403.25,3403.99
2015-08-05,前場,3392.73,3418.99,3377.49,3417.44
2015-08-04,後場,3431.16,3434.75,3413.73,3430.89
2015-08-04,前場,3425.32,3436.62,3414.85,3428.05
2015-08-03,後場,3442.13,3451.53,3437.03,3445.93
2015-08-03,前場,3428.50,3449.11,3419.50,3441.15
2015-07-31,後場,3422.50,3434.06,3408.56,3434.06
2015-07-31,前場,3400.66,3422.85,3391.32,3415.62
2015-07-30,後場,3396.10,3404.89,3382.17,3389.62
2015-07-30,前場,3382.67,3401.86,3380.52,3397.91
2015-07-29,後場,3352.31,3360.43,3345.21,3350.05
2015-07-29,前場,3364.38,3374.83,3338.30,3345.92
2015-07-28,後場,3349.49,3367.39,3339.75,3343.95
2015-07-28,前場,3339.12,3342.56,3318.95,3327.69
2015-07-27,後場,3383.07,3388.98,3368.36,3382.32
2015-07-27,前場,3394.93,3405.59,3370.42,3391.51
2015-07-24,後場,3399.68,3407.38,3397.00,3403.41
2015-07-24,前場,3394.00,3416.68,3390.09,3397.35
2015-07-23,後場,3401.10,3411.16,3398.45,3410.54
