日付,始値,高値,安値,終値
2009-12-30,1757.03,1757.03,1733.04,1733.04
2009-12-29,1729.33,1742.72,1721.05,1742.60
2009-12-28,1721.59,1747.51,1719.66,1732.25
2009-12-25,1727.87,1729.02,1714.25,1718.19
2009-12-24,1712.27,1737.98,1712.02,1732.02
2009-12-22,1676.59,1703.94,1673.19,1698.96
2009-12-21,1678.80,1679.95,1659.00,1659.78
2009-12-18,1671.06,1674.63,1651.19,1667.63
2009-12-17,1683.35,1694.68,1674.05,1674.05
2009-12-16,1676.50,1688.71,1665.87,1675.10
2009-12-15,1659.45,1668.40,1647.78,1657.81
2009-12-14,1671.70,1678.33,1643.35,1660.27
2009-12-11,1632.27,1667.06,1621.53,1662.82
2009-12-10,1643.34,1651.86,1610.55,1617.77
2009-12-09,1654.36,1655.74,1638.48,1651.91
2009-12-08,1659.27,1677.60,1655.91,1675.39
2009-12-07,1688.22,1701.75,1672.07,1680.86
2009-12-04,1661.91,1667.37,1633.16,1667.00
2009-12-03,1591.87,1656.63,1591.84,1655.06
2009-12-02,1540.39,1573.27,1535.48,1569.39
2009-12-01,1486.57,1553.46,1479.42,1549.66
2009-11-30,1478.80,1509.58,1474.39,1504.65
2009-11-27,1471.74,1474.85,1452.65,1456.07
2009-11-26,1498.34,1506.98,1486.28,1498.83
2009-11-25,1489.38,1522.63,1489.38,1516.60
2009-11-24,1511.11,1511.11,1482.02,1489.34
2009-11-20,1500.40,1511.15,1487.21,1505.85
2009-11-19,1553.76,1554.10,1505.74,1522.82
2009-11-18,1557.79,1570.18,1549.53,1558.56
2009-11-17,1575.25,1583.50,1565.01,1571.80
2009-11-16,1575.91,1578.54,1552.36,1572.17
2009-11-13,1578.08,1588.86,1565.73,1573.14
2009-11-12,1571.68,1598.52,1566.02,1576.65
2009-11-11,1549.81,1570.18,1546.55,1555.28
2009-11-10,1572.02,1579.45,1548.49,1554.15
2009-11-09,1559.42,1578.57,1544.65,1566.88
2009-11-06,1592.63,1600.70,1562.50,1567.07
2009-11-05,1595.29,1603.12,1574.58,1577.62
2009-11-04,1585.03,1599.79,1585.03,1596.24
2009-11-02,1597.58,1597.85,1572.72,1581.40
2009-10-30,1617.46,1634.53,1616.04,1622.18
2009-10-29,1597.20,1610.81,1583.25,1595.40
2009-10-28,1628.61,1645.48,1620.72,1620.72
2009-10-27,1630.78,1638.83,1604.52,1614.35
2009-10-26,1614.65,1646.85,1614.39,1641.67
2009-10-23,1621.23,1624.90,1600.91,1604.40
2009-10-22,1587.77,1614.37,1576.62,1613.64
2009-10-21,1595.34,1607.95,1592.57,1602.90
2009-10-20,1621.90,1623.50,1599.68,1601.05
2009-10-19,1588.56,1609.61,1575.36,1609.48
2009-10-16,1621.56,1622.31,1593.56,1605.77
2009-10-15,1609.39,1624.21,1603.08,1609.67
2009-10-14,1603.66,1606.73,1570.75,1585.21
2009-10-13,1593.85,1621.78,1592.05,1610.45
2009-10-09,1559.70,1576.69,1535.19,1576.69
2009-10-08,1533.83,1558.15,1519.62,1550.43
2009-10-07,1505.44,1539.93,1504.11,1531.73
