日付,時刻,始値,高値,安値,終値
2017-12-12,後場,1560.19,1560.91,1554.20,1557.48
2017-12-12,前場,1557.69,1567.68,1557.23,1561.71
2017-12-11,後場,1542.77,1553.65,1542.77,1553.65
2017-12-11,前場,1556.01,1556.01,1538.09,1540.63
2017-12-08,後場,1543.52,1549.90,1541.53,1549.90
2017-12-08,前場,1541.38,1550.95,1541.38,1543.98
2017-12-07,後場,1530.49,1537.56,1529.90,1536.86
2017-12-07,前場,1518.36,1533.13,1518.36,1531.73
2017-12-06,後場,1511.73,1513.26,1501.33,1507.88
2017-12-06,前場,1516.98,1524.20,1515.49,1520.19
2017-12-05,後場,1523.49,1527.55,1523.49,1524.51
2017-12-05,前場,1516.35,1520.61,1511.82,1520.24
2017-12-04,後場,1541.25,1541.72,1525.95,1526.46
2017-12-04,前場,1545.53,1550.00,1538.07,1540.57
2017-12-01,後場,1541.98,1542.81,1536.74,1540.84
2017-12-01,前場,1550.77,1558.73,1536.86,1539.12
2017-11-30,後場,1522.37,1540.63,1522.37,1540.12
2017-11-30,前場,1523.57,1531.25,1514.27,1521.18
2017-11-29,後場,1527.53,1528.44,1521.52,1527.87
2017-11-29,前場,1525.94,1533.83,1524.34,1528.93
2017-11-28,後場,1526.32,1527.07,1520.69,1520.88
2017-11-28,前場,1526.14,1531.08,1518.85,1530.48
2017-11-27,後場,1533.57,1534.86,1527.24,1530.80
2017-11-27,前場,1540.74,1541.35,1530.26,1533.43
2017-11-24,後場,1535.65,1542.46,1534.04,1541.53
2017-11-24,前場,1532.17,1538.78,1528.00,1534.06
2017-11-22,後場,1544.32,1547.04,1539.50,1545.96
2017-11-22,前場,1547.93,1554.16,1542.90,1544.20
2017-11-21,後場,1540.68,1545.47,1537.73,1540.95
2017-11-21,前場,1534.97,1544.24,1533.35,1541.39
2017-11-20,後場,1525.44,1528.32,1523.32,1524.54
2017-11-20,前場,1519.98,1528.76,1517.04,1524.43
2017-11-17,後場,1533.41,1535.70,1524.27,1530.48
2017-11-17,前場,1535.28,1542.42,1527.43,1528.25
2017-11-16,後場,1510.00,1521.60,1505.40,1516.40
2017-11-16,前場,1507.76,1513.23,1503.40,1512.59
2017-11-15,後場,1523.68,1527.05,1511.48,1519.42
2017-11-15,前場,1532.64,1533.22,1520.72,1521.92
2017-11-14,後場,1541.41,1547.62,1540.20,1543.04
2017-11-14,前場,1527.68,1545.97,1527.68,1538.92
2017-11-13,後場,1532.46,1539.43,1527.61,1527.63
2017-11-13,前場,1550.76,1554.11,1531.78,1532.69
2017-11-10,後場,1540.64,1546.71,1536.55,1544.89
2017-11-10,前場,1526.46,1540.17,1519.78,1536.88
2017-11-09,後場,1551.39,1559.99,1517.52,1538.44
2017-11-09,前場,1554.29,1557.96,1544.06,1556.63
2017-11-08,後場,1542.07,1547.25,1541.54,1547.07
2017-11-08,前場,1534.87,1544.49,1532.30,1544.21
2017-11-07,後場,1539.10,1542.82,1537.44,1541.86
2017-11-07,前場,1527.16,1537.16,1526.32,1536.27
2017-11-06,後場,1556.22,1561.02,1525.72,1544.26
2017-11-06,前場,1556.54,1561.10,1552.79,1555.43
2017-11-02,後場,1552.42,1552.99,1546.42,1552.17
2017-11-02,前場,1552.25,1552.87,1546.42,1551.24
2017-11-01,後場,1543.10,1550.43,1538.84,1547.21
2017-11-01,前場,1542.66,1544.70,1530.69,1542.71
2017-10-31,後場,1530.81,1531.64,1524.29,1528.26
2017-10-31,前場,1522.73,1527.45,1518.49,1526.49
2017-10-30,後場,1520.37,1528.88,1519.12,1528.54
2017-10-30,前場,1515.02,1521.68,1510.80,1516.75
2017-10-27,後場,1510.56,1519.12,1510.56,1518.04
