日付,始値,高値,安値,終値
2016-12-30,1276.21,1288.93,1274.73,1286.85
2016-12-29,1300.50,1300.50,1282.56,1285.71
2016-12-28,1304.53,1310.62,1300.11,1309.68
2016-12-27,1305.21,1308.23,1298.64,1302.13
2016-12-26,1303.94,1310.67,1298.15,1299.60
2016-12-22,1285.08,1304.93,1283.61,1304.93
2016-12-21,1297.56,1297.82,1285.98,1290.39
2016-12-20,1291.03,1295.52,1283.62,1295.52
2016-12-19,1298.19,1300.22,1292.01,1298.90
2016-12-16,1295.56,1309.54,1294.86,1309.54
2016-12-15,1280.44,1288.65,1272.75,1280.62
2016-12-14,1277.11,1277.44,1268.54,1273.96
2016-12-13,1264.25,1273.47,1259.71,1272.43
2016-12-12,1282.24,1282.24,1261.30,1269.37
2016-12-09,1271.66,1282.29,1270.17,1281.47
2016-12-08,1266.89,1273.46,1262.23,1272.62
2016-12-07,1246.34,1255.69,1243.30,1254.95
2016-12-06,1246.12,1252.57,1240.21,1244.88
2016-12-05,1225.12,1227.92,1220.80,1227.16
2016-12-02,1239.86,1240.34,1227.02,1233.43
2016-12-01,1250.23,1264.65,1246.04,1249.31
2016-11-30,1242.46,1243.93,1233.72,1236.87
2016-11-29,1234.41,1242.08,1231.37,1239.82
2016-11-28,1228.17,1241.36,1225.74,1239.81
2016-11-25,1230.73,1241.12,1223.55,1231.44
2016-11-24,1219.67,1226.09,1217.07,1225.03
2016-11-22,1214.29,1214.46,1207.76,1213.14
2016-11-21,1212.16,1217.95,1208.85,1217.13
2016-11-18,1203.42,1211.58,1198.14,1207.83
2016-11-17,1178.76,1191.27,1176.90,1190.88
2016-11-16,1188.49,1188.49,1180.59,1186.46
2016-11-15,1178.81,1184.70,1172.11,1177.46
2016-11-14,1169.29,1183.01,1166.54,1178.40
2016-11-11,1181.92,1190.13,1157.34,1161.73
2016-11-10,1120.70,1174.07,1120.70,1170.68
2016-11-09,1168.60,1173.34,1088.89,1098.11
2016-11-08,1153.90,1162.07,1150.81,1157.99
2016-11-07,1138.62,1157.27,1135.92,1155.19
2016-11-04,1141.43,1148.88,1128.57,1134.37
2016-11-02,1164.89,1166.44,1150.60,1153.76
2016-11-01,1169.86,1178.16,1162.64,1178.16
2016-10-31,1145.29,1170.21,1145.29,1167.98
2016-10-28,1153.40,1157.15,1144.99,1150.89
2016-10-27,1142.42,1147.89,1139.19,1143.69
2016-10-26,1134.00,1141.16,1132.24,1140.36
2016-10-25,1126.60,1135.26,1126.60,1133.96
2016-10-24,1124.88,1128.85,1120.67,1127.40
2016-10-21,1126.29,1128.17,1122.62,1125.89
2016-10-20,1112.25,1126.41,1110.70,1123.54
2016-10-19,1102.29,1110.34,1101.40,1109.54
2016-10-18,1094.56,1105.61,1094.40,1105.07
2016-10-17,1091.25,1100.01,1090.32,1098.69
2016-10-14,1087.08,1090.69,1080.96,1089.72
2016-10-13,1088.77,1094.52,1081.98,1089.58
2016-10-12,1087.85,1094.16,1084.73,1084.73
2016-10-11,1094.69,1105.90,1094.18,1103.15
2016-10-07,1091.21,1091.90,1086.37,1091.68
2016-10-06,1094.63,1100.99,1093.54,1095.20
2016-10-05,1086.65,1093.14,1079.20,1085.70
2016-10-04,1077.41,1081.51,1075.73,1079.90
2016-10-03,1066.29,1078.35,1061.67,1073.75
2016-09-30,1063.37,1066.17,1057.87,1060.29
2016-09-29,1070.87,1081.39,1066.38,1079.06
2016-09-28,1061.99,1065.28,1056.07,1062.27
2016-09-27,1051.47,1077.89,1047.17,1077.89
2016-09-26,1075.93,1075.93,1062.57,1064.26
2016-09-23,1068.61,1073.27,1061.15,1073.27
2016-09-21,1044.98,1072.47,1042.08,1072.15
2016-09-20,1033.58,1050.13,1032.13,1049.63
2016-09-16,1032.81,1041.41,1032.81,1041.33
2016-09-15,1040.08,1042.17,1029.67,1032.25
2016-09-14,1039.67,1051.09,1039.67,1045.61
2016-09-13,1052.06,1054.54,1044.28,1048.09
2016-09-12,1047.67,1051.16,1042.35,1049.41
2016-09-09,1062.86,1068.46,1058.89,1064.42
2016-09-08,1064.12,1065.78,1054.25,1062.57
2016-09-07,1058.15,1065.42,1056.49,1064.84
2016-09-06,1060.29,1072.14,1059.00,1070.51
2016-09-05,1071.00,1071.00,1060.46,1061.82
2016-09-02,1058.61,1062.59,1053.01,1058.93
2016-09-01,1059.00,1065.14,1054.27,1064.76
2016-08-31,1065.88,1065.88,1053.42,1058.68
2016-08-30,1056.74,1065.33,1052.31,1060.35
2016-08-29,1049.92,1058.85,1048.03,1055.05
2016-08-26,1034.36,1039.84,1029.66,1032.28
2016-08-25,1046.45,1047.23,1038.76,1040.48
2016-08-24,1036.96,1047.73,1035.96,1045.19
2016-08-23,1037.61,1041.39,1025.99,1028.78
2016-08-22,1034.11,1040.60,1033.01,1039.96
2016-08-19,1025.93,1034.04,1025.11,1031.82
2016-08-18,1020.90,1031.25,1017.93,1022.12
2016-08-17,1017.62,1028.17,1016.65,1025.66
2016-08-16,1043.07,1043.35,1020.18,1020.18
2016-08-15,1040.59,1044.00,1039.00,1041.33
2016-08-12,1048.76,1050.78,1044.41,1048.13
2016-08-10,1041.36,1044.91,1037.37,1040.13
2016-08-09,1032.39,1047.61,1027.83,1045.97
2016-08-08,1007.88,1039.26,1007.88,1039.26
2016-08-05,998.92,1003.06,994.20,997.11
2016-08-04,995.45,1003.88,988.76,1002.11
2016-08-03,1004.99,1007.91,994.77,995.53
2016-08-02,1026.10,1029.80,1019.55,1019.55
2016-08-01,1039.94,1045.96,1027.27,1044.32
2016-07-29,1031.61,1053.02,1027.36,1051.61
2016-07-28,1041.27,1044.48,1030.15,1037.79
2016-07-27,1030.57,1048.55,1029.04,1046.21
2016-07-26,1036.65,1036.65,1017.41,1021.96
2016-07-25,1033.28,1047.17,1033.10,1038.63
2016-07-22,1011.79,1027.87,1011.79,1027.87
2016-07-21,1030.27,1030.85,1017.73,1023.60
2016-07-20,1020.16,1020.16,1006.08,1019.03
2016-07-19,1014.11,1024.27,1012.89,1024.27
2016-07-15,1000.98,1010.54,1000.21,1003.05
2016-07-14,999.66,1006.08,996.86,1003.27
2016-07-13,1004.33,1012.99,996.47,998.68
2016-07-12,974.89,992.76,974.89,986.66
2016-07-11,936.61,965.80,935.73,960.14
2016-07-08,935.40,941.76,920.76,920.76
2016-07-07,937.14,941.62,930.56,932.42
2016-07-06,941.29,941.29,922.14,937.80
2016-07-05,950.85,959.31,950.39,957.33
2016-07-04,947.07,962.14,944.49,961.11
2016-07-01,952.61,958.56,950.37,954.52
2016-06-30,962.82,963.10,944.09,944.79
2016-06-29,942.48,952.05,937.10,950.94
2016-06-28,924.56,951.96,918.15,942.97
2016-06-27,937.41,943.30,928.45,937.03
2016-06-24,995.53,997.40,915.86,921.78
2016-06-23,988.76,999.12,984.26,997.33
