日付,時刻,始値,高値,安値,終値
2011-12-30,後場,406.53,407.99,405.17,407.99
2011-12-30,前場,402.19,406.53,402.08,405.38
2011-12-29,後場,399.07,402.86,398.31,401.60
2011-12-29,前場,401.17,401.17,396.55,398.07
2011-12-28,後場,406.11,406.26,403.26,403.51
2011-12-28,前場,404.07,406.80,403.31,405.23
2011-12-27,後場,401.57,404.29,401.57,404.14
2011-12-27,前場,402.84,403.47,400.47,401.58
2011-12-26,後場,405.21,406.57,403.25,405.80
2011-12-26,前場,405.76,406.84,403.60,404.32
2011-12-22,後場,399.62,399.87,397.74,399.87
2011-12-22,前場,403.53,403.53,399.08,400.17
2011-12-21,後場,406.14,406.14,403.26,405.64
2011-12-21,前場,404.66,407.18,404.12,405.15
2011-12-20,後場,396.29,397.80,395.31,396.65
2011-12-20,前場,395.89,399.64,394.29,396.46
2011-12-19,後場,396.11,398.45,393.47,396.41
2011-12-19,前場,403.31,403.31,398.08,398.81
2011-12-16,後場,407.30,409.50,405.70,406.75
2011-12-16,前場,409.65,412.37,406.83,407.85
2011-12-15,後場,409.76,412.30,407.07,408.24
2011-12-15,前場,415.59,415.59,407.89,409.18
2011-12-14,後場,416.52,420.90,415.69,419.60
2011-12-14,前場,418.10,419.16,414.94,416.41
2011-12-13,後場,418.16,423.38,418.16,420.66
2011-12-13,前場,419.17,422.16,416.95,417.64
2011-12-12,後場,425.75,430.80,425.01,428.72
2011-12-12,前場,425.57,427.68,423.05,425.84
2011-12-09,後場,416.11,418.97,414.34,415.76
2011-12-09,前場,418.48,419.72,415.77,418.30
2011-12-08,後場,423.64,428.57,422.21,426.07
2011-12-08,前場,426.37,427.74,421.28,422.42
2011-12-07,後場,423.48,433.70,422.70,431.80
2011-12-07,前場,419.79,423.28,415.34,422.26
2011-12-06,後場,421.31,422.55,415.55,416.99
2011-12-06,前場,428.17,430.25,422.27,422.84
2011-12-05,後場,428.59,432.00,427.63,430.67
2011-12-05,前場,429.56,430.83,424.58,427.93
2011-12-02,後場,420.68,425.34,418.28,424.91
2011-12-02,前場,421.64,428.20,420.52,420.83
2011-12-01,後場,416.60,427.33,416.60,422.87
2011-12-01,前場,409.60,417.24,409.60,416.82
2011-11-30,後場,394.13,399.00,391.47,398.77
2011-11-30,前場,395.69,397.71,393.66,395.67
2011-11-29,後場,393.84,400.00,393.40,399.39
2011-11-29,前場,390.37,395.43,388.70,393.93
2011-11-28,後場,386.83,387.66,383.58,384.00
2011-11-28,前場,381.16,389.18,379.86,387.54
2011-11-25,後場,372.47,377.50,372.10,373.33
2011-11-25,前場,367.63,378.30,367.63,372.77
2011-11-24,後場,370.06,370.64,365.59,366.44
2011-11-24,前場,367.09,371.33,363.31,370.50
2011-11-22,後場,372.71,377.24,370.77,375.89
2011-11-22,前場,365.74,373.59,363.95,373.10
2011-11-21,後場,374.23,375.03,372.20,372.36
2011-11-21,前場,379.77,379.77,373.78,374.12
2011-11-18,後場,380.54,383.05,379.74,381.78
2011-11-18,前場,381.68,382.80,379.73,380.20
2011-11-17,後場,389.18,392.07,386.07,388.25
2011-11-17,前場,384.25,391.26,380.03,388.55
2011-11-16,後場,391.98,392.03,388.00,388.39
2011-11-16,前場,393.05,395.29,391.59,393.76
2011-11-15,後場,396.30,396.78,393.46,394.91
2011-11-15,前場,396.35,398.37,395.27,396.13
2011-11-14,後場,397.28,402.14,396.03,401.62
2011-11-14,前場,399.48,404.56,395.54,395.54
2011-11-11,後場,394.12,395.88,391.56,391.56
2011-11-11,前場,398.19,399.38,390.75,391.02
2011-11-10,後場,395.63,398.45,393.68,397.64
2011-11-10,前場,402.16,402.57,392.43,398.64
2011-11-09,後場,410.14,413.99,405.44,413.17
2011-11-09,前場,402.32,411.14,402.07,410.92
2011-11-08,後場,407.48,407.48,399.05,400.27
2011-11-08,前場,411.80,412.61,406.60,407.27
2011-11-07,後場,411.41,414.51,411.25,414.51
2011-11-07,前場,416.14,416.65,410.66,411.39
2011-11-04,後場,416.73,419.27,413.80,418.36
2011-11-04,前場,420.58,420.58,413.18,417.52
2011-11-02,後場,415.31,417.72,412.79,413.45
2011-11-02,前場,420.02,420.41,414.59,415.05
2011-11-01,後場,429.08,429.08,426.25,428.46
2011-11-01,前場,430.65,432.52,428.74,429.44
2011-10-31,後場,442.18,442.60,435.45,437.08
2011-10-31,前場,440.85,444.28,436.88,443.11
2011-10-28,後場,445.92,446.98,444.26,445.65
2011-10-28,前場,440.11,448.30,440.11,446.99
2011-10-27,後場,422.90,433.16,422.38,433.16
2011-10-27,前場,427.26,427.26,415.75,420.92
2011-10-26,後場,423.06,430.29,421.77,427.50
2011-10-26,前場,426.24,426.24,417.48,421.62
2011-10-25,後場,429.74,431.07,427.07,428.85
2011-10-25,前場,438.90,439.20,429.36,430.73
2011-10-24,後場,433.02,439.07,432.17,439.07
2011-10-24,前場,433.62,435.87,431.98,433.27
2011-10-21,後場,431.03,431.11,427.90,429.95
2011-10-21,前場,431.18,432.74,429.46,431.64
2011-10-20,後場,432.25,433.95,430.63,433.48
2011-10-20,前場,439.93,440.05,432.26,432.45
2011-10-19,後場,447.97,448.26,441.89,443.22
2011-10-19,前場,451.22,451.43,446.97,448.25
2011-10-18,後場,447.39,449.23,445.36,445.53
2011-10-18,前場,447.42,449.13,443.54,447.58
2011-10-17,後場,453.55,456.82,452.97,456.81
2011-10-17,前場,456.31,458.40,452.37,454.83
2011-10-14,後場,454.90,454.90,448.75,448.75
2011-10-14,前場,451.68,455.47,451.68,454.94
2011-10-13,後場,456.65,458.07,453.38,455.87
2011-10-13,前場,454.98,458.21,453.70,454.97
2011-10-12,後場,443.97,449.89,443.57,449.67
2011-10-12,前場,445.13,445.13,440.69,443.52
2011-10-11,後場,448.52,451.10,447.52,449.76
2011-10-11,前場,447.16,449.04,444.44,447.61
2011-10-07,後場,437.59,443.15,435.00,437.12
2011-10-07,前場,436.39,441.38,435.44,436.84
2011-10-06,後場,434.23,434.86,429.48,431.15
2011-10-06,前場,430.27,436.95,429.77,435.77
2011-10-05,後場,426.80,429.73,424.05,425.25
2011-10-05,前場,433.81,434.89,423.13,426.34
2011-10-04,後場,426.61,431.21,424.63,429.55
2011-10-04,前場,431.85,432.61,424.02,426.73
2011-10-03,後場,437.67,441.81,433.71,441.39
2011-10-03,前場,447.36,449.11,437.94,439.42
2011-09-30,後場,458.89,459.86,453.36,457.48
2011-09-30,前場,459.01,462.71,458.48,459.11
2011-09-29,後場,450.21,457.97,450.13,457.97
2011-09-29,前場,452.24,453.97,448.59,449.48
2011-09-28,後場,456.02,461.75,452.03,461.75
2011-09-28,前場,453.97,458.34,453.42,457.15
2011-09-27,後場,450.92,453.06,447.65,453.06
2011-09-27,前場,451.58,455.61,449.12,449.63
2011-09-26,後場,447.13,447.57,440.73,442.26
2011-09-26,前場,465.34,465.34,446.42,448.47
2011-09-22,後場,467.96,467.96,462.10,464.15
2011-09-22,前場,476.38,476.97,466.51,469.63
2011-09-21,後場,476.56,479.93,476.54,478.95
2011-09-21,前場,479.19,479.61,476.33,476.74
2011-09-20,後場,481.42,482.65,475.29,476.85
2011-09-20,前場,485.32,486.02,480.92,481.57
2011-09-16,後場,487.47,493.15,486.95,493.03
2011-09-16,前場,481.74,487.92,480.17,486.09
2011-09-15,後場,475.27,477.94,474.13,477.00
2011-09-15,前場,470.26,478.55,469.68,475.98
2011-09-14,後場,463.03,463.03,458.22,460.98
2011-09-14,前場,464.72,469.46,464.31,465.78
2011-09-13,後場,460.18,464.83,459.86,462.46
2011-09-13,前場,460.33,462.37,456.23,459.97
2011-09-12,後場,455.67,455.72,452.22,453.12
2011-09-12,前場,457.67,458.59,453.85,454.61
2011-09-09,後場,470.52,471.01,466.21,467.95
2011-09-09,前場,470.84,472.48,467.69,470.26
2011-09-08,後場,473.19,473.94,469.14,473.60
2011-09-08,前場,471.37,476.56,471.02,473.63
2011-09-07,後場,462.39,466.02,460.29,464.06
2011-09-07,前場,462.60,463.64,460.17,461.70
2011-09-06,後場,457.21,458.32,452.61,454.24
2011-09-06,前場,459.28,459.97,455.04,456.58
2011-09-05,後場,466.91,466.94,460.54,462.15
2011-09-05,前場,473.23,474.81,466.15,466.23
