日付,始値,高値,安値,終値
2015-12-30,541.54,545.14,532.48,533.07
2015-12-29,534.73,537.20,524.88,536.00
2015-12-28,525.07,541.51,524.44,539.21
2015-12-25,534.74,537.76,524.56,526.33
2015-12-24,541.99,548.57,536.10,537.84
2015-12-22,524.03,533.79,521.12,531.07
2015-12-21,518.82,529.35,514.84,526.22
2015-12-18,529.12,544.32,520.96,522.15
2015-12-17,535.02,535.48,522.96,523.99
2015-12-16,520.13,529.11,519.23,524.40
2015-12-15,519.18,520.20,510.83,510.92
2015-12-14,522.01,522.40,511.21,521.00
2015-12-11,527.52,534.57,527.01,532.98
2015-12-10,527.28,532.28,526.07,526.10
2015-12-09,532.09,536.43,530.02,533.14
2015-12-08,554.28,557.02,539.11,540.56
2015-12-07,559.31,561.15,554.75,554.75
2015-12-04,553.17,556.28,549.37,552.53
2015-12-03,558.02,565.38,558.02,564.46
2015-12-02,570.42,570.42,560.00,562.82
2015-12-01,551.18,561.15,550.74,561.15
2015-11-30,548.06,548.06,538.35,546.86
2015-11-27,555.35,558.47,550.56,550.99
2015-11-26,548.70,552.01,547.15,551.35
2015-11-25,544.99,552.24,544.04,548.63
2015-11-24,550.59,555.54,542.10,546.47
2015-11-20,548.01,549.22,542.86,549.12
2015-11-19,544.28,555.68,543.50,548.48
2015-11-18,540.25,543.33,534.41,538.94
2015-11-17,529.75,541.45,529.16,539.76
2015-11-16,515.24,522.96,514.39,520.29
2015-11-13,524.00,527.67,519.56,525.84
2015-11-12,529.81,533.02,524.09,530.32
2015-11-11,535.65,538.42,530.38,532.65
2015-11-10,536.34,541.21,531.06,539.89
2015-11-09,532.66,540.97,530.82,540.30
2015-11-06,535.11,536.43,528.64,531.00
2015-11-05,522.92,534.38,522.42,531.02
2015-11-04,522.90,531.17,522.90,525.31
2015-11-02,527.31,527.40,510.11,513.35
2015-10-30,523.36,538.69,517.46,536.82
2015-10-29,536.53,538.15,526.69,531.69
2015-10-28,540.66,544.74,531.09,534.34
2015-10-27,558.15,558.15,540.86,541.47
2015-10-26,563.02,564.90,557.34,558.84
2015-10-23,559.44,562.15,552.94,555.47
2015-10-22,537.68,553.31,536.69,547.72
2015-10-21,512.93,545.70,512.41,543.79
2015-10-20,521.62,523.44,513.98,520.49
2015-10-19,530.31,530.31,515.59,520.28
2015-10-16,530.49,532.71,521.88,530.58
2015-10-15,513.41,528.52,512.78,523.45
2015-10-14,533.47,535.10,517.03,518.32
2015-10-13,541.40,547.01,532.11,542.62
2015-10-09,529.90,545.83,529.89,545.83
2015-10-08,516.65,531.87,514.91,519.51
2015-10-07,500.74,519.64,496.79,518.39
2015-10-06,496.62,506.96,495.71,500.64
2015-10-05,479.15,493.53,477.12,486.08
2015-10-02,468.78,478.84,464.05,476.58
2015-10-01,469.66,479.79,467.65,477.15
2015-09-30,462.48,470.06,460.60,463.64
2015-09-29,474.88,474.88,455.64,455.84
2015-09-28,488.83,491.86,480.64,485.51
2015-09-25,490.32,500.60,486.16,500.60
2015-09-24,503.23,503.99,488.97,491.49
2015-09-18,524.67,525.18,511.99,511.99
2015-09-17,527.85,536.34,525.04,533.08
2015-09-16,518.71,521.39,513.87,519.40
2015-09-15,523.35,529.41,514.19,514.25
2015-09-14,531.74,532.36,519.34,522.13
2015-09-11,532.59,533.84,525.68,527.73
2015-09-10,529.66,533.83,522.13,533.22
2015-09-09,536.70,542.66,528.13,542.66
2015-09-08,513.15,530.23,512.55,522.37
2015-09-07,504.23,516.05,500.17,511.94
2015-09-04,524.77,527.76,502.24,507.32
2015-09-03,515.82,525.71,512.87,513.43
2015-09-02,505.37,516.32,503.84,507.56
2015-09-01,529.72,529.79,518.50,518.50
2015-08-31,547.95,553.37,537.23,540.41
2015-08-28,534.15,559.86,534.09,554.70
2015-08-27,530.13,532.02,519.22,519.66
2015-08-26,516.84,526.05,506.44,522.74
2015-08-25,515.24,533.85,495.24,505.35
2015-08-24,554.13,558.32,529.93,529.93
2015-08-21,568.33,578.46,568.09,569.83
2015-08-20,593.31,593.76,581.53,582.30
2015-08-19,601.20,604.86,595.58,595.94
2015-08-18,605.35,610.21,604.44,604.80
2015-08-17,605.12,606.84,601.84,605.81
2015-08-14,608.61,608.67,597.57,601.86
2015-08-13,612.49,618.56,610.66,612.54
2015-08-12,631.26,632.26,611.57,613.09
2015-08-11,635.75,647.94,635.19,639.71
2015-08-10,626.39,626.39,617.69,626.20
2015-08-07,622.07,632.31,621.77,630.97
2015-08-06,624.56,627.71,617.95,623.08
2015-08-05,604.95,620.93,602.73,615.78
2015-08-04,608.59,617.19,606.95,610.62
2015-08-03,628.63,628.63,612.82,616.37
2015-07-31,635.44,636.08,623.70,631.88
2015-07-30,613.39,637.88,612.02,634.00
2015-07-29,612.17,616.34,606.16,606.16
2015-07-28,608.37,613.45,605.03,608.73
2015-07-27,613.23,618.10,610.42,615.09
2015-07-24,618.25,622.94,615.21,618.10
2015-07-23,630.20,630.67,616.52,622.62
2015-07-22,625.33,632.13,624.58,629.08
2015-07-21,640.32,640.46,627.00,631.20
2015-07-17,640.80,642.29,635.67,637.48
2015-07-16,638.62,639.41,630.47,638.08
2015-07-15,653.30,653.69,639.98,642.06
2015-07-14,643.17,652.85,641.30,646.86
2015-07-13,627.95,635.11,627.85,630.80
2015-07-10,622.50,628.83,618.99,621.61
2015-07-09,610.61,622.04,597.70,621.84
2015-07-08,651.71,652.05,625.32,625.32
2015-07-07,662.01,662.42,654.98,655.38
2015-07-06,656.99,659.28,653.56,654.49
2015-07-03,674.96,675.01,667.33,670.49
2015-07-02,681.45,682.84,674.88,675.84
2015-07-01,686.42,687.33,676.76,677.66
2015-06-30,685.91,685.91,679.20,683.79
2015-06-29,688.84,692.65,681.21,689.20
2015-06-26,716.55,716.55,703.26,704.27
2015-06-25,720.29,722.59,716.77,718.60
2015-06-24,721.44,727.47,721.44,721.68
2015-06-23,709.04,716.97,707.80,716.89
2015-06-22,699.20,704.21,697.33,701.73
2015-06-19,700.77,702.66,697.36,700.32
2015-06-18,700.81,701.03,694.30,694.31
2015-06-17,712.76,712.98,700.98,702.97
2015-06-16,724.52,725.37,710.65,713.22
2015-06-15,718.95,726.96,717.48,725.98
2015-06-12,729.99,732.13,724.83,727.37
2015-06-11,727.90,735.01,727.79,729.48
2015-06-10,725.97,733.78,720.86,722.03
2015-06-09,732.60,735.63,723.75,724.77
2015-06-08,748.26,751.45,740.51,740.79
2015-06-05,744.50,748.06,739.85,747.35
2015-06-04,757.54,757.54,747.69,752.46
2015-06-03,741.96,756.95,741.11,752.23
2015-06-02,750.62,750.74,741.18,745.65
2015-06-01,740.38,750.63,739.48,748.82
2015-05-29,735.93,748.38,735.93,745.84
2015-05-28,742.49,746.95,734.79,738.18
2015-05-27,738.70,744.82,730.51,739.65
2015-05-26,716.22,735.76,715.85,735.12
2015-05-25,711.68,716.58,709.32,714.12
2015-05-22,705.20,712.11,704.80,711.20
2015-05-21,701.97,708.75,701.36,703.69
2015-05-20,707.08,707.08,700.24,700.88
