日付,時刻,始値,高値,安値,終値
2013-12-30,後場,393.92,395.43,392.69,395.36
2013-12-30,前場,388.56,393.67,388.52,393.66
2013-12-27,後場,385.10,385.89,384.37,385.49
2013-12-27,前場,382.32,386.18,382.09,384.98
2013-12-26,後場,378.62,380.96,378.62,380.38
2013-12-26,前場,379.83,380.03,377.08,378.07
2013-12-25,後場,378.90,380.28,377.75,380.28
2013-12-25,前場,382.81,382.81,377.81,379.15
2013-12-24,後場,380.69,384.12,380.37,382.39
2013-12-24,前場,378.98,381.16,378.26,381.06
2013-12-20,後場,378.04,380.24,377.24,380.20
2013-12-20,前場,380.51,381.03,377.35,378.16
2013-12-19,後場,378.03,379.54,377.26,378.78
2013-12-19,前場,377.54,380.57,375.93,376.00
2013-12-18,後場,370.75,372.08,370.01,372.08
2013-12-18,前場,367.07,372.00,366.92,370.40
2013-12-17,後場,364.67,365.92,362.69,365.37
2013-12-17,前場,370.19,373.33,363.31,364.14
2013-12-16,後場,365.76,368.51,364.95,366.00
2013-12-16,前場,364.36,366.94,361.16,366.64
2013-12-13,後場,369.30,370.19,367.87,367.87
2013-12-13,前場,371.21,372.72,366.19,368.16
2013-12-12,後場,366.49,368.52,364.96,367.63
2013-12-12,前場,368.24,368.79,365.67,366.49
2013-12-11,後場,365.84,370.13,364.13,368.14
2013-12-11,前場,365.85,368.17,363.98,365.63
2013-12-10,後場,367.07,368.34,366.60,368.31
2013-12-10,前場,367.67,370.58,366.08,367.59
2013-12-09,後場,363.25,363.67,361.58,363.67
2013-12-09,前場,360.62,365.02,360.62,362.57
2013-12-06,後場,355.83,356.00,351.60,353.01
2013-12-06,前場,353.13,355.50,351.27,354.82
2013-12-05,後場,356.57,359.27,355.04,356.33
2013-12-05,前場,359.66,360.07,355.45,356.73
2013-12-04,後場,357.59,358.56,356.18,356.67
2013-12-04,前場,355.10,360.59,353.39,357.55
2013-12-03,後場,357.05,357.79,355.25,355.25
2013-12-03,前場,355.07,356.93,353.75,356.21
2013-12-02,後場,357.07,357.07,354.43,354.43
2013-12-02,前場,356.59,359.49,352.85,356.64
2013-11-29,後場,355.11,355.59,353.35,355.59
2013-11-29,前場,359.07,359.29,353.93,355.11
2013-11-28,後場,359.53,359.80,358.35,359.19
2013-11-28,前場,362.58,362.89,358.22,359.35
2013-11-27,後場,361.56,362.43,360.51,360.76
2013-11-27,前場,362.30,362.54,358.37,361.32
2013-11-26,後場,357.27,358.79,356.34,356.65
2013-11-26,前場,360.08,361.19,357.27,357.41
2013-11-25,後場,358.63,359.04,357.62,358.96
2013-11-25,前場,360.06,360.06,356.99,358.41
2013-11-22,後場,358.93,359.25,354.26,355.66
2013-11-22,前場,356.88,360.87,356.81,359.21
2013-11-21,後場,352.35,352.96,351.39,352.91
2013-11-21,前場,350.71,353.32,350.27,352.61
2013-11-20,後場,348.67,351.12,348.35,350.24
2013-11-20,前場,348.66,349.55,346.35,348.54
2013-11-19,後場,347.12,349.14,347.09,347.69
2013-11-19,前場,347.85,349.30,345.03,347.29
2013-11-18,後場,349.51,350.50,347.46,348.32
2013-11-18,前場,351.70,351.89,347.54,349.95
2013-11-15,後場,350.71,351.61,349.59,350.27
2013-11-15,前場,347.94,350.74,347.45,350.69
2013-11-14,後場,348.25,351.05,344.75,345.85
2013-11-14,前場,344.71,348.19,342.76,346.61
2013-11-13,後場,346.01,347.02,344.19,345.91
2013-11-13,前場,341.83,347.71,341.10,346.77
2013-11-12,後場,341.40,343.29,340.24,342.77
2013-11-12,前場,337.49,342.32,336.69,341.15
2013-11-11,後場,336.52,336.56,334.25,335.88
2013-11-11,前場,340.79,341.94,335.37,336.19
2013-11-08,後場,341.54,343.30,340.41,341.67
2013-11-08,前場,341.11,343.96,339.50,342.35
2013-11-07,後場,346.07,346.85,345.09,346.57
2013-11-07,前場,343.01,346.71,340.98,345.84
2013-11-06,後場,346.16,347.16,344.58,346.56
2013-11-06,前場,339.23,345.18,339.18,345.03
2013-11-05,後場,338.70,341.95,338.70,341.28
2013-11-05,前場,343.38,347.58,338.84,339.44
2013-11-01,後場,339.27,340.64,337.60,339.91
2013-11-01,前場,346.30,346.30,337.86,337.88
2013-10-31,後場,345.90,346.40,341.65,342.45
2013-10-31,前場,340.49,345.65,338.92,344.66
2013-10-30,後場,341.41,341.62,338.63,339.88
2013-10-30,前場,342.93,343.31,340.91,342.45
2013-10-29,後場,340.89,343.72,339.85,342.09
2013-10-29,前場,339.76,342.82,339.17,341.54
2013-10-28,後場,342.75,344.12,340.85,342.04
2013-10-28,前場,342.41,344.03,339.91,342.67
2013-10-25,後場,344.81,345.07,340.43,340.43
2013-10-25,前場,347.24,347.24,340.87,345.18
2013-10-24,後場,344.34,347.67,343.78,346.75
2013-10-24,前場,344.81,345.32,341.21,344.66
2013-10-23,後場,346.66,346.68,344.78,345.41
2013-10-23,前場,348.79,349.83,346.91,347.53
2013-10-22,後場,347.21,347.69,346.10,347.02
2013-10-22,前場,350.69,350.69,347.49,347.49
2013-10-21,後場,347.39,348.23,346.61,347.68
2013-10-21,前場,351.52,351.80,346.78,347.08
2013-10-18,後場,349.16,349.92,347.86,348.24
2013-10-18,前場,348.88,350.44,347.78,348.92
2013-10-17,後場,345.47,347.85,345.03,347.47
2013-10-17,前場,351.47,352.04,344.20,345.25
2013-10-16,後場,347.86,348.09,346.21,347.34
2013-10-16,前場,351.13,351.26,346.34,346.81
2013-10-15,後場,351.05,351.12,347.48,349.84
2013-10-15,前場,352.80,353.27,349.51,350.83
2013-10-11,後場,351.00,352.20,347.28,349.56
2013-10-11,前場,348.98,350.90,343.91,349.90
2013-10-10,後場,344.29,347.69,342.84,345.07
2013-10-10,前場,342.59,345.04,339.39,344.64
2013-10-09,後場,339.28,342.31,339.27,341.38
2013-10-09,前場,331.86,339.70,331.81,339.49
2013-10-08,後場,331.38,333.03,329.89,331.19
2013-10-08,前場,329.61,330.90,326.93,330.90
2013-10-07,後場,334.85,335.97,333.82,334.58
2013-10-07,前場,343.13,346.12,335.93,336.92
2013-10-04,後場,342.87,345.17,342.46,342.46
2013-10-04,前場,345.65,348.81,342.00,343.97
2013-10-03,後場,349.37,349.63,345.94,345.94
2013-10-03,前場,350.65,353.15,346.47,348.71
2013-10-02,後場,353.66,354.06,348.37,350.15
2013-10-02,前場,354.14,359.17,351.17,352.34
2013-10-01,後場,352.31,353.62,350.92,351.45
2013-10-01,前場,349.15,353.32,347.58,353.23
2013-09-30,後場,350.97,353.78,350.51,352.04
2013-09-30,前場,350.51,351.84,345.83,349.62
2013-09-27,後場,350.77,354.32,350.77,353.33
2013-09-27,前場,351.35,352.25,348.62,350.82
2013-09-26,後場,351.21,351.95,346.79,351.95
2013-09-26,前場,350.97,352.89,344.33,350.34
2013-09-25,後場,350.60,352.58,349.81,351.49
2013-09-25,前場,352.79,355.70,349.94,350.27
2013-09-24,後場,346.84,351.33,346.84,350.57
2013-09-24,前場,351.01,351.22,346.11,346.45
2013-09-20,後場,353.65,355.19,352.25,354.49
2013-09-20,前場,353.74,354.84,351.94,353.24
2013-09-19,後場,354.50,354.50,351.95,353.86
2013-09-19,前場,356.40,356.40,352.51,353.62
2013-09-18,後場,353.79,354.33,351.30,352.10
2013-09-18,前場,351.34,355.62,351.09,354.12
2013-09-17,後場,350.42,350.72,347.47,349.05
2013-09-17,前場,350.88,351.11,348.36,350.51
