日付,始値,高値,安値,終値
2012-12-28,326.97,327.79,323.54,327.43
2012-12-27,327.11,327.41,324.99,325.69
2012-12-26,323.71,324.45,321.96,323.32
2012-12-25,330.44,330.44,323.17,324.45
2012-12-21,330.34,331.74,325.49,329.68
2012-12-20,333.65,333.96,325.37,325.71
2012-12-19,326.11,335.11,326.02,332.62
2012-12-18,321.93,327.17,321.91,324.34
2012-12-17,325.83,325.89,321.27,322.28
2012-12-14,318.85,323.02,318.10,321.63
2012-12-13,317.97,319.41,316.65,317.37
2012-12-12,316.93,317.26,314.91,315.54
2012-12-11,314.91,316.49,313.95,315.24
2012-12-10,317.78,317.80,313.41,313.75
2012-12-07,316.53,317.67,314.48,314.83
2012-12-06,322.67,322.98,317.08,318.13
2012-12-05,317.40,318.87,315.47,317.77
2012-12-04,317.50,318.50,314.39,316.88
2012-12-03,317.56,318.08,314.92,315.31
2012-11-30,324.65,324.65,314.51,315.07
2012-11-29,320.84,322.46,320.42,321.38
2012-11-28,319.34,321.66,317.82,318.70
2012-11-27,322.45,325.08,319.98,321.23
2012-11-26,324.93,327.25,322.52,323.44
2012-11-22,326.94,327.24,322.47,323.77
2012-11-21,324.82,326.06,321.38,324.53
2012-11-20,327.30,327.33,323.62,324.35
2012-11-19,322.21,325.96,322.11,322.42
2012-11-16,314.11,318.73,313.87,317.38
2012-11-15,308.55,313.55,308.00,313.46
2012-11-14,308.90,310.10,307.46,309.17
2012-11-13,308.56,311.10,306.89,310.48
2012-11-12,310.52,311.34,305.87,306.48
2012-11-09,312.16,312.35,309.85,310.19
2012-11-08,319.36,319.43,314.33,315.40
2012-11-07,320.97,326.26,320.54,324.23
2012-11-06,311.81,316.30,311.44,316.20
2012-11-05,312.57,313.24,309.90,310.25
2012-11-02,318.07,319.04,312.28,313.00
2012-11-01,318.51,321.16,314.96,315.99
2012-10-31,319.75,323.76,319.33,323.12
2012-10-30,323.52,326.41,317.75,317.75
2012-10-29,328.46,330.03,324.20,324.59
2012-10-26,335.52,336.52,328.95,329.02
2012-10-25,335.70,338.60,335.65,337.19
2012-10-24,337.15,338.84,334.47,334.85
2012-10-23,347.32,347.32,340.42,341.64
2012-10-22,341.78,348.54,340.07,346.59
2012-10-19,343.99,348.36,342.55,346.72
2012-10-18,348.01,350.76,347.43,348.48
2012-10-17,343.30,348.15,341.97,346.65
2012-10-16,342.99,343.15,337.25,340.52
2012-10-15,333.59,342.13,333.27,340.78
2012-10-12,332.96,336.51,331.66,331.96
2012-10-11,330.14,335.05,328.70,331.13
2012-10-10,331.43,336.02,330.48,334.53
2012-10-09,333.30,339.51,333.30,335.15
2012-10-05,337.54,339.80,335.37,338.17
2012-10-04,335.77,337.42,330.47,333.14
2012-10-03,335.11,342.34,333.48,337.76
2012-10-02,334.28,336.88,333.80,335.75
2012-10-01,329.11,333.62,328.41,333.37
2012-09-28,335.71,337.48,329.42,330.42
2012-09-27,332.62,334.47,330.27,334.03
2012-09-26,335.38,337.60,332.07,334.19
2012-09-25,339.73,343.60,337.69,343.60
2012-09-24,341.88,344.06,338.98,339.39
2012-09-21,340.10,347.04,340.06,345.50
2012-09-20,346.43,346.47,338.57,339.30
2012-09-19,350.20,355.13,347.46,351.13
2012-09-18,346.65,356.28,346.65,353.13
2012-09-14,329.96,344.45,329.96,343.74
2012-09-13,324.77,327.20,321.44,324.92
2012-09-12,317.22,323.91,317.22,323.06
2012-09-11,316.60,317.55,313.41,315.90
2012-09-10,318.84,320.33,316.26,318.24
2012-09-07,310.95,318.25,310.85,318.24
2012-09-06,308.56,309.87,304.88,305.98
2012-09-05,309.14,309.59,303.64,304.40
2012-09-04,313.47,314.77,308.49,311.30
2012-09-03,313.69,314.01,308.39,308.80
2012-08-31,318.97,318.98,313.94,316.28
2012-08-30,325.42,325.76,321.45,323.87
2012-08-29,323.68,326.20,322.56,323.91
2012-08-28,331.06,331.37,321.60,323.60
2012-08-27,332.05,336.63,331.37,331.37
2012-08-24,331.58,333.40,328.73,332.03
2012-08-23,337.63,338.98,335.90,336.59
2012-08-22,340.91,341.66,337.32,338.73
2012-08-21,338.30,341.90,338.11,339.74
2012-08-20,345.33,345.74,338.12,338.36
2012-08-17,340.60,345.64,337.13,345.55
2012-08-16,338.07,342.32,337.51,340.87
2012-08-15,333.80,335.26,331.23,334.91
2012-08-14,332.71,335.05,331.88,334.23
2012-08-13,334.15,334.96,328.33,330.99
2012-08-10,332.44,335.53,331.24,332.97
2012-08-09,327.34,332.62,325.74,332.21
2012-08-08,328.22,331.70,325.54,327.75
2012-08-07,315.53,324.37,315.53,323.48
2012-08-06,309.36,320.30,309.36,316.49
2012-08-03,301.71,305.42,301.26,304.56
2012-08-02,306.07,307.88,303.27,304.21
2012-08-01,307.72,309.56,304.86,308.16
2012-07-31,304.34,313.55,304.05,312.64
2012-07-30,311.53,312.35,305.48,307.65
