日付,時刻,始値,高値,安値,終値
2017-12-12,後場,201.86,202.41,201.20,202.04
2017-12-12,前場,198.68,202.09,198.63,201.91
2017-12-11,後場,197.19,198.02,197.03,198.02
2017-12-11,前場,195.51,197.29,195.51,197.19
2017-12-08,後場,193.91,194.76,193.63,194.66
2017-12-08,前場,191.57,194.47,191.57,194.00
2017-12-07,後場,194.01,194.15,192.88,193.23
2017-12-07,前場,194.46,194.80,193.88,194.26
2017-12-06,後場,194.77,194.77,192.73,193.71
2017-12-06,前場,196.12,196.18,195.12,195.31
2017-12-05,後場,196.44,197.27,196.43,197.02
2017-12-05,前場,195.50,196.66,194.96,196.20
2017-12-04,後場,196.03,196.14,195.28,195.46
2017-12-04,前場,197.16,197.21,195.88,196.05
2017-12-01,後場,195.52,196.19,195.23,195.83
2017-12-01,前場,197.21,197.56,194.77,195.20
2017-11-30,後場,195.83,196.29,194.80,194.80
2017-11-30,前場,194.59,196.52,194.51,195.84
2017-11-29,後場,191.93,192.49,191.61,192.12
2017-11-29,前場,190.67,192.31,190.62,192.15
2017-11-28,後場,188.65,188.65,187.67,188.01
2017-11-28,前場,188.97,189.38,188.13,188.92
2017-11-27,後場,189.56,189.56,188.73,188.99
2017-11-27,前場,189.98,190.06,189.05,189.62
2017-11-24,後場,189.00,189.60,188.81,189.24
2017-11-24,前場,188.49,188.99,187.46,188.99
2017-11-22,後場,188.74,189.77,188.66,189.07
2017-11-22,前場,187.68,189.01,187.61,188.72
2017-11-21,後場,187.35,188.18,187.25,187.25
2017-11-21,前場,186.41,187.88,186.40,187.44
2017-11-20,後場,185.21,185.98,185.11,185.64
2017-11-20,前場,186.06,186.67,184.98,185.25
2017-11-17,後場,187.16,187.16,186.19,186.93
2017-11-17,前場,187.99,188.37,186.54,186.60
2017-11-16,後場,186.49,188.06,186.16,186.68
2017-11-16,前場,186.05,186.84,185.46,186.67
2017-11-15,後場,186.66,186.97,185.09,186.25
2017-11-15,前場,188.52,188.52,186.21,186.42
2017-11-14,後場,189.76,189.99,188.64,189.19
2017-11-14,前場,190.37,190.46,189.10,189.54
2017-11-13,後場,190.88,191.15,190.38,190.51
2017-11-13,前場,191.91,191.91,190.41,190.80
2017-11-10,後場,192.29,192.61,191.91,191.97
2017-11-10,前場,192.68,193.24,191.67,191.72
2017-11-09,後場,195.89,196.66,192.60,194.20
2017-11-09,前場,194.72,196.95,194.11,196.93
2017-11-08,後場,193.56,194.44,193.42,194.44
2017-11-08,前場,194.06,194.85,193.36,193.51
2017-11-07,後場,195.73,196.41,195.50,196.13
2017-11-07,前場,193.36,196.30,192.87,195.65
2017-11-06,後場,194.78,195.08,193.02,194.76
2017-11-06,前場,198.10,198.10,194.88,194.99
2017-11-02,後場,197.84,198.32,197.77,198.00
2017-11-02,前場,198.05,198.30,196.39,197.67
2017-11-01,後場,197.20,197.40,196.27,196.66
2017-11-01,前場,197.27,197.71,196.03,197.10
2017-10-31,後場,196.42,196.42,195.61,195.80
2017-10-31,前場,196.85,196.85,195.59,196.19
2017-10-30,後場,199.04,199.26,198.35,199.06
2017-10-30,前場,199.52,199.79,197.45,198.88
2017-10-27,後場,200.29,200.56,199.61,199.91
2017-10-27,前場,196.99,200.76,196.70,199.90
2017-10-26,後場,194.83,195.66,194.82,195.42
2017-10-26,前場,194.90,195.73,194.66,194.90
2017-10-25,後場,196.77,196.93,194.41,195.04
2017-10-25,前場,194.46,196.90,194.29,196.72
2017-10-24,後場,192.58,192.69,192.02,192.69
2017-10-24,前場,190.70,192.57,190.33,192.57
2017-10-23,後場,190.61,190.95,190.31,190.60
2017-10-23,前場,191.29,191.49,190.30,190.67
2017-10-20,後場,189.12,189.21,188.62,188.62
2017-10-20,前場,188.65,189.57,188.16,189.15
2017-10-19,後場,190.51,190.62,189.67,190.03
2017-10-19,前場,190.80,191.04,190.12,190.63
2017-10-18,後場,189.47,189.55,189.02,189.20
2017-10-18,前場,190.02,190.03,188.70,189.47
2017-10-17,後場,189.73,190.19,189.34,189.87
2017-10-17,前場,191.38,192.06,189.39,189.67
2017-10-16,後場,190.05,190.91,189.85,190.06
2017-10-16,前場,186.82,190.15,186.41,190.15
2017-10-13,後場,185.22,187.11,185.05,186.77
2017-10-13,前場,185.75,186.05,184.78,184.91
2017-10-12,後場,186.99,187.13,186.28,186.36
2017-10-12,前場,188.26,188.27,186.63,186.95
2017-10-11,後場,187.93,187.98,187.58,187.88
2017-10-11,前場,187.77,188.41,187.39,187.94
2017-10-10,後場,186.99,187.76,186.72,187.76
2017-10-10,前場,187.35,187.37,186.35,186.93
2017-10-06,後場,187.99,188.61,187.93,188.28
2017-10-06,前場,186.78,188.21,186.75,188.04
2017-10-05,後場,185.68,185.92,185.32,185.69
