日付,始値,高値,安値,終値
2012-12-28,130.00,131.04,128.10,131.01
2012-12-27,129.76,131.07,129.04,129.04
2012-12-26,128.29,128.94,127.73,128.77
2012-12-25,128.63,129.16,127.15,127.37
2012-12-21,128.56,129.50,124.39,126.64
2012-12-20,125.81,128.48,125.40,126.70
2012-12-19,122.84,125.98,122.84,125.78
2012-12-18,118.41,121.85,118.18,120.85
2012-12-17,118.57,118.83,117.66,117.88
2012-12-14,115.77,117.13,115.52,116.71
2012-12-13,116.34,117.62,116.06,116.18
2012-12-12,115.29,115.47,114.54,114.94
2012-12-11,114.63,114.82,113.92,114.45
2012-12-10,115.78,116.04,114.49,114.79
2012-12-07,114.79,115.96,114.70,115.58
2012-12-06,114.57,114.98,114.46,114.59
2012-12-05,113.03,114.35,112.75,113.56
2012-12-04,113.79,114.32,113.09,113.85
2012-12-03,114.64,114.97,113.96,114.31
2012-11-30,114.07,115.31,113.20,113.95
2012-11-29,113.74,114.35,113.37,113.41
2012-11-28,113.92,114.15,112.63,112.69
2012-11-27,113.42,114.95,113.36,114.24
2012-11-26,114.15,115.24,113.23,113.23
2012-11-22,113.01,113.43,112.24,113.06
2012-11-21,112.29,112.80,111.46,111.97
2012-11-20,112.47,112.56,111.09,111.43
2012-11-19,111.97,112.72,111.39,111.53
2012-11-16,108.88,111.45,108.85,110.35
2012-11-15,105.46,107.94,105.41,107.62
2012-11-14,105.20,105.55,104.93,104.96
2012-11-13,105.43,105.77,104.70,105.59
2012-11-12,105.81,106.13,105.47,105.47
2012-11-09,105.77,106.42,105.60,106.14
2012-11-08,106.61,106.88,106.32,106.51
2012-11-07,108.52,108.52,107.32,107.57
2012-11-06,107.91,107.91,107.31,107.62
2012-11-05,108.28,108.97,107.99,108.30
2012-11-02,108.86,109.32,108.47,109.05
2012-11-01,108.11,108.41,107.20,107.89
2012-10-31,107.72,108.81,107.44,108.15
2012-10-30,107.95,108.50,107.03,107.03
2012-10-29,107.84,108.56,107.57,107.80
2012-10-26,108.89,109.19,107.07,107.53
2012-10-25,108.01,109.15,107.78,108.99
2012-10-24,107.73,109.45,107.73,108.15
2012-10-23,110.61,110.62,108.24,109.16
2012-10-22,108.36,110.16,108.20,110.03
2012-10-19,109.14,110.46,108.90,109.83
2012-10-18,108.63,110.40,108.45,109.55
2012-10-17,107.79,108.27,107.18,107.43
2012-10-16,106.29,107.28,106.10,106.61
2012-10-15,105.05,105.82,104.37,105.22
2012-10-12,104.91,105.62,104.64,105.00
2012-10-11,104.13,105.70,104.08,104.69
2012-10-10,105.01,105.70,104.71,105.16
2012-10-09,108.06,108.23,106.21,106.45
2012-10-05,108.88,108.90,107.30,108.40
2012-10-04,106.95,109.22,106.95,108.31
2012-10-03,106.67,107.06,106.23,106.49
2012-10-02,107.89,108.11,106.84,106.95
2012-10-01,107.53,107.71,106.58,107.55
2012-09-28,110.16,110.28,107.67,108.32
2012-09-27,108.65,110.60,108.54,109.72
2012-09-26,109.25,110.21,109.13,109.40
2012-09-25,110.77,112.25,110.71,112.25
2012-09-24,111.02,111.75,110.41,111.14
2012-09-21,110.93,111.87,110.74,110.89
2012-09-20,111.97,113.05,110.57,110.96
2012-09-19,112.60,114.41,111.75,112.66
2012-09-18,111.91,113.17,111.43,112.47
2012-09-14,110.34,112.50,110.05,111.90
2012-09-13,108.73,109.20,108.06,108.79
2012-09-12,107.48,108.98,107.39,108.77
2012-09-11,107.09,107.26,106.23,107.26
2012-09-10,107.56,108.44,106.85,108.10
2012-09-07,107.19,107.67,106.21,107.46
2012-09-06,104.24,105.30,103.76,105.09
2012-09-05,105.17,105.33,104.05,104.15
2012-09-04,106.14,106.41,104.72,105.64
2012-09-03,106.01,107.68,105.91,106.05
2012-08-31,106.95,107.60,105.92,105.92
2012-08-30,108.15,108.59,107.53,107.98
2012-08-29,107.55,108.71,107.29,108.33
2012-08-28,108.83,109.28,107.17,107.48
2012-08-27,109.87,110.15,108.82,108.82
2012-08-24,109.52,109.78,108.84,109.10
2012-08-23,109.94,110.92,109.64,110.72
