日付,時刻,始値,高値,安値,終値
2017-12-12,後場,2270.80,2270.93,2263.82,2268.14
2017-12-12,前場,2269.13,2275.80,2262.06,2272.08
2017-12-11,後場,2257.20,2269.32,2257.20,2269.32
2017-12-11,前場,2270.92,2277.42,2250.45,2255.55
2017-12-08,後場,2269.75,2274.00,2266.23,2274.00
2017-12-08,前場,2223.01,2274.64,2223.01,2273.14
2017-12-07,後場,2238.88,2241.27,2233.17,2239.94
2017-12-07,前場,2220.73,2244.11,2218.87,2243.12
2017-12-06,後場,2204.11,2210.31,2199.71,2205.55
2017-12-06,前場,2219.36,2224.37,2209.26,2215.92
2017-12-05,後場,2211.94,2229.06,2211.94,2225.21
2017-12-05,前場,2191.37,2207.50,2191.28,2207.11
2017-12-04,後場,2201.51,2201.57,2189.02,2190.04
2017-12-04,前場,2211.28,2213.61,2199.55,2202.28
2017-12-01,後場,2197.78,2208.55,2194.56,2204.18
2017-12-01,前場,2212.49,2212.50,2190.68,2191.99
2017-11-30,後場,2174.17,2208.20,2174.17,2205.23
2017-11-30,前場,2162.09,2178.55,2158.15,2171.93
2017-11-29,後場,2139.22,2154.29,2139.22,2154.29
2017-11-29,前場,2134.43,2140.92,2130.47,2140.92
2017-11-28,後場,2125.47,2126.12,2117.33,2123.23
2017-11-28,前場,2125.56,2135.04,2120.35,2130.25
2017-11-27,後場,2128.40,2130.68,2123.79,2127.03
2017-11-27,前場,2125.85,2137.59,2124.72,2129.72
2017-11-24,後場,2117.61,2123.64,2113.07,2118.42
2017-11-24,前場,2107.73,2115.83,2106.52,2115.60
2017-11-22,後場,2121.48,2122.40,2110.72,2111.16
2017-11-22,前場,2125.45,2129.64,2115.13,2122.02
2017-11-21,後場,2123.04,2129.71,2117.75,2117.75
2017-11-21,前場,2130.12,2131.30,2120.45,2122.80
2017-11-20,後場,2113.45,2121.45,2112.71,2116.26
2017-11-20,前場,2110.76,2120.72,2106.21,2112.88
2017-11-17,後場,2127.96,2129.80,2114.02,2118.49
2017-11-17,前場,2143.31,2146.29,2122.06,2122.35
2017-11-16,後場,2112.59,2136.04,2110.55,2127.11
2017-11-16,前場,2100.73,2115.56,2100.73,2115.56
2017-11-15,後場,2122.00,2126.30,2107.13,2111.33
2017-11-15,前場,2139.41,2140.11,2119.67,2120.54
2017-11-14,後場,2156.71,2158.68,2145.65,2147.66
2017-11-14,前場,2156.75,2166.07,2145.40,2154.27
2017-11-13,後場,2173.05,2174.70,2161.24,2161.24
2017-11-13,前場,2188.99,2188.99,2172.16,2173.60
2017-11-10,後場,2200.69,2205.25,2196.50,2199.13
2017-11-10,前場,2206.23,2217.48,2192.81,2196.75
2017-11-09,後場,2253.87,2261.39,2209.58,2229.67
2017-11-09,前場,2243.22,2261.92,2242.13,2261.40
2017-11-08,後場,2224.59,2240.76,2224.20,2240.76
2017-11-08,前場,2226.61,2235.41,2221.98,2224.26
2017-11-07,後場,2210.51,2224.00,2208.30,2224.00
2017-11-07,前場,2201.28,2217.02,2193.30,2209.83
2017-11-06,後場,2205.42,2208.39,2194.61,2207.14
2017-11-06,前場,2200.80,2210.53,2200.80,2205.08
2017-11-02,後場,2196.63,2209.28,2196.63,2206.54
2017-11-02,前場,2202.36,2202.50,2185.64,2193.78
2017-11-01,後場,2197.35,2204.46,2190.30,2201.23
2017-11-01,前場,2189.22,2203.59,2186.86,2197.70
2017-10-31,後場,2182.18,2187.78,2177.59,2184.32
2017-10-31,前場,2168.39,2180.08,2162.42,2177.00
2017-10-30,後場,2187.27,2187.81,2176.37,2179.41
2017-10-30,前場,2187.84,2187.96,2179.99,2185.37
2017-10-27,後場,2179.57,2184.75,2177.54,2183.67
2017-10-27,前場,2179.43,2180.47,2170.21,2176.42
2017-10-26,後場,2175.12,2176.88,2167.73,2170.61
2017-10-26,前場,2174.18,2179.57,2168.91,2176.49
2017-10-25,後場,2185.38,2186.25,2174.19,2178.80
2017-10-25,前場,2197.73,2197.92,2178.93,2181.91
2017-10-24,後場,2191.65,2199.09,2191.02,2198.41
2017-10-24,前場,2184.39,2198.20,2183.25,2192.42
2017-10-23,後場,2187.96,2191.28,2186.30,2186.59
2017-10-23,前場,2197.64,2199.90,2182.39,2187.55
2017-10-20,後場,2183.43,2184.95,2180.74,2183.65
2017-10-20,前場,2179.45,2186.85,2177.79,2183.21
2017-10-19,後場,2189.64,2193.14,2186.10,2190.71
2017-10-19,前場,2184.41,2193.24,2181.15,2191.41
2017-10-18,後場,2175.09,2184.32,2175.09,2181.20
2017-10-18,前場,2166.68,2176.97,2164.73,2176.10
2017-10-17,後場,2157.05,2162.95,2156.93,2162.95
2017-10-17,前場,2166.58,2168.78,2147.20,2158.67
2017-10-16,後場,2166.56,2171.66,2159.13,2159.13
2017-10-16,前場,2141.54,2168.02,2140.07,2168.02
2017-10-13,後場,2128.81,2145.67,2128.67,2138.54
2017-10-13,前場,2115.97,2128.45,2115.91,2124.96
2017-10-12,後場,2121.17,2122.26,2115.61,2118.00
2017-10-12,前場,2104.18,2122.65,2102.86,2122.25
2017-10-11,後場,2087.62,2098.26,2087.04,2098.26
2017-10-11,前場,2082.39,2089.79,2079.95,2087.84
2017-10-10,後場,2076.38,2082.02,2073.69,2082.02
2017-10-10,前場,2071.28,2079.15,2070.45,2074.56
2017-10-06,後場,2073.72,2075.87,2070.71,2075.37
2017-10-06,前場,2082.49,2083.70,2073.45,2075.07
2017-10-05,後場,2076.26,2077.63,2072.11,2074.88
2017-10-05,前場,2082.76,2086.61,2074.63,2076.09
2017-10-04,後場,2092.27,2094.25,2085.14,2090.11
2017-10-04,前場,2090.02,2095.44,2087.61,2094.17
2017-10-03,後場,2093.85,2094.23,2086.68,2092.34
2017-10-03,前場,2093.93,2100.20,2091.39,2092.25
2017-10-02,後場,2082.89,2084.02,2073.35,2076.95
2017-10-02,前場,2091.45,2091.58,2080.41,2081.13
2017-09-29,後場,2089.44,2090.85,2084.67,2090.54
2017-09-29,前場,2098.27,2100.39,2087.63,2090.25
2017-09-28,後場,2097.69,2107.97,2095.84,2107.97
2017-09-28,前場,2102.05,2102.05,2090.83,2098.33
2017-09-27,後場,2090.56,2096.68,2084.39,2096.68
2017-09-27,前場,2110.25,2110.92,2086.12,2089.49
2017-09-26,後場,2119.79,2123.10,2117.20,2122.80
2017-09-26,前場,2110.28,2122.99,2108.70,2118.60
2017-09-25,後場,2099.07,2105.50,2098.01,2103.56
2017-09-25,前場,2099.67,2101.71,2092.53,2101.18
2017-09-22,後場,2094.60,2094.77,2090.23,2093.71
2017-09-22,前場,2088.70,2099.89,2087.99,2094.08
2017-09-21,後場,2095.21,2095.21,2085.62,2085.86
2017-09-21,前場,2082.71,2096.22,2081.43,2096.22
2017-09-20,後場,2076.71,2076.71,2069.30,2072.63
2017-09-20,前場,2073.55,2075.75,2070.59,2072.33
