日付,始値,高値,安値,終値
2009-12-30,1077.80,1078.04,1055.92,1055.92
2009-12-29,1068.62,1077.17,1063.43,1076.26
2009-12-28,1066.58,1075.60,1066.26,1069.26
2009-12-25,1069.24,1071.86,1063.90,1064.11
2009-12-24,1071.04,1071.04,1063.23,1066.08
2009-12-22,1072.74,1075.67,1068.42,1071.76
2009-12-21,1085.83,1085.83,1069.69,1069.69
2009-12-18,1084.29,1084.56,1075.60,1083.61
2009-12-17,1096.27,1097.57,1083.38,1083.38
2009-12-16,1073.57,1103.17,1073.57,1093.20
2009-12-15,1075.00,1077.75,1065.82,1068.01
2009-12-14,1093.67,1093.81,1067.66,1075.72
2009-12-11,1084.76,1090.79,1074.34,1090.53
2009-12-10,1093.98,1095.69,1076.07,1080.41
2009-12-09,1097.60,1101.19,1089.09,1089.09
2009-12-08,1097.23,1107.80,1094.14,1097.37
2009-12-07,1100.72,1105.88,1095.00,1096.19
2009-12-04,1100.90,1104.88,1083.72,1092.72
2009-12-03,1072.10,1103.45,1070.97,1103.45
2009-12-02,1067.97,1073.55,1058.45,1068.81
2009-12-01,1058.30,1074.07,1051.69,1074.07
2009-11-30,1034.11,1067.67,1032.26,1067.67
2009-11-27,1025.27,1035.90,1024.16,1026.67
2009-11-26,1034.10,1036.68,1029.39,1030.00
2009-11-25,1033.31,1039.90,1029.62,1037.72
2009-11-24,1032.91,1032.91,1024.79,1027.61
2009-11-20,1022.87,1035.43,1021.77,1035.43
2009-11-19,1047.87,1048.07,1028.14,1031.14
2009-11-18,1041.05,1050.15,1039.91,1047.58
2009-11-17,1032.00,1039.13,1022.86,1039.13
2009-11-16,1023.94,1032.82,1021.98,1029.44
2009-11-13,1020.35,1031.63,1018.76,1028.95
2009-11-12,1031.28,1032.76,1017.57,1019.98
2009-11-11,1028.97,1033.09,1023.16,1025.67
2009-11-10,1036.77,1038.03,1026.57,1026.57
2009-11-09,1043.41,1044.06,1026.84,1028.70
2009-11-06,1066.16,1066.16,1041.06,1042.35
2009-11-05,1067.82,1068.20,1058.86,1061.71
2009-11-04,1054.50,1065.99,1050.65,1065.33
2009-11-02,1058.34,1059.67,1046.69,1057.53
2009-10-30,1078.23,1083.39,1063.35,1069.51
2009-10-29,1071.39,1078.05,1065.55,1066.36
2009-10-28,1086.38,1089.32,1079.08,1081.49
2009-10-27,1103.59,1107.09,1088.01,1089.90
2009-10-26,1090.28,1112.73,1088.61,1106.12
2009-10-23,1090.66,1095.94,1081.34,1081.34
2009-10-22,1102.54,1102.54,1080.26,1090.07
2009-10-21,1099.67,1111.38,1098.99,1106.86
2009-10-20,1091.74,1104.17,1089.04,1103.28
2009-10-19,1081.93,1087.60,1077.56,1085.92
2009-10-16,1086.03,1086.03,1078.07,1083.63
2009-10-15,1092.08,1093.77,1083.28,1088.39
2009-10-14,1084.23,1101.29,1083.16,1089.52
2009-10-13,1090.80,1090.80,1077.07,1077.07
2009-10-09,1091.58,1091.58,1080.61,1088.15
2009-10-08,1092.26,1102.52,1088.60,1091.32
2009-10-07,1096.64,1096.64,1085.73,1088.55
2009-10-06,1112.41,1112.41,1091.05,1100.13
2009-10-05,1123.73,1127.14,1111.09,1114.92
2009-10-02,1135.36,1135.36,1120.67,1123.81
2009-10-01,1147.66,1159.09,1143.12,1146.18
2009-09-30,1125.57,1152.85,1125.05,1152.85
2009-09-29,1139.21,1139.21,1120.28,1121.94
2009-09-28,1138.70,1147.11,1134.54,1142.36
2009-09-25,1162.41,1162.86,1139.55,1149.82
2009-09-24,1176.61,1181.48,1163.70,1176.80
2009-09-18,1150.11,1169.03,1149.73,1169.03
2009-09-17,1155.79,1161.07,1142.17,1149.53
2009-09-16,1163.14,1165.81,1145.83,1146.89
2009-09-15,1159.04,1162.77,1155.31,1161.11
2009-09-14,1164.00,1165.81,1147.84,1158.24
2009-09-11,1180.61,1180.61,1159.69,1164.58
2009-09-10,1158.45,1182.42,1158.45,1182.42
