日付,時刻,始値,高値,安値,終値
2008-12-30,後場,840.92,840.92,840.92,840.92
2008-12-30,前場,834.24,843.18,833.00,840.92
2008-12-29,後場,824.92,839.03,824.27,838.29
2008-12-29,前場,826.95,828.77,824.45,825.33
2008-12-26,後場,823.36,825.47,818.52,825.47
2008-12-26,前場,828.79,830.41,822.35,823.43
2008-12-25,後場,831.34,831.42,825.02,829.78
2008-12-25,前場,833.59,835.56,830.73,831.22
2008-12-24,後場,829.54,834.52,829.54,833.43
2008-12-24,前場,832.49,834.81,829.37,829.96
2008-12-22,後場,828.99,832.43,828.36,831.97
2008-12-22,前場,826.93,833.77,825.76,831.72
2008-12-19,後場,824.23,829.44,820.95,822.25
2008-12-19,前場,828.91,832.09,822.56,824.66
2008-12-18,後場,832.13,833.58,818.42,822.17
2008-12-18,前場,836.48,839.17,830.69,832.71
2008-12-17,後場,819.87,836.02,811.48,836.02
2008-12-17,前場,824.09,830.11,818.04,819.69
2008-12-16,後場,827.81,829.31,812.69,813.41
2008-12-16,前場,826.60,831.75,819.88,828.98
2008-12-15,後場,839.27,841.80,831.86,833.31
2008-12-15,前場,840.90,848.21,838.32,838.90
2008-12-12,後場,829.38,837.48,817.97,833.45
2008-12-12,前場,827.31,832.87,822.32,832.34
2008-12-11,後場,829.75,836.17,828.06,836.17
2008-12-11,前場,832.33,833.29,821.79,829.55
2008-12-10,後場,844.87,846.40,833.77,836.31
2008-12-10,前場,845.92,852.99,843.34,844.50
2008-12-09,後場,845.16,856.75,842.60,848.82
2008-12-09,前場,852.55,853.37,844.93,846.16
2008-12-08,後場,855.79,859.44,852.50,853.65
2008-12-08,前場,850.83,856.64,850.50,855.31
2008-12-05,後場,847.20,853.26,844.04,844.59
2008-12-05,前場,851.43,852.43,841.21,847.37
2008-12-04,後場,849.55,850.76,843.68,850.57
2008-12-04,前場,844.00,852.18,843.49,850.75
2008-12-03,後場,831.94,843.45,831.58,842.40
2008-12-03,前場,827.69,834.69,826.49,831.06
2008-12-02,後場,823.49,829.01,815.31,817.08
2008-12-02,前場,814.88,826.65,806.33,824.25
2008-12-01,後場,809.11,818.18,806.77,812.81
2008-12-01,前場,801.22,814.40,796.11,808.34
2008-11-28,後場,805.89,807.46,798.28,802.44
2008-11-28,前場,833.75,833.75,801.96,805.15
2008-11-27,後場,835.02,837.82,828.43,835.34
2008-11-27,前場,839.97,844.40,834.02,836.41
2008-11-26,後場,842.25,843.57,836.31,840.79
2008-11-26,前場,843.27,844.49,837.11,840.51
2008-11-25,後場,840.87,854.45,833.33,854.45
2008-11-25,前場,846.24,853.19,840.85,844.55
2008-11-21,後場,822.58,835.47,820.14,833.83
2008-11-21,前場,823.14,831.04,813.87,820.62
2008-11-20,後場,829.07,836.06,826.39,831.44
2008-11-20,前場,823.34,837.05,819.29,831.38
2008-11-19,後場,816.68,826.95,815.01,826.95
2008-11-19,前場,816.59,820.65,812.45,816.43
2008-11-18,後場,813.19,821.57,810.53,811.43
2008-11-18,前場,805.68,814.83,802.40,814.41
2008-11-17,後場,808.93,819.33,795.40,800.88
2008-11-17,前場,786.44,809.18,785.64,808.34
2008-11-14,後場,787.33,792.33,784.71,791.34
2008-11-14,前場,795.92,800.57,783.95,789.60
2008-11-13,後場,785.79,797.50,781.01,785.74
2008-11-13,前場,779.34,790.32,771.18,783.93
2008-11-12,後場,788.35,792.98,784.47,789.94
2008-11-12,前場,791.13,793.79,787.54,792.20
2008-11-11,後場,811.38,817.36,797.02,797.02
2008-11-11,前場,803.90,811.98,798.69,811.33
2008-11-10,後場,799.37,809.22,795.69,805.15
2008-11-10,前場,795.56,809.85,795.34,804.16
2008-11-07,後場,802.72,805.15,784.22,790.34
2008-11-07,前場,796.77,800.61,787.76,797.66
2008-11-06,後場,806.83,818.50,801.48,802.12
2008-11-06,前場,807.85,812.94,801.62,807.29
2008-11-05,後場,810.68,818.65,805.68,818.65
2008-11-05,前場,815.66,819.10,810.34,811.39
2008-11-04,後場,804.35,811.33,804.35,805.23
2008-11-04,前場,791.21,817.01,790.99,803.56
2008-10-31,後場,794.75,804.45,779.32,779.32
2008-10-31,前場,801.12,801.68,790.94,794.54
2008-10-30,後場,784.43,805.99,778.93,805.99
2008-10-30,前場,788.80,799.28,783.22,785.19
2008-10-29,後場,781.09,794.12,753.32,791.50
2008-10-29,前場,778.82,791.52,774.66,782.72
2008-10-28,後場,745.40,779.76,744.92,776.33
2008-10-28,前場,734.25,747.34,727.44,744.56
2008-10-27,後場,758.76,761.60,730.38,736.71
2008-10-27,前場,755.97,771.36,755.04,758.98
2008-10-24,後場,763.32,772.37,753.65,766.30
2008-10-24,前場,773.48,775.38,760.52,761.10
2008-10-23,後場,752.36,777.06,750.40,775.75
2008-10-23,前場,741.88,757.08,724.06,748.66
2008-10-22,後場,777.90,779.06,751.82,753.48
2008-10-22,前場,791.45,791.45,775.41,778.70
2008-10-21,後場,780.72,792.94,774.18,792.94
2008-10-21,前場,783.19,799.15,780.72,781.57
2008-10-20,後場,751.36,774.71,749.94,771.11
2008-10-20,前場,751.16,767.66,746.86,747.13
