日付,始値,高値,安値,終値
2017-12-22,427.96,428.63,423.36,424.36
2017-12-21,426.99,428.17,425.59,427.94
2017-12-20,430.11,431.48,428.09,428.33
2017-12-19,432.60,433.63,430.01,431.04
2017-12-18,430.99,431.05,428.86,430.52
2017-12-15,435.12,435.12,427.76,428.84
2017-12-14,439.11,441.16,436.43,437.07
2017-12-13,442.97,445.77,438.31,439.72
2017-12-12,444.24,445.62,442.34,443.71
2017-12-11,444.16,444.72,440.93,443.95
2017-12-08,437.43,443.90,437.43,442.99
2017-12-07,439.36,441.76,437.24,439.17
2017-12-06,442.12,443.31,437.85,439.09
2017-12-05,438.44,445.26,438.02,444.38
2017-12-04,443.58,443.90,437.60,438.02
2017-12-01,444.13,444.82,439.34,441.78
2017-11-30,440.01,443.55,439.08,442.96
2017-11-29,436.08,440.76,435.51,440.54
2017-11-28,432.22,436.60,432.22,434.63
2017-11-27,433.08,433.42,429.42,430.80
2017-11-24,432.34,433.58,431.62,431.73
2017-11-22,432.63,433.90,429.48,433.07
2017-11-21,432.56,434.67,431.23,433.27
2017-11-20,431.82,432.77,430.03,431.47
2017-11-17,440.15,440.60,431.58,433.32
2017-11-16,438.22,441.26,436.51,438.40
2017-11-15,446.36,446.36,436.71,438.00
2017-11-14,451.82,452.53,447.30,447.46
2017-11-13,458.62,459.76,453.36,453.36
2017-11-10,459.79,462.60,456.74,459.03
2017-11-09,466.98,475.69,462.17,465.86
2017-11-08,462.09,466.02,462.09,466.02
2017-11-07,458.28,463.08,456.24,463.07
2017-11-06,459.74,461.60,458.33,459.63
2017-11-02,461.55,462.00,457.48,461.29
2017-11-01,452.67,461.40,452.67,460.62
2017-10-31,451.33,452.28,447.97,451.42
2017-10-30,453.36,453.98,450.98,451.93
2017-10-27,455.41,455.41,450.03,453.81
2017-10-26,454.98,456.24,453.52,455.63
2017-10-25,460.89,460.96,454.04,454.97
2017-10-24,455.42,460.72,455.42,460.64
2017-10-23,454.65,455.20,452.66,453.74
2017-10-20,450.44,453.20,450.28,452.00
2017-10-19,455.19,455.99,451.45,452.27
2017-10-18,453.93,455.96,453.25,455.41
2017-10-17,455.01,456.43,452.53,454.88
2017-10-16,451.35,457.45,451.30,454.69
2017-10-13,446.09,452.23,446.09,450.76
2017-10-12,445.55,449.90,445.07,448.19
2017-10-11,442.67,446.40,442.67,445.13
2017-10-10,442.67,443.80,442.11,443.73
2017-10-06,446.68,448.10,442.61,443.02
2017-10-05,446.42,450.70,445.07,446.05
2017-10-04,442.64,447.41,442.64,443.83
2017-10-03,436.13,442.43,435.28,442.23
2017-10-02,435.38,435.72,432.71,433.21
2017-09-29,435.27,435.42,430.04,432.83
2017-09-28,442.27,442.55,433.30,437.04
2017-09-27,446.25,446.25,441.17,441.75
2017-09-26,449.69,451.99,449.19,449.69
2017-09-25,448.26,449.29,444.86,449.10
2017-09-22,448.20,449.22,446.70,448.87
2017-09-21,446.99,449.73,446.99,447.84
2017-09-20,447.97,449.03,444.51,445.96
2017-09-19,445.21,450.42,444.80,449.72
2017-09-15,450.69,450.79,442.32,442.60
2017-09-14,452.39,454.04,450.18,450.31
2017-09-13,449.09,452.13,448.10,451.49
2017-09-12,453.64,453.90,451.01,451.01
2017-09-11,449.80,453.26,448.95,449.24
2017-09-08,447.77,448.65,444.25,444.80
2017-09-07,445.42,448.81,445.42,446.75
2017-09-06,441.53,444.40,440.08,443.87
2017-09-05,446.63,446.89,441.09,442.62
2017-09-04,452.96,454.06,445.58,447.02
2017-09-01,453.49,454.32,450.42,452.80
2017-08-31,451.39,454.62,451.39,453.70
2017-08-30,449.69,453.12,447.12,452.35
2017-08-29,446.68,449.32,446.68,448.57
2017-08-28,448.68,450.73,445.67,450.00
2017-08-25,444.97,447.57,444.72,446.72
2017-08-24,447.88,449.84,446.11,446.11
2017-08-23,454.94,454.94,448.72,449.17
2017-08-22,454.69,455.63,452.20,452.45
2017-08-21,450.71,454.53,449.44,454.32
2017-08-18,449.13,449.30,444.80,447.33
2017-08-17,450.70,453.41,449.91,452.46
2017-08-16,451.88,453.90,451.16,451.52
2017-08-15,452.81,455.29,451.82,452.38
