日付,始値,高値,安値,終値
2015-12-30,1907.12,1924.38,1896.43,1897.81
2015-12-29,1871.98,1893.80,1863.36,1890.89
2015-12-28,1861.94,1880.95,1861.62,1874.95
2015-12-25,1857.84,1863.96,1847.45,1853.91
2015-12-24,1882.78,1889.87,1858.40,1860.78
2015-12-22,1874.46,1879.18,1859.02,1864.36
2015-12-21,1870.24,1879.38,1849.80,1873.76
2015-12-18,1929.26,1960.68,1889.65,1890.59
2015-12-17,1949.12,1961.72,1930.40,1932.81
2015-12-16,1915.01,1922.23,1904.56,1917.93
2015-12-15,1916.24,1921.70,1884.96,1884.96
2015-12-14,1923.32,1924.34,1891.69,1922.24
2015-12-11,1931.75,1968.30,1931.27,1960.24
2015-12-10,1937.25,1942.46,1930.89,1936.46
2015-12-09,1963.97,1976.83,1959.03,1961.76
2015-12-08,2007.23,2011.91,1976.89,1982.41
2015-12-07,2007.91,2017.00,2006.77,2008.36
2015-12-04,1984.97,1995.75,1980.88,1986.23
2015-12-03,2016.04,2021.37,2011.07,2018.04
2015-12-02,2031.50,2034.60,2016.94,2019.71
2015-12-01,2005.86,2032.49,2005.67,2032.49
2015-11-30,2000.40,2007.31,1992.02,1999.08
2015-11-27,2001.81,2003.49,1991.44,1995.30
2015-11-26,2006.90,2009.25,1995.53,1997.05
2015-11-25,2007.71,2008.68,1993.03,1999.01
2015-11-24,2012.41,2020.36,2004.12,2017.90
2015-11-20,2001.94,2017.68,1996.33,2017.68
2015-11-19,2009.27,2011.05,1997.42,2007.85
2015-11-18,2003.43,2008.91,1985.03,1986.10
2015-11-17,1992.68,2004.48,1991.98,1992.87
2015-11-16,1956.03,1969.58,1949.18,1965.09
2015-11-13,1985.37,1992.94,1975.46,1991.90
2015-11-12,2000.20,2014.31,1992.35,2008.39
2015-11-11,1993.78,2005.66,1987.85,2002.06
2015-11-10,1990.34,2009.26,1987.39,2007.52
2015-11-09,1995.02,2013.34,1992.97,2013.34
2015-11-06,1969.76,1979.07,1963.22,1975.09
2015-11-05,1958.36,1968.83,1949.35,1960.98
2015-11-04,1948.18,1961.96,1944.24,1944.60
2015-11-02,1914.00,1927.21,1909.57,1916.72
2015-10-30,1933.31,1949.99,1911.06,1936.32
2015-10-29,1942.02,1949.92,1914.98,1934.66
2015-10-28,1919.37,1931.20,1914.60,1923.25
2015-10-27,1948.65,1950.53,1914.31,1920.83
2015-10-26,1947.27,1976.91,1945.91,1959.02
2015-10-23,1915.79,1933.04,1915.62,1921.06
2015-10-22,1882.63,1908.14,1876.09,1880.73
2015-10-21,1837.64,1894.03,1837.64,1889.99
2015-10-20,1827.23,1835.94,1820.95,1831.07
2015-10-19,1843.88,1843.88,1814.45,1821.42
2015-10-16,1854.42,1854.42,1839.14,1844.90
2015-10-15,1790.94,1835.48,1783.38,1830.19
2015-10-14,1834.68,1836.86,1800.10,1807.37
2015-10-13,1874.13,1877.56,1851.93,1854.86
2015-10-09,1843.11,1875.35,1841.83,1875.35
2015-10-08,1826.88,1849.26,1822.71,1825.12
2015-10-07,1801.42,1829.81,1797.34,1823.43
2015-10-06,1816.89,1830.67,1797.30,1801.21
2015-10-05,1786.36,1796.03,1775.96,1787.19
2015-10-02,1738.73,1774.62,1727.77,1764.58
2015-10-01,1721.13,1772.95,1721.05,1762.65
2015-09-30,1689.77,1714.76,1687.07,1705.43
2015-09-29,1713.93,1714.68,1660.98,1660.98
2015-09-28,1767.48,1773.51,1737.66,1745.67
2015-09-25,1766.06,1775.28,1730.25,1775.28
2015-09-24,1811.60,1812.36,1770.10,1770.10
2015-09-18,1858.93,1858.93,1832.86,1836.06
2015-09-17,1867.57,1889.31,1867.49,1881.42
2015-09-16,1827.35,1851.08,1820.18,1840.50
2015-09-15,1815.94,1838.13,1803.68,1803.68
2015-09-14,1829.47,1829.56,1796.90,1801.18
2015-09-11,1821.11,1834.70,1813.10,1817.85
2015-09-10,1826.49,1841.73,1801.82,1837.99
2015-09-09,1788.62,1863.26,1788.62,1863.26
2015-09-08,1791.03,1796.23,1750.72,1753.54
2015-09-07,1765.29,1806.03,1747.42,1791.31
2015-09-04,1838.07,1838.07,1759.40,1781.29
2015-09-03,1836.97,1854.65,1827.45,1828.11
2015-09-02,1793.85,1840.30,1786.65,1807.84
2015-09-01,1877.30,1879.16,1827.20,1827.20
2015-08-31,1908.65,1912.81,1873.64,1893.07
2015-08-28,1880.31,1927.64,1880.31,1918.13
2015-08-27,1867.80,1890.09,1837.34,1843.83
2015-08-26,1772.98,1846.11,1755.15,1834.27
2015-08-25,1767.70,1861.96,1721.96,1755.51
2015-08-24,1868.07,1872.16,1804.05,1804.54
2015-08-21,1927.36,1930.06,1904.95,1906.35
2015-08-20,1990.49,1990.49,1965.20,1965.20
2015-08-19,2028.18,2030.10,1996.39,1996.39
2015-08-18,2029.09,2046.33,2025.30,2036.57
2015-08-17,2030.29,2032.57,2017.49,2025.44
2015-08-14,2026.55,2031.85,2016.45,2024.27
2015-08-13,2019.04,2037.36,2018.06,2033.17
2015-08-12,2054.64,2059.14,2012.80,2025.17
2015-08-11,2073.37,2086.05,2056.33,2066.17
2015-08-10,2050.84,2052.60,2033.44,2052.60
2015-08-07,2050.09,2063.89,2044.77,2061.71
2015-08-06,2059.09,2069.29,2055.20,2055.55
2015-08-05,2028.14,2046.68,2013.85,2038.56
2015-08-04,2050.57,2052.20,2023.64,2032.20
2015-08-03,2075.94,2077.80,2055.72,2065.86
2015-07-31,2044.04,2069.39,2042.58,2069.39
2015-07-30,2070.29,2078.10,2036.31,2041.85
2015-07-29,2099.14,2099.59,2044.97,2058.17
2015-07-28,2087.97,2109.20,2070.96,2096.75
2015-07-27,2113.57,2125.78,2101.74,2107.86
2015-07-24,2121.82,2134.53,2120.47,2127.17
2015-07-23,2139.90,2144.26,2128.53,2136.48
2015-07-22,2146.40,2147.37,2131.71,2131.71
2015-07-21,2168.48,2172.97,2161.96,2172.97
2015-07-17,2154.44,2158.20,2145.09,2153.19
2015-07-16,2151.09,2151.09,2140.91,2150.82
2015-07-15,2155.35,2155.89,2134.50,2143.66
2015-07-14,2145.03,2153.01,2135.52,2143.90
2015-07-13,2101.98,2121.16,2097.96,2111.41
2015-07-10,2103.70,2107.73,2071.81,2076.53
2015-07-09,2051.52,2100.51,2016.49,2100.51
2015-07-08,2164.34,2165.12,2094.09,2094.09
2015-07-07,2186.53,2190.41,2172.66,2174.32
2015-07-06,2170.31,2179.41,2148.87,2158.55
2015-07-03,2195.09,2206.73,2188.98,2203.95
2015-07-02,2214.31,2218.62,2195.87,2198.94
2015-07-01,2194.85,2197.26,2184.58,2193.01
2015-06-30,2195.55,2198.72,2176.41,2184.63
2015-06-29,2215.54,2216.98,2193.95,2197.17
2015-06-26,2267.00,2269.26,2252.39,2260.56
2015-06-25,2268.02,2284.23,2267.55,2274.33
2015-06-24,2295.20,2297.76,2287.00,2287.00
2015-06-23,2260.13,2286.36,2258.24,2286.36
2015-06-22,2236.56,2255.94,2236.17,2250.77
2015-06-19,2229.97,2241.91,2226.26,2239.78
2015-06-18,2226.16,2229.45,2209.02,2209.02
2015-06-17,2243.99,2244.64,2217.38,2227.25
2015-06-16,2252.62,2253.18,2235.23,2238.56
2015-06-15,2239.91,2262.33,2239.91,2259.70
2015-06-12,2255.37,2264.77,2250.09,2264.77
2015-06-11,2236.37,2247.24,2234.84,2245.46
2015-06-10,2227.15,2249.71,2220.02,2221.54
2015-06-09,2256.96,2257.64,2228.43,2228.74
2015-06-08,2295.23,2295.23,2270.08,2275.20
2015-06-05,2285.03,2288.23,2276.98,2287.39
2015-06-04,2298.77,2305.17,2293.58,2299.35
2015-06-03,2291.51,2298.25,2287.74,2294.11
2015-06-02,2314.32,2314.98,2297.72,2303.92
2015-06-01,2296.84,2306.45,2288.93,2304.42
2015-05-29,2298.04,2306.92,2292.33,2304.77
2015-05-28,2303.09,2316.38,2293.76,2300.60
2015-05-27,2259.74,2289.41,2256.50,2282.15
2015-05-26,2263.83,2267.84,2255.75,2264.51
2015-05-25,2255.30,2263.89,2253.97,2262.34
2015-05-22,2243.84,2249.74,2232.38,2249.16
2015-05-21,2254.33,2264.59,2245.66,2248.49
2015-05-20,2248.49,2255.84,2243.89,2247.90
2015-05-19,2234.47,2240.26,2226.40,2235.01
2015-05-18,2216.69,2224.29,2210.59,2223.07
2015-05-15,2219.97,2225.50,2207.96,2214.18
2015-05-14,2203.13,2217.90,2201.91,2203.06
2015-05-13,2178.49,2208.37,2176.02,2204.84
2015-05-12,2178.93,2186.77,2164.45,2186.77
2015-05-11,2181.30,2181.30,2164.29,2175.62
2015-05-08,2146.71,2161.34,2141.93,2155.27
2015-05-07,2153.80,2164.30,2144.83,2150.46
2015-05-01,2184.24,2189.16,2152.39,2170.95
2015-04-30,2208.74,2209.21,2184.23,2186.66
2015-04-28,2231.40,2236.05,2221.03,2224.55
2015-04-27,2223.03,2230.36,2208.95,2229.88
2015-04-24,2225.30,2228.51,2212.43,2218.12
2015-04-23,2221.63,2232.85,2215.46,2223.57
2015-04-22,2200.53,2211.95,2198.68,2206.14
2015-04-21,2163.42,2193.63,2159.78,2193.43
2015-04-20,2140.84,2168.69,2138.08,2156.65
2015-04-17,2184.02,2184.02,2153.58,2156.24
2015-04-16,2195.74,2199.91,2182.04,2195.71
2015-04-15,2196.31,2204.34,2187.46,2200.81
2015-04-14,2193.12,2206.84,2192.57,2204.06
2015-04-13,2204.70,2209.17,2196.34,2202.07
2015-04-10,2211.35,2211.35,2192.74,2200.61
2015-04-09,2202.54,2209.43,2198.73,2206.84
2015-04-08,2200.31,2211.37,2194.84,2198.62
2015-04-07,2185.69,2193.57,2177.87,2189.77
2015-04-06,2154.09,2173.78,2147.53,2167.15
2015-04-03,2148.62,2170.97,2148.62,2170.97
2015-04-02,2128.77,2162.66,2126.17,2147.21
2015-04-01,2120.97,2131.31,2104.47,2115.79
2015-03-31,2168.96,2173.79,2133.44,2133.44
2015-03-30,2136.40,2146.68,2118.26,2143.09
2015-03-27,2136.97,2167.67,2117.60,2138.46
2015-03-26,2169.59,2170.98,2139.90,2147.16
2015-03-25,2182.96,2191.17,2167.30,2191.04
2015-03-24,2185.24,2191.32,2171.87,2181.43
2015-03-23,2189.76,2197.36,2183.44,2189.24
2015-03-20,2170.16,2179.60,2161.75,2179.60
2015-03-19,2175.59,2184.54,2146.11,2170.58
2015-03-18,2154.41,2180.00,2153.51,2178.94
2015-03-17,2124.45,2159.45,2122.72,2150.36
2015-03-16,2108.38,2116.72,2101.52,2104.28
2015-03-13,2081.65,2118.92,2077.79,2111.31
2015-03-12,2060.89,2076.50,2056.14,2073.35
2015-03-11,2036.89,2064.69,2034.48,2055.42
2015-03-10,2066.19,2070.94,2039.70,2049.10
2015-03-09,2053.59,2061.47,2042.33,2052.16
2015-03-06,2056.67,2069.63,2056.61,2066.48
2015-03-05,2034.20,2052.15,2034.20,2052.15
2015-03-04,2039.17,2044.64,2019.88,2041.80
2015-03-03,2058.89,2060.73,2039.13,2049.01
2015-03-02,2058.06,2064.01,2047.07,2050.80
2015-02-27,2038.38,2050.82,2034.16,2050.43
2015-02-26,2015.97,2032.56,2011.82,2032.56
2015-02-25,2028.26,2028.26,2017.70,2021.75
2015-02-24,2007.86,2022.52,2000.51,2022.52
2015-02-23,2027.63,2029.97,2003.69,2011.32
2015-02-20,2006.59,2011.26,2002.80,2010.28
2015-02-19,1996.01,2006.16,1995.76,1997.52
2015-02-18,1968.42,1987.87,1965.89,1986.54
2015-02-17,1935.38,1949.75,1929.70,1947.21
2015-02-16,1950.30,1953.63,1939.05,1940.34
2015-02-13,1936.08,1943.10,1931.40,1934.70
2015-02-12,1933.53,1943.04,1929.09,1938.81
2015-02-10,1898.75,1902.70,1889.49,1902.70
2015-02-09,1905.16,1906.22,1889.84,1899.20
2015-02-06,1904.77,1905.87,1887.03,1893.79
2015-02-05,1891.74,1894.36,1880.06,1885.34
2015-02-04,1895.91,1908.15,1889.58,1893.73
2015-02-03,1905.17,1905.25,1865.15,1871.24
2015-02-02,1884.05,1894.88,1871.40,1888.79
2015-01-30,1924.06,1927.90,1902.25,1902.25
2015-01-29,1925.80,1926.80,1904.01,1907.09
2015-01-28,1925.41,1945.25,1924.92,1939.75
2015-01-27,1936.08,1943.32,1933.58,1942.07
2015-01-26,1892.99,1915.98,1892.93,1915.98
2015-01-23,1907.87,1915.28,1902.33,1915.28
2015-01-22,1896.08,1897.94,1876.30,1887.52
2015-01-21,1892.02,1900.87,1885.67,1897.63
2015-01-20,1872.60,1897.60,1872.23,1897.60
2015-01-19,1875.78,1876.86,1857.61,1868.40
2015-01-16,1844.46,1858.37,1830.12,1858.18
2015-01-15,1849.99,1881.65,1846.39,1876.19
2015-01-14,1868.68,1878.19,1842.33,1844.56
2015-01-13,1866.93,1879.03,1847.55,1879.03
2015-01-09,1903.39,1905.36,1884.55,1892.09
2015-01-08,1884.51,1896.59,1879.94,1887.58
2015-01-07,1854.82,1871.59,1852.65,1862.95
2015-01-06,1889.28,1889.65,1866.67,1866.67
2015-01-05,1923.28,1936.09,1905.76,1925.61
