日付,時刻,始値,高値,安値,終値
2011-12-30,後場,561.61,564.72,561.06,564.72
2011-12-30,前場,560.02,562.23,558.63,561.22
2011-12-29,後場,552.53,558.73,552.01,557.63
2011-12-29,前場,552.79,553.21,549.27,551.56
2011-12-28,後場,558.68,559.01,555.68,556.67
2011-12-28,前場,559.21,561.37,558.62,558.83
2011-12-27,後場,561.38,561.45,558.69,558.95
2011-12-27,前場,560.83,563.24,560.38,561.46
2011-12-26,後場,563.21,565.48,562.34,564.43
2011-12-26,前場,564.53,565.80,561.69,563.11
2011-12-22,後場,558.45,558.50,554.99,556.26
2011-12-22,前場,561.97,562.12,556.70,558.17
2011-12-21,後場,561.67,563.51,560.22,563.06
2011-12-21,前場,561.83,563.93,560.13,561.68
2011-12-20,後場,550.82,553.57,550.35,552.30
2011-12-20,前場,549.33,552.56,548.39,549.99
2011-12-19,後場,547.48,551.89,544.51,548.53
2011-12-19,前場,555.01,555.61,549.88,550.81
2011-12-16,後場,556.87,559.50,555.96,557.60
2011-12-16,前場,562.01,562.11,555.36,556.03
2011-12-15,後場,563.81,567.04,561.53,562.41
2011-12-15,前場,569.27,571.31,561.83,562.61
2011-12-14,後場,576.04,577.63,573.16,576.41
2011-12-14,前場,580.77,583.06,575.77,576.13
2011-12-13,後場,579.84,586.42,579.61,584.41
2011-12-13,前場,581.71,583.20,578.16,578.53
2011-12-12,後場,589.85,594.29,589.43,591.40
2011-12-12,前場,588.10,592.33,587.47,590.84
2011-12-09,後場,576.55,582.22,576.10,577.40
2011-12-09,前場,576.44,580.02,575.16,578.85
2011-12-08,後場,585.07,590.75,584.70,586.41
2011-12-08,前場,587.42,587.87,582.63,583.86
2011-12-07,後場,586.60,593.69,585.37,592.84
2011-12-07,前場,580.71,587.29,580.47,586.38
2011-12-06,後場,581.61,581.61,575.06,576.24
2011-12-06,前場,588.50,589.02,581.38,582.33
2011-12-05,後場,591.27,593.68,590.34,591.44
2011-12-05,前場,594.71,595.39,589.20,590.83
2011-12-02,後場,588.78,591.20,585.31,591.20
2011-12-02,前場,587.71,591.63,585.58,588.49
2011-12-01,後場,585.34,589.58,585.19,587.37
2011-12-01,前場,584.03,588.68,582.87,585.65
2011-11-30,後場,562.41,569.43,558.35,569.43
2011-11-30,前場,567.74,568.71,563.04,564.89
2011-11-29,後場,563.00,573.06,562.83,572.78
2011-11-29,前場,559.03,564.45,556.67,561.99
2011-11-28,後場,550.14,557.46,549.58,553.10
2011-11-28,前場,545.52,555.39,545.20,551.29
2011-11-25,後場,535.77,540.48,533.83,536.49
2011-11-25,前場,530.71,537.56,530.23,537.56
2011-11-24,後場,537.46,537.87,532.72,533.97
2011-11-24,前場,531.92,538.56,527.45,537.45
2011-11-22,後場,540.68,543.32,535.22,541.93
2011-11-22,前場,531.33,542.08,529.81,542.03
2011-11-21,後場,537.54,538.72,536.66,537.21
2011-11-21,前場,543.15,544.37,536.39,537.31
2011-11-18,後場,543.90,547.35,543.88,544.72
2011-11-18,前場,546.75,547.32,543.12,544.43
2011-11-17,後場,554.99,561.59,554.37,554.37
2011-11-17,前場,544.81,555.89,542.45,554.13
2011-11-16,後場,552.89,552.89,548.15,548.58
2011-11-16,前場,556.71,561.21,555.45,555.83
2011-11-15,後場,564.02,564.08,559.18,560.05
2011-11-15,前場,563.78,566.08,562.33,564.61
2011-11-14,後場,566.89,568.73,563.71,567.28
2011-11-14,前場,571.82,576.15,567.49,568.12
2011-11-11,後場,558.48,566.39,557.67,565.23
2011-11-11,前場,564.62,564.72,554.73,554.73
2011-11-10,後場,558.75,564.32,556.22,563.28
2011-11-10,前場,563.83,564.22,556.90,559.96
2011-11-09,後場,576.56,578.56,572.49,578.33
2011-11-09,前場,575.33,581.15,573.83,577.91
2011-11-08,後場,586.60,586.69,575.22,576.42
2011-11-08,前場,589.08,589.50,582.03,585.66
2011-11-07,後場,588.45,592.19,587.99,592.01
2011-11-07,前場,596.01,596.01,587.63,588.20
2011-11-04,後場,598.96,602.35,595.06,601.56
2011-11-04,前場,599.92,602.41,598.78,599.53
2011-11-02,後場,588.86,594.69,588.09,588.09
2011-11-02,前場,591.89,592.08,586.61,587.84
2011-11-01,後場,607.32,607.60,601.26,602.45
2011-11-01,前場,608.05,613.40,605.41,608.72
2011-10-31,後場,623.51,623.88,616.05,617.57
2011-10-31,前場,618.90,631.35,616.78,625.94
2011-10-28,後場,630.23,630.23,622.67,624.01
2011-10-28,前場,633.70,636.57,630.64,630.64
2011-10-27,後場,610.52,620.21,610.52,620.21
2011-10-27,前場,601.64,607.81,600.44,607.81
2011-10-26,後場,598.08,605.30,597.55,600.31
2011-10-26,前場,590.68,598.13,585.44,597.52
2011-10-25,後場,600.14,604.47,599.42,599.82
2011-10-25,前場,605.28,609.51,600.14,600.90
2011-10-24,後場,590.09,598.35,589.74,597.15
2011-10-24,前場,587.68,593.46,587.28,589.66
2011-10-21,後場,578.87,581.47,577.36,579.92
2011-10-21,前場,579.76,580.55,577.28,579.88
2011-10-20,後場,582.40,583.87,579.84,582.82
2011-10-20,前場,594.76,594.81,584.22,584.39
2011-10-19,後場,602.42,602.81,595.88,597.51
2011-10-19,前場,605.63,606.82,601.88,602.46
2011-10-18,後場,601.13,603.09,599.68,601.39
2011-10-18,前場,592.71,604.23,589.95,600.83
2011-10-17,後場,603.06,606.58,602.41,604.36
2011-10-17,前場,600.44,605.13,600.09,604.53
2011-10-14,後場,590.05,590.05,587.20,587.20
2011-10-14,前場,587.55,591.77,584.98,589.50
2011-10-13,後場,594.21,595.40,591.18,593.84
2011-10-13,前場,587.88,592.83,586.47,592.38
2011-10-12,後場,568.06,577.52,568.05,576.01
2011-10-12,前場,565.34,567.83,560.88,566.54
2011-10-11,後場,570.83,573.57,569.76,571.49
2011-10-11,前場,568.11,573.21,567.10,572.24
2011-10-07,後場,563.36,566.48,556.04,558.10
2011-10-07,前場,565.21,569.83,562.36,563.02
2011-10-06,後場,556.33,558.39,552.84,558.11
2011-10-06,前場,544.34,557.43,544.34,556.69
2011-10-05,後場,539.78,543.95,534.04,536.26
2011-10-05,前場,548.87,549.46,537.35,539.32
2011-10-04,後場,535.03,544.61,532.09,543.19
2011-10-04,前場,545.19,545.98,534.90,535.99
2011-10-03,後場,557.60,557.60,550.47,555.57
2011-10-03,前場,579.87,581.98,559.35,560.73
2011-09-30,後場,594.02,594.81,585.82,593.80
2011-09-30,前場,610.59,610.59,593.91,593.91
2011-09-29,後場,599.58,614.01,598.57,614.01
2011-09-29,前場,599.77,601.22,595.15,599.09
2011-09-28,後場,611.68,611.71,604.79,607.60
2011-09-28,前場,604.18,613.42,604.18,612.25
2011-09-27,後場,598.51,600.27,591.17,600.27
2011-09-27,前場,593.40,600.48,593.17,597.70
2011-09-26,後場,585.00,585.57,577.57,579.58
2011-09-26,前場,609.07,609.07,585.41,588.54
2011-09-22,後場,613.76,614.70,609.56,613.36
2011-09-22,前場,621.97,621.97,612.86,615.35
2011-09-21,後場,630.35,632.95,629.54,629.78
2011-09-21,前場,630.97,632.96,628.84,629.31
2011-09-20,後場,632.91,634.16,628.91,631.02
2011-09-20,前場,638.89,639.00,632.36,632.68
2011-09-16,後場,646.13,650.82,645.47,649.75
2011-09-16,前場,637.74,646.71,637.74,645.61
2011-09-15,後場,625.93,628.43,624.54,626.87
2011-09-15,前場,630.16,633.68,626.68,627.63
2011-09-14,後場,626.12,626.12,617.51,618.48
