日付,始値,高値,安値,終値
2015-12-30,975.80,978.97,966.03,966.10
2015-12-29,963.60,968.70,946.89,967.34
2015-12-28,946.87,970.03,946.75,962.89
2015-12-25,951.54,960.46,938.74,942.44
2015-12-24,962.97,970.91,951.27,951.27
2015-12-22,943.71,954.88,941.59,951.15
2015-12-21,937.89,953.43,929.82,949.20
2015-12-18,956.69,971.94,938.56,939.87
2015-12-17,961.05,971.32,957.70,963.86
2015-12-16,938.47,952.26,938.47,946.00
2015-12-15,940.62,941.91,919.98,921.07
2015-12-14,941.89,942.40,921.81,941.06
2015-12-11,953.57,965.82,953.17,962.72
2015-12-10,951.44,960.57,951.44,956.06
2015-12-09,959.11,970.32,957.24,961.76
2015-12-08,991.63,993.55,971.38,974.56
2015-12-07,994.76,1000.23,990.19,990.75
2015-12-04,987.30,991.52,980.96,983.48
2015-12-03,998.81,1007.76,997.06,1005.07
2015-12-02,1003.15,1004.83,996.17,1000.76
2015-12-01,994.39,1006.47,992.50,1006.47
2015-11-30,993.72,995.50,983.97,991.14
2015-11-27,997.35,1009.85,997.35,998.61
2015-11-26,990.00,998.24,987.42,995.44
2015-11-25,980.46,990.20,978.33,986.56
2015-11-24,984.83,986.21,978.27,984.69
2015-11-20,986.21,989.01,977.52,989.01
2015-11-19,982.74,992.28,980.21,988.38
2015-11-18,969.46,977.41,965.97,970.30
2015-11-17,958.29,967.40,954.24,963.29
2015-11-16,932.68,949.85,932.28,945.79
2015-11-13,950.72,952.88,943.95,951.57
2015-11-12,963.60,964.89,954.84,963.34
2015-11-11,968.89,969.58,951.51,959.73
2015-11-10,968.57,976.44,966.63,974.79
2015-11-09,987.22,987.22,976.25,983.00
2015-11-06,987.33,993.97,981.39,984.44
2015-11-05,969.61,988.37,968.04,985.07
2015-11-04,966.47,980.40,966.47,966.98
2015-11-02,963.33,963.33,945.85,947.33
2015-10-30,966.56,988.94,965.50,982.52
2015-10-29,993.65,995.31,967.51,978.78
2015-10-28,985.00,988.74,971.22,979.98
2015-10-27,1007.13,1007.83,984.60,986.60
2015-10-26,1019.11,1019.11,1009.13,1009.55
2015-10-23,1006.67,1011.89,1000.66,1001.61
2015-10-22,981.23,999.45,980.02,984.31
2015-10-21,955.69,991.92,955.69,989.40
2015-10-20,957.31,959.11,948.17,955.83
2015-10-19,974.40,974.40,957.33,962.45
2015-10-16,987.87,989.23,978.54,982.50
2015-10-15,953.79,977.80,950.06,973.65
2015-10-14,975.53,978.53,956.33,958.53
2015-10-13,977.16,995.80,976.84,984.07
2015-10-09,962.44,992.18,962.44,992.18
2015-10-08,945.37,965.14,944.04,947.00
2015-10-07,924.26,955.48,922.76,953.46
2015-10-06,923.62,930.41,920.02,922.25
2015-10-05,907.81,917.34,905.77,909.33
2015-10-02,882.78,897.07,875.31,892.26
2015-10-01,873.46,895.43,869.37,889.99
2015-09-30,871.83,876.83,863.99,872.62
2015-09-29,877.12,877.64,853.30,854.14
2015-09-28,908.03,911.20,888.67,893.13
2015-09-25,905.91,918.34,899.62,918.34
2015-09-24,934.90,935.93,906.97,907.02
2015-09-18,961.83,961.83,945.71,953.12
2015-09-17,968.74,978.91,968.21,973.10
2015-09-16,955.11,966.74,950.17,959.08
2015-09-15,949.68,960.11,940.63,940.63
2015-09-14,964.26,964.66,942.51,948.39
2015-09-11,963.80,971.13,960.01,961.35
2015-09-10,950.03,966.73,942.83,965.49
2015-09-09,928.76,973.92,928.44,973.92
2015-09-08,913.05,931.00,906.42,907.62
2015-09-07,894.33,914.00,887.95,904.36
2015-09-04,930.93,930.93,893.21,903.10
2015-09-03,929.31,941.52,923.98,924.54
2015-09-02,910.56,929.03,905.94,911.21
2015-09-01,960.61,964.04,929.32,929.32
2015-08-31,975.38,984.06,961.30,970.53
2015-08-28,944.48,991.31,943.55,986.21
2015-08-27,940.84,945.43,921.59,922.97
2015-08-26,907.81,930.22,894.72,922.46
2015-08-25,921.36,941.44,890.89,897.56
2015-08-24,975.62,978.54,943.23,943.23
2015-08-21,1005.11,1018.46,998.05,998.05
2015-08-20,1033.70,1033.70,1021.88,1022.34
2015-08-19,1055.61,1055.61,1040.85,1041.09
2015-08-18,1065.17,1069.51,1058.87,1061.55
2015-08-17,1056.03,1065.41,1053.64,1065.26
2015-08-14,1056.06,1059.18,1049.63,1056.84
2015-08-13,1060.06,1067.24,1053.72,1062.17
2015-08-12,1064.65,1069.72,1047.96,1055.03
2015-08-11,1077.25,1091.20,1074.33,1081.69
2015-08-10,1067.15,1067.36,1052.78,1063.34
2015-08-07,1061.69,1073.16,1060.00,1070.59
2015-08-06,1064.84,1077.24,1064.84,1071.12
2015-08-05,1045.96,1066.73,1042.58,1055.47
2015-08-04,1052.65,1052.65,1032.52,1039.61
2015-08-03,1068.02,1068.11,1053.92,1056.49
2015-07-31,1062.56,1069.12,1044.57,1069.07
2015-07-30,1050.40,1078.00,1050.40,1073.58
2015-07-29,1054.49,1057.53,1042.57,1046.84
2015-07-28,1038.66,1046.97,1029.70,1041.15
2015-07-27,1050.71,1058.49,1043.24,1049.23
2015-07-24,1070.69,1071.74,1060.25,1061.83
2015-07-23,1085.18,1086.43,1071.63,1077.92
2015-07-22,1085.00,1090.49,1080.05,1080.56
2015-07-21,1098.77,1098.77,1082.10,1088.60
2015-07-17,1101.82,1102.23,1087.65,1094.49
2015-07-16,1099.63,1102.72,1090.85,1102.72
2015-07-15,1109.85,1113.30,1090.27,1094.55
2015-07-14,1091.31,1113.52,1090.84,1103.76
2015-07-13,1067.15,1077.99,1066.84,1070.44
2015-07-10,1055.48,1069.62,1047.01,1055.75
2015-07-09,1035.63,1054.54,1007.55,1054.54
2015-07-08,1090.67,1092.38,1057.15,1057.15
2015-07-07,1111.63,1111.63,1099.77,1101.67
2015-07-06,1101.13,1108.64,1095.34,1099.51
2015-07-03,1120.49,1123.04,1111.97,1120.31
2015-07-02,1125.20,1127.24,1118.24,1119.75
2015-07-01,1117.97,1118.15,1109.68,1113.49
2015-06-30,1123.54,1123.54,1111.20,1118.92
2015-06-29,1132.48,1137.67,1119.51,1127.48
2015-06-26,1170.76,1171.58,1155.83,1158.78
2015-06-25,1180.10,1181.17,1173.08,1174.20
2015-06-24,1178.65,1196.00,1178.65,1180.81
2015-06-23,1160.00,1172.80,1158.99,1171.23
2015-06-22,1154.07,1162.18,1148.79,1155.05
2015-06-19,1160.06,1163.36,1150.85,1154.06
2015-06-18,1161.62,1161.66,1149.77,1149.77
2015-06-17,1173.40,1173.46,1161.42,1163.75
2015-06-16,1171.40,1175.39,1164.14,1168.38
2015-06-15,1166.24,1177.64,1165.23,1176.57
2015-06-12,1189.93,1191.36,1174.46,1180.68
2015-06-11,1174.65,1187.42,1172.96,1186.20
2015-06-10,1152.73,1173.08,1151.77,1164.45
2015-06-09,1169.02,1170.85,1150.62,1151.32
2015-06-08,1177.50,1178.45,1169.48,1177.87
2015-06-05,1169.96,1173.54,1163.47,1172.10
2015-06-04,1184.05,1184.15,1173.28,1176.49
2015-06-03,1166.57,1182.13,1166.57,1178.16
2015-06-02,1166.62,1172.45,1164.02,1170.15
2015-06-01,1149.46,1165.78,1149.46,1162.84
2015-05-29,1148.60,1162.54,1148.60,1159.58
2015-05-28,1147.21,1154.53,1140.88,1144.40
2015-05-27,1128.96,1149.23,1128.96,1149.21
2015-05-26,1120.22,1131.93,1117.24,1128.74
