日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1860.42,1875.01,1860.42,1866.40
2015-12-30,前場,1856.43,1868.79,1853.24,1863.78
2015-12-29,後場,1833.73,1845.71,1830.17,1845.71
2015-12-29,前場,1823.17,1842.37,1812.78,1832.76
2015-12-28,後場,1831.81,1834.50,1824.36,1831.23
2015-12-28,前場,1841.90,1846.22,1814.82,1827.90
2015-12-25,後場,1846.37,1849.79,1842.71,1846.60
2015-12-25,前場,1844.33,1854.43,1835.18,1846.72
2015-12-24,後場,1844.97,1849.04,1837.78,1838.93
2015-12-24,前場,1866.32,1867.23,1846.72,1850.19
2015-12-22,後場,1862.15,1863.21,1854.10,1854.10
2015-12-22,前場,1861.84,1863.29,1841.55,1861.57
2015-12-21,後場,1834.50,1873.45,1833.82,1866.54
2015-12-21,前場,1857.39,1869.05,1830.77,1832.53
2015-12-18,後場,1891.39,1927.45,1856.93,1857.62
2015-12-18,前場,1898.25,1908.74,1884.03,1888.71
2015-12-17,後場,1906.14,1906.38,1895.83,1902.87
2015-12-17,前場,1882.85,1907.14,1876.12,1906.78
2015-12-16,後場,1843.61,1853.63,1842.59,1853.63
2015-12-16,前場,1823.43,1840.41,1816.56,1839.37
2015-12-15,後場,1814.40,1815.86,1799.47,1799.52
2015-12-15,前場,1834.61,1838.92,1814.26,1816.41
2015-12-14,後場,1826.00,1836.32,1822.87,1832.22
2015-12-14,前場,1802.55,1826.39,1800.47,1821.63
2015-12-11,後場,1835.57,1836.42,1826.28,1832.47
2015-12-11,前場,1817.61,1838.55,1817.53,1835.69
2015-12-10,後場,1828.82,1831.69,1824.93,1825.64
2015-12-10,前場,1818.87,1836.30,1818.87,1825.79
2015-12-09,後場,1835.78,1838.93,1828.02,1832.06
2015-12-09,前場,1858.51,1865.35,1833.63,1834.26
2015-12-08,後場,1863.71,1866.06,1859.29,1861.17
2015-12-08,前場,1872.28,1885.21,1864.61,1864.63
2015-12-07,後場,1877.15,1877.24,1868.17,1869.63
2015-12-07,前場,1851.89,1879.51,1849.38,1878.30
2015-12-04,後場,1834.78,1837.42,1830.89,1836.52
2015-12-04,前場,1841.55,1846.65,1837.48,1839.30
2015-12-03,後場,1862.10,1869.67,1860.99,1867.22
2015-12-03,前場,1864.25,1864.86,1855.66,1861.71
2015-12-02,後場,1857.02,1860.05,1856.49,1857.33
2015-12-02,前場,1854.06,1859.91,1848.25,1858.80
