日付,始値,高値,安値,終値
2009-12-30,854.32,855.48,836.55,836.55
2009-12-29,845.80,849.53,840.97,849.49
2009-12-28,843.09,850.77,843.09,846.36
2009-12-25,848.18,851.07,845.99,847.49
2009-12-24,830.76,845.51,830.54,844.53
2009-12-22,817.14,827.34,814.71,826.11
2009-12-21,816.15,820.05,814.74,815.29
2009-12-18,808.00,815.49,807.34,814.31
2009-12-17,812.64,814.30,808.75,808.84
2009-12-16,807.96,817.24,807.91,811.04
2009-12-15,800.21,804.61,795.17,801.66
2009-12-14,804.53,804.53,796.74,802.23
2009-12-11,804.65,806.07,799.77,806.07
2009-12-10,806.69,810.54,798.65,801.37
2009-12-09,812.05,815.47,808.28,809.29
2009-12-08,811.70,816.81,810.20,815.92
2009-12-07,815.27,816.30,808.33,813.11
2009-12-04,816.73,819.80,805.49,809.28
2009-12-03,792.74,815.38,792.41,815.38
2009-12-02,786.64,786.88,779.43,786.45
2009-12-01,781.59,791.44,780.51,789.54
2009-11-30,763.98,782.29,763.27,782.29
2009-11-27,763.03,766.43,757.00,758.98
2009-11-26,769.48,773.80,768.57,770.81
2009-11-25,771.08,778.63,768.36,770.02
2009-11-24,765.35,767.83,761.10,766.91
2009-11-20,768.34,771.97,764.52,767.60
2009-11-19,771.93,774.66,767.08,772.43
2009-11-18,779.67,780.95,771.30,774.98
2009-11-17,785.52,785.68,779.36,783.95
2009-11-16,781.41,789.05,781.41,783.57
2009-11-13,778.39,786.23,778.12,783.16
2009-11-12,790.05,790.45,779.51,781.45
2009-11-11,795.93,800.12,788.95,790.51
2009-11-10,796.64,802.00,794.08,795.47
2009-11-09,800.34,801.52,790.20,791.43
2009-11-06,799.23,801.53,794.88,801.53
2009-11-05,800.93,801.32,792.61,797.28
2009-11-04,809.16,809.16,799.30,806.30
2009-11-02,803.19,811.36,796.38,811.36
2009-10-30,820.95,824.64,806.83,810.53
2009-10-29,816.99,818.32,811.84,812.98
2009-10-28,823.27,827.02,822.67,824.26
2009-10-27,827.68,829.70,822.13,826.22
2009-10-26,825.33,831.48,824.93,829.87
2009-10-23,820.07,827.35,819.45,823.40
2009-10-22,819.07,819.39,807.83,814.86
2009-10-21,822.76,824.49,820.66,824.49
2009-10-20,827.48,830.76,821.82,825.88
2009-10-19,818.07,823.29,818.07,822.27
2009-10-16,814.47,818.53,813.70,818.43
2009-10-15,815.10,816.47,807.35,810.85
2009-10-14,800.84,810.98,800.05,808.48
2009-10-13,800.35,803.03,796.15,798.96
2009-10-09,801.11,801.17,795.13,798.75
2009-10-08,805.14,807.13,799.04,801.17
2009-10-07,812.74,812.74,801.20,804.28
2009-10-06,820.27,820.27,806.23,811.12
2009-10-05,812.46,822.53,812.46,820.06
2009-10-02,820.38,820.61,808.07,811.25
2009-10-01,836.36,836.47,826.90,829.09
2009-09-30,827.30,841.84,826.60,841.84
2009-09-29,832.71,832.90,823.75,825.44
2009-09-28,828.67,841.99,828.18,832.59
2009-09-25,840.94,840.94,829.79,835.84
2009-09-24,838.30,857.18,837.25,850.12
2009-09-18,829.21,833.94,825.91,831.94
2009-09-17,821.24,832.34,820.95,832.34
2009-09-16,819.55,824.03,813.70,815.46
2009-09-15,815.74,818.64,813.27,816.81
2009-09-14,823.38,824.98,810.60,814.33
2009-09-11,826.01,826.01,818.41,822.46
2009-09-10,820.60,826.47,819.17,823.72
2009-09-09,818.92,819.49,808.47,814.11
2009-09-08,819.46,821.19,817.25,819.90
2009-09-07,821.03,821.81,816.93,817.21
2009-09-04,819.86,820.65,814.12,815.58
2009-09-03,804.77,820.34,804.31,817.43
2009-09-02,809.83,809.83,799.72,806.76
2009-09-01,817.64,823.35,817.64,819.03
2009-08-31,826.00,835.70,815.60,821.07
2009-08-28,818.69,822.97,815.01,822.97
2009-08-27,819.20,820.54,807.68,815.60
2009-08-26,822.14,823.10,816.40,821.99
2009-08-25,821.13,824.19,816.77,818.21
2009-08-24,815.80,830.31,815.80,825.17
2009-08-21,806.64,808.87,798.68,804.84
2009-08-20,792.92,810.57,791.60,808.78
2009-08-19,798.00,799.56,790.12,790.89
2009-08-18,794.66,799.67,793.97,798.10
2009-08-17,810.29,810.61,798.63,799.40
2009-08-14,810.76,813.85,808.62,813.32
2009-08-13,813.93,815.61,809.16,809.52
2009-08-12,812.54,817.18,809.01,809.01
2009-08-11,814.08,818.57,812.88,817.98
2009-08-10,817.31,820.15,810.66,813.33
2009-08-07,811.86,815.99,808.08,815.99
2009-08-06,808.89,816.54,807.63,813.46
2009-08-05,807.93,814.67,805.72,808.89
2009-08-04,811.73,812.37,805.42,807.54
2009-08-03,809.59,809.59,802.44,806.11
2009-07-31,795.66,808.09,793.68,807.20
2009-07-30,792.50,793.43,785.38,791.14
2009-07-29,791.86,794.27,789.26,791.95
2009-07-28,781.62,791.29,780.60,791.21
2009-07-27,776.21,781.26,774.81,776.22
2009-07-24,775.39,775.47,766.50,771.67
2009-07-23,780.89,780.89,771.77,772.71
2009-07-22,778.04,784.04,776.14,782.41
2009-07-21,776.68,782.41,769.88,777.18
2009-07-17,769.61,773.53,767.72,769.79
2009-07-16,773.99,775.50,765.69,766.10
2009-07-15,767.32,772.17,765.57,767.33
2009-07-14,769.18,772.17,762.48,766.80
2009-07-13,757.58,775.37,757.42,763.09
2009-07-10,753.07,757.56,748.46,756.36
2009-07-09,753.75,754.59,744.86,748.34
2009-07-08,764.18,766.40,760.76,761.01
2009-07-07,761.24,771.10,761.24,770.09
2009-07-06,753.40,759.34,752.92,756.81
2009-07-03,759.66,760.15,748.05,758.37
2009-07-02,777.39,777.68,764.34,766.70
2009-07-01,784.54,788.76,775.75,776.82
2009-06-30,790.61,791.87,784.31,789.13
2009-06-29,784.20,791.33,780.99,783.40
2009-06-26,779.62,784.34,772.01,783.22
2009-06-25,774.53,781.85,773.41,776.22
2009-06-24,778.72,781.49,773.68,773.75
2009-06-23,779.20,786.26,774.58,776.27
2009-06-22,777.45,795.57,775.27,788.70
2009-06-19,775.18,781.27,770.86,773.17
2009-06-18,768.36,779.95,766.60,776.40
2009-06-17,759.07,774.80,759.07,770.48
2009-06-16,768.13,770.25,758.55,759.47
2009-06-15,764.16,778.84,763.66,775.83
2009-06-12,755.12,763.85,753.51,760.37
2009-06-11,751.38,753.00,749.14,750.65
2009-06-10,746.08,755.55,745.62,753.77
2009-06-09,736.82,742.52,733.93,742.05
2009-06-08,735.01,739.27,734.30,735.82
2009-06-05,733.69,734.88,727.46,728.54
2009-06-04,732.90,732.90,728.66,728.66
2009-06-03,740.49,741.53,735.51,735.51
2009-06-02,739.21,740.02,733.03,738.13
